seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1710730265.6738098,177952.990216144,1710730265.7630105,177953.079417936,0.08920179199776612,FrameResult.SUCCESS,0.0
2,1710730265.7741568,177953.090563644,1710730265.8628438,177953.179250603,0.08868695900309831,FrameResult.NO_CHANGE,0.0
3,1710730265.8663113,177953.182718353,1710730265.8705404,177953.186947186,0.004228833015076816,FrameResult.CV_ERROR,0.0
4,1710730265.8733616,177953.189768811,1710730265.8774729,177953.193880061,0.004111250018468127,FrameResult.CV_ERROR,0.0
5,1710730265.8808105,177953.197217353,1710730265.9243517,177953.240759144,0.043541791004827246,FrameResult.NO_CHANGE,0.0
6,1710730265.9284189,177953.244825519,1710730266.017636,177953.334043311,0.0892177920031827,FrameResult.NO_CHANGE,0.0
7,1710730266.032002,177953.348408686,1710730266.036247,177953.352653644,0.004244957992341369,FrameResult.CV_ERROR,0.0
8,1710730266.0389295,177953.355336436,1710730266.0828419,177953.399247311,0.04391087498515844,FrameResult.NO_CHANGE,0.0
9,1710730266.0866706,177953.403077353,1710730266.1360102,177953.452417186,0.04933983299997635,FrameResult.NO_CHANGE,0.0
10,1710730266.1402733,177953.456680228,1710730266.1446278,177953.461034728,0.00435450000804849,FrameResult.CV_ERROR,0.0
11,1710730266.148106,177953.464513394,1710730266.15376,177953.470167478,0.005654084001434967,FrameResult.CV_ERROR,0.0
12,1710730266.1565716,177953.472978436,1710730266.199575,177953.515982269,0.043003832979593426,FrameResult.NO_CHANGE,0.0
13,1710730266.2030947,177953.519502103,1710730266.7217205,177954.038128061,0.5186259579786565,FrameResult.LOW_CONFIDENCE,0.0
14,1710730266.7242963,177954.040703853,1710730266.728873,177954.04528027,0.004576416977215558,FrameResult.CV_ERROR,0.0
15,1710730266.7308807,177954.047288353,1710730266.735002,177954.05140952,0.004121167003177106,FrameResult.CV_ERROR,0.0
16,1710730266.736546,177954.052953603,1710730266.7405388,177954.05694627,0.003992666985141113,FrameResult.CV_ERROR,0.0
17,1710730266.7423234,177954.058731061,1710730266.783808,177954.100215145,0.041484084009425715,FrameResult.NO_CHANGE,0.0
18,1710730266.7864287,177954.10283627,1710730266.7906578,177954.107064895,0.004228625010000542,FrameResult.CV_ERROR,0.0
19,1710730266.792486,177954.108893395,1710730266.7975447,177954.113951936,0.005058540991740301,FrameResult.CV_ERROR,0.0
20,1710730266.7993429,177954.115750436,1710730266.8035216,177954.119929186,0.004178750008577481,FrameResult.CV_ERROR,0.0
21,1710730266.8064034,177954.122810478,1710730266.8115168,177954.127923853,0.005113374994834885,FrameResult.CV_ERROR,0.0
22,1710730266.8147137,177954.131121061,1710730266.8190985,177954.135505853,0.0043847920023836195,FrameResult.CV_ERROR,0.0
23,1710730266.8212118,177954.137619395,1710730266.8597276,177954.17613502,0.038515624997671694,FrameResult.NO_CHANGE,0.0
24,1710730266.862107,177954.17851452,1710730266.8666272,177954.18303452,0.004520000016782433,FrameResult.CV_ERROR,0.0
25,1710730266.8685436,177954.184950936,1710730266.9061148,177954.222522228,0.03757129199220799,FrameResult.NO_CHANGE,0.0
26,1710730266.9084537,177954.224860853,1710730266.9471397,177954.263547186,0.03868633302045055,FrameResult.NO_CHANGE,0.0
27,1710730266.949566,177954.265973353,1710730266.9889019,177954.305308978,0.03933562498423271,FrameResult.NO_CHANGE,0.0
28,1710730266.9913454,177954.307752645,1710730266.995841,177954.312248395,0.004495750006753951,FrameResult.CV_ERROR,0.0
29,1710730266.997662,177954.314069478,1710730267.002034,177954.318440728,0.004371250019175932,FrameResult.CV_ERROR,0.0
30,1710730267.0042686,177954.32067552,1710730267.0450935,177954.361500686,0.04082516601192765,FrameResult.NO_CHANGE,0.0
31,1710730267.0478096,177954.364216686,1710730267.053153,177954.369560353,0.005343666998669505,FrameResult.CV_ERROR,0.0
32,1710730267.0556748,177954.372082311,1710730267.0601633,177954.376570561,0.004488250007852912,FrameResult.CV_ERROR,0.0
33,1710730267.0629342,177954.37934127,1710730267.0669234,177954.38333052,0.00398925002082251,FrameResult.CV_ERROR,0.0
34,1710730267.0691323,177954.385539478,1710730267.074518,177954.390925228,0.005385750002460554,FrameResult.CV_ERROR,0.0
35,1710730267.0768294,177954.393236853,1710730267.1180634,177954.434470686,0.04123383300611749,FrameResult.NO_CHANGE,0.0
36,1710730267.1213822,177954.437789311,1710730267.162689,177954.479096228,0.04130691700265743,FrameResult.NO_CHANGE,0.0
37,1710730267.1660724,177954.48247927,1710730267.1707118,177954.48711902,0.004639749997295439,FrameResult.CV_ERROR,0.0
38,1710730267.1730244,177954.489431853,1710730267.1778765,177954.494283561,0.0048517080140300095,FrameResult.CV_ERROR,0.0
39,1710730267.1805873,177954.49699452,1710730267.185025,177954.50143227,0.004437749972566962,FrameResult.CV_ERROR,0.0
40,1710730267.1870322,177954.503439728,1710730267.1915648,177954.507971895,0.004532166989520192,FrameResult.CV_ERROR,0.0
41,1710730267.1939118,177954.510319103,1710730267.198136,177954.514543395,0.004224292002618313,FrameResult.CV_ERROR,0.0
42,1710730267.200008,177954.516415353,1710730267.661106,177954.97751327,0.46109791699564084,FrameResult.LOW_CONFIDENCE,0.0
43,1710730267.664225,177954.980632228,1710730267.670205,177954.986612687,0.005980459012789652,FrameResult.CV_ERROR,0.0
44,1710730267.6722934,177954.988700728,1710730267.7114675,177955.02787502,0.0391742920037359,FrameResult.NO_CHANGE,0.0
45,1710730267.7140152,177955.030422687,1710730267.7184424,177955.034849812,0.0044271249789744616,FrameResult.CV_ERROR,0.0
46,1710730267.7203777,177955.03678502,1710730267.724512,177955.040919228,0.004134207993047312,FrameResult.CV_ERROR,0.0
47,1710730267.7268457,177955.043252687,1710730267.73114,177955.047547145,0.004294457990908995,FrameResult.CV_ERROR,0.0
48,1710730267.7330394,177955.049446687,1710730267.7379735,177955.054380895,0.0049342080019414425,FrameResult.CV_ERROR,0.0
49,1710730267.7410164,177955.057423728,1710730267.7455094,177955.061916603,0.004492875013966113,FrameResult.CV_ERROR,0.0
50,1710730267.7483501,177955.064757103,1710730267.7525613,177955.06896877,0.004211666993796825,FrameResult.CV_ERROR,0.0
51,1710730267.7544599,177955.070867145,1710730267.7604296,177955.076836978,0.005969833000563085,FrameResult.CV_ERROR,0.0
52,1710730267.7624643,177955.078871562,1710730267.7661402,177955.082547645,0.0036760829971171916,FrameResult.CV_ERROR,0.0
53,1710730267.7683177,177955.084725312,1710730267.772617,177955.08902452,0.004299208027077839,FrameResult.CV_ERROR,0.0
54,1710730267.7743804,177955.090787978,1710730267.8152254,177955.131632645,0.04084466700442135,FrameResult.NO_CHANGE,0.0
55,1710730267.8177218,177955.134129228,1710730267.822046,177955.138453312,0.004324084002291784,FrameResult.CV_ERROR,0.0
56,1710730267.823482,177955.139889687,1710730267.8624763,177955.178883603,0.038993915979517624,FrameResult.NO_CHANGE,0.0
57,1710730267.8645215,177955.180929145,1710730267.8692875,177955.185694645,0.004765500023495406,FrameResult.CV_ERROR,0.0
58,1710730267.8717785,177955.188185895,1710730267.9098322,177955.226239645,0.038053750002291054,FrameResult.NO_CHANGE,0.0
59,1710730267.9116237,177955.228031312,1710730267.9162617,177955.23266877,0.0046374580124393106,FrameResult.CV_ERROR,0.0
60,1710730267.9182246,177955.234631979,1710730267.9224057,177955.238813229,0.004181249998509884,FrameResult.CV_ERROR,0.0
61,1710730267.926435,177955.242842312,1710730267.931225,177955.247632145,0.0047898330085445195,FrameResult.CV_ERROR,0.0
62,1710730267.9335082,177955.249915479,1710730267.9384642,177955.254871687,0.004956207994837314,FrameResult.CV_ERROR,0.0
63,1710730267.940167,177955.256574354,1710730267.9808435,177955.297250687,0.040676333010196686,FrameResult.NO_CHANGE,0.0
