seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1710732119.624519,0.061023916001431644,921620,4716,0.0
2,0,1,repeat,False,1710732119.6896515,0.043871792004210874,921620,4716,3.4589902497828007e-06
3,0,2,repeat,False,1710732119.7352986,0.03930233299615793,921620,4716,0.04602675000205636
4,0,3,repeat,False,1710732119.7760046,0.03850004100240767,921620,4716,0.08721741699264385
5,0,4,repeat,False,1710732119.8157544,0.04051820799941197,921620,4716,0.12700508398120292
6,0,5,repeat,False,1710732119.857492,0.04162508298759349,921620,4716,0.16870145898428746
7,0,6,repeat,False,1710732119.9005866,0.040686249994905666,921620,4716,0.21183783398009837
8,0,7,repeat,False,1710732119.9426196,0.04235891698044725,921620,4716,0.25383937600417994
9,0,8,repeat,False,1710732119.986701,0.04206145799253136,921620,4716,0.29767670898581855
10,0,9,repeat,False,1710732120.0305555,0.04277095801080577,921620,4716,0.34152691697818227
11,0,10,repeat,False,1710732120.0756397,0.04241345799528062,921620,4716,0.38578125098138116
12,0,11,blank,False,1710732120.1195867,0.004595624981448054,921620,4716,0.43077425099909306
13,0,12,repeat,False,1710732120.1255708,0.03879474999848753,921620,4716,0.43685937600093894
14,0,13,repeat,False,1710732120.1662118,0.03985045800800435,921620,4716,0.47686229198006913
15,0,14,repeat,False,1710732120.2075756,0.03973774999030866,921620,4716,0.5187512509874068
16,0,15,blank,False,1710732120.2485049,0.005259999976260588,921620,4716,0.5597792089974973
17,0,16,repeat,False,1710732120.2551184,0.04344662500079721,921620,4716,0.5664070009952411
18,0,17,blank,False,1710732120.299981,0.006247124983929098,921620,4716,0.6111857509822585
19,0,18,repeat,False,1710732120.3097656,0.04202537500532344,921620,4716,0.6205313759855926
20,0,19,repeat,False,1710732120.3529994,0.03978525000275113,921620,4716,0.6642659589997493
21,0,20,blank,False,1710732120.3951588,0.005103208008222282,921620,4716,0.7058133340033237
22,0,21,blank,False,1710732120.4013476,0.0043988329998683184,921620,4716,0.7126363760035019
23,0,22,blank,False,1710732120.4068546,0.004992583009880036,921620,4716,0.7181343339907471
24,0,23,repeat,False,1710732120.4133563,0.04072858300060034,921620,4716,0.7244527919974644
25,0,24,blank,False,1710732120.4555035,0.005086084012873471,921620,4716,0.7667865839903243
26,0,25,repeat,False,1710732120.4618888,0.04066779199638404,921620,4716,0.7731130839965772
27,0,26,blank,False,1710732120.504328,0.004964541993103921,921620,4716,0.8155379169911612
28,0,27,blank,False,1710732120.5106397,0.006103082996560261,921620,4716,0.8218432919820771
29,0,28,blank,False,1710732120.5189266,0.005855791998328641,921620,4716,0.8295060009986628
30,0,29,blank,False,1710732120.5264912,0.005998042004648596,921620,4716,0.8374757510027848
31,0,30,repeat,False,1710732120.5342205,0.041047042002901435,921620,4716,0.8452617509756237
32,0,31,repeat,False,1710732120.5767841,0.040198834001785144,921620,4716,0.8879236259963363
33,0,32,repeat,False,1710732120.6183672,0.039037957991240546,921620,4716,0.9294243339973036
34,0,33,repeat,False,1710732120.6592731,0.03916879202006385,921620,4716,0.9702326679835096
35,0,34,blank,False,1710732120.7000403,0.005758834013249725,921620,4716,1.0113210009876639
36,0,35,repeat,False,1710732120.7074895,0.040168499981518835,921620,4716,1.0185235429962631
37,0,36,blank,False,1710732120.7489524,0.005230709008174017,921620,4716,1.0602014180039987
38,0,37,repeat,False,1710732120.7559364,0.04520925000542775,921620,4716,1.0667237089946866
39,0,38,blank,False,1710732120.8032618,0.006222665979294106,921620,4716,1.1137047929805703
40,0,39,blank,False,1710732120.8117166,0.0049432090017944574,921620,4716,1.1229900009930134
41,0,40,blank,False,1710732120.8183823,0.005381000024499372,921620,4716,1.129081042978214
42,0,41,blank,False,1710732120.8253207,0.004762041993672028,921620,4716,1.1362022929824889
43,0,42,blank,False,1710732120.8316443,0.004369957983726636,921620,4716,1.142705209000269
44,0,43,blank,False,1710732120.8376763,0.005606000020634383,921620,4716,1.1489319590036757
45,0,44,repeat,False,1710732120.8449876,0.0398306249990128,921620,4716,1.1557449179817922
46,0,45,repeat,False,1710732120.8862534,0.041138417000183836,921620,4716,1.1974060429784004
47,0,46,blank,False,1710732120.9302795,0.005696665990399197,921620,4716,1.2414122509944718
48,0,47,blank,False,1710732120.9380157,0.005426834017271176,921620,4716,1.248535708989948
49,0,48,blank,False,1710732120.9459496,0.005573665985139087,921620,4716,1.2559912930009887
50,0,49,blank,False,1710732120.9529595,0.0051448750018607825,921620,4716,1.2641657089989167
51,0,50,repeat,False,1710732120.9594636,0.039856042014434934,921620,4716,1.2706585839914624
52,0,51,blank,False,1710732121.0019479,0.007248791982419789,921620,4716,1.312444918003166
53,0,52,blank,False,1710732121.0104043,0.00610612501623109,921620,4716,1.321571334003238
54,0,53,blank,False,1710732121.0179412,0.004356665973318741,921620,4716,1.328916667989688
55,0,54,blank,False,1710732121.0242145,0.004787333018612117,921620,4716,1.3352235009951983
56,0,55,blank,False,1710732121.0306213,0.005154457991011441,921620,4716,1.341506042983383
57,0,56,repeat,False,1710732121.0373425,0.04135520799900405,921620,4716,1.348287625994999
58,0,57,repeat,False,1710732121.080658,0.041958457994041964,921620,4716,1.3911833339952864
59,0,58,blank,False,1710732121.1246395,0.006637666985625401,921620,4716,1.435141792986542
60,0,59,blank,False,1710732121.133573,0.005004541977541521,921620,4716,1.444621583999833
61,0,60,repeat,False,1710732121.1403584,0.04125487501733005,921620,4716,1.4516450429800898
62,0,61,blank,False,1710732121.1837513,0.006038791994797066,921620,4716,1.494251958996756
63,0,62,blank,False,1710732121.1912258,0.004652499977964908,921620,4716,1.502372792980168
64,0,63,blank,False,1710732121.197941,0.0061967500078026205,921620,4716,1.5086559179762844
65,0,64,blank,False,1710732121.2055962,0.004508082987740636,921620,4716,1.5167887930001598
66,0,65,blank,False,1710732121.211496,0.005045124999014661,921620,4716,1.522536542994203
67,0,66,blank,False,1710732121.2176805,0.004836792009882629,921620,4716,1.5289918759954162
68,0,67,blank,False,1710732121.224274,0.0050395840080454946,921620,4716,1.5352907929918729
69,0,68,blank,False,1710732121.2305481,0.004953458003001288,921620,4716,1.541823833977105
70,0,69,blank,False,1710732121.2366252,0.005551084002945572,921620,4716,1.5478761679842137
71,0,70,repeat,False,1710732121.2434952,0.03958208402036689,921620,4716,1.5547999179980252
72,0,71,blank,False,1710732121.2846878,0.004860250017372891,921620,4716,1.595924709981773
73,0,72,blank,False,1710732121.290614,0.0046348329924512655,921620,4716,1.6019231679965742
74,0,73,blank,False,1710732121.296893,0.00470870899152942,921620,4716,1.6077926679863594
75,0,74,repeat,False,1710732121.3028047,0.039001041994197294,921620,4716,1.6140465009957552
76,0,75,blank,False,1710732121.3440688,0.00617920802324079,921620,4716,1.6545752929814626
77,0,76,blank,False,1710732121.3527544,0.007648792001418769,921620,4716,1.6632395009801257
78,0,77,repeat,False,1710732121.3621242,0.04083458302193321,921620,4716,1.673106750997249
79,0,78,repeat,False,1710732121.4041529,0.045423250005114824,921620,4716,1.7154095849837177
80,0,79,blank,False,1710732121.4515026,0.005521499988390133,921620,4716,1.7624399600026663
81,0,80,blank,False,1710732121.4584596,0.0040256249776575714,921620,4716,1.769621460000053
82,0,81,repeat,False,1710732121.4636598,0.04092262501944788,921620,4716,1.7749085429823026
83,0,82,blank,False,1710732121.5065281,0.005571499990765005,921620,4716,1.817034125997452
84,0,83,repeat,False,1710732121.5137644,0.03958104201592505,921620,4716,1.8248442100011744
85,0,84,blank,False,1710732121.5551293,0.005408249999163672,921620,4716,1.8658727509900928
86,0,85,repeat,False,1710732121.5620975,0.04082983298576437,921620,4716,1.8731694179878104
87,0,86,blank,False,1710732121.6043649,0.006636000005528331,921620,4716,1.915465209982358
88,0,87,blank,False,1710732121.6122136,0.006397832999937236,921620,4716,1.923482418002095
89,0,88,blank,False,1710732121.6202018,0.0064862500003073364,921620,4716,1.9311775009846315
90,0,89,blank,False,1710732121.6284611,0.008049833006225526,921620,4716,1.939214917976642
91,0,90,blank,False,1710732121.640067,0.00552795798284933,921620,4716,1.94991145998938
92,0,91,blank,False,1710732121.6478038,0.004617667000275105,921620,4716,1.9579744599759579
93,0,92,blank,False,1710732121.6547635,0.005511167022632435,921620,4716,1.9654257509973831
94,0,93,repeat,False,1710732121.6618216,0.03913179101073183,921620,4716,1.972739417979028
95,0,94,blank,False,1710732121.7036502,0.00494404201162979,921620,4716,2.0143515009840485
96,0,95,repeat,False,1710732121.7099261,0.04187283301143907,921620,4716,2.0210292509873398
97,0,96,blank,False,1710732121.7539275,0.005904457997530699,921620,4716,2.0650580849905964
98,0,97,repeat,False,1710732121.7612758,0.04273583402391523,921620,4716,2.072447168000508
99,0,98,blank,False,1710732121.8059373,0.005714375001844019,921620,4716,2.1166296679875813
100,0,99,repeat,False,1710732121.8132572,0.03918762499233708,921620,4716,2.124036292982055
101,0,100,blank,False,1710732121.854279,0.006711499998345971,921620,4716,2.1647631259984337
102,0,101,blank,False,1710732121.862566,0.00636295898584649,921620,4716,2.1734822930011433
103,0,102,blank,False,1710732121.8704064,0.004345167020801455,921620,4716,2.1816750849829987
104,0,103,blank,False,1710732121.8767939,0.004770208994159475,921620,4716,2.187672667991137
105,0,104,repeat,False,1710732121.8828564,0.04570824999245815,921620,4716,2.1939822099811863
106,0,105,blank,False,1710732121.9300063,0.004855417006183416,921620,4716,2.2410827509884257
107,0,106,blank,False,1710732121.9363623,0.005265292013064027,921620,4716,2.247608500998467
108,0,107,blank,False,1710732121.9431357,0.008833333995426074,921620,4716,2.254390292975586
109,0,108,repeat,False,1710732121.953754,0.040924041997641325,921620,4716,2.2646254599967506
110,0,109,blank,False,1710732121.996385,0.004899750027107075,921620,4716,2.3072915019874927
111,0,110,repeat,False,1710732122.0024042,0.043833083007484674,921620,4716,2.3136715019936673
112,0,111,repeat,False,1710732122.0486066,0.044180374999996275,921620,4716,2.359186335001141
113,0,112,blank,False,1710732122.0942032,0.004536874999757856,921620,4716,2.4052043769916054
114,0,113,blank,False,1710732122.1012514,0.005467999988468364,921620,4716,2.411803542985581
115,0,114,blank,False,1710732122.1080074,0.005489333998411894,921620,4716,2.419284292991506
116,0,115,repeat,False,1710732122.1155698,0.0454553329909686,921620,4716,2.425905251991935
117,0,116,blank,False,1710732122.1622062,0.00576650002039969,921620,4716,2.473484126996482
118,0,117,repeat,False,1710732122.1697752,0.04418599998462014,921620,4716,2.481014917982975
119,0,118,repeat,False,1710732122.2152734,0.041180625004926696,921620,4716,2.526556251978036
120,0,119,blank,False,1710732122.258492,0.005549791996600106,921620,4716,2.5688694179989398
121,0,120,repeat,False,1710732122.2651365,0.04287812497932464,921620,4716,2.576412376976805
122,0,121,blank,False,1710732122.3096514,0.006486708007287234,921620,4716,2.6208166269934736
123,0,122,blank,False,1710732122.3181012,0.004982917016604915,921620,4716,2.6287870020023547
124,0,123,repeat,False,1710732122.32472,0.04183045797981322,921620,4716,2.635604084993247
125,0,124,repeat,False,1710732122.368848,0.044137375021819025,921620,4716,2.679388542979723
126,0,125,blank,False,1710732122.4145439,0.0057482499978505075,921620,4716,2.7256973769981414
127,0,126,repeat,False,1710732122.421889,0.04161708301398903,921620,4716,2.7328758349758573
128,0,127,blank,False,1710732122.464921,0.006300083012320101,921620,4716,2.776129209989449
129,0,128,repeat,False,1710732122.4729044,0.04288154098321684,921620,4716,2.7839372099842876
130,0,129,blank,False,1710732122.5172753,0.004860207991441712,921620,4716,2.8284136680013034
131,0,130,repeat,False,1710732122.5233378,0.04250137499184348,921620,4716,2.834648460004246
132,0,131,repeat,False,1710732122.5684361,0.041126167023321614,921620,4716,2.879110876994673
133,0,132,blank,False,1710732122.611516,0.00625266702263616,921620,4716,2.9222225019766483
134,0,133,blank,False,1710732122.620089,0.005368165991967544,921620,4716,2.930417626979761
135,0,134,repeat,False,1710732122.6267467,0.04300845900434069,921620,4716,2.9380197929858696
136,0,135,blank,False,1710732122.6719077,0.004968249995727092,921620,4716,2.9826712519861758
137,0,136,repeat,False,1710732122.6779273,0.03951991701615043,921620,4716,2.989218793984037
138,0,137,repeat,False,1710732122.7188952,0.039695957995718345,921620,4716,3.0299030439928174
139,0,138,blank,False,1710732122.7604444,0.005159874999662861,921620,4716,3.07144937699195
140,0,139,blank,False,1710732122.7673523,0.005331207998096943,921620,4716,3.078101669001626
141,0,140,blank,False,1710732122.774009,0.00454533300944604,921620,4716,3.0851745849940926
142,0,141,blank,False,1710732122.7795522,0.004556792002404109,921620,4716,3.090888668986736
143,0,142,blank,False,1710732122.7851892,0.004743958008475602,921620,4716,3.0965053769759834
144,0,143,blank,False,1710732122.7915256,0.0049197500047739595,921620,4716,3.1027707099856343
145,0,144,blank,False,1710732122.79772,0.004669124988140538,921620,4716,3.1089981269906275
146,0,145,blank,False,1710732122.803703,0.005849834007676691,921620,4716,3.1149001689918805
147,0,146,blank,False,1710732122.811298,0.0042334580211900175,921620,4716,3.121883418993093
148,0,147,repeat,False,1710732122.8166993,0.0411056250159163,921620,4716,3.127966709987959
149,0,148,blank,False,1710732122.859991,0.00468512499355711,921620,4716,3.1707100439816713
