seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1710732119.6472876,179806.980877447,1710732119.695058,179807.02864878,0.04777133298921399,FrameResult.SUCCESS,0.0
2,1710732119.7007346,179807.03432528,1710732119.7457247,179807.079315072,0.04498979201889597,FrameResult.NO_CHANGE,0.0
3,1710732119.7476554,179807.08124603,1710732119.7877307,179807.121321322,0.04007529199589044,FrameResult.NO_CHANGE,0.0
4,1710732119.7900493,179807.12363978,1710732119.8310823,179807.164672947,0.04103316698456183,FrameResult.NO_CHANGE,0.0
5,1710732119.8338602,179807.167450863,1710732120.3429482,179807.67653878,0.5090879170165863,FrameResult.LOW_CONFIDENCE,0.0
6,1710732120.3449259,179807.678516655,1710732120.3835723,179807.717162947,0.038646291999612004,FrameResult.NO_CHANGE,0.0
7,1710732120.3875546,179807.721145114,1710732120.4282453,179807.761835905,0.04069079100736417,FrameResult.NO_CHANGE,0.0
8,1710732120.432367,179807.76595753,1710732120.473845,179807.80743528,0.04147774999728426,FrameResult.NO_CHANGE,0.0
9,1710732120.4762166,179807.80980728,1710732120.5202672,179807.853857905,0.044050625001545995,FrameResult.NO_CHANGE,0.0
10,1710732120.5249221,179807.858512822,1710732120.5662522,179807.899842656,0.04132983402814716,FrameResult.NO_CHANGE,0.0
11,1710732120.568727,179807.902317781,1710732120.5728824,179807.906472489,0.004154708003625274,FrameResult.CV_ERROR,0.0
12,1710732120.5753944,179807.908984572,1710732120.5798142,179807.913404739,0.004420167009811848,FrameResult.CV_ERROR,0.0
13,1710732120.5817935,179807.915383947,1710732120.5859046,179807.919495114,0.004111167014343664,FrameResult.CV_ERROR,0.0
14,1710732120.5878897,179807.921480364,1710732120.5927045,179807.926295031,0.004814667016034946,FrameResult.CV_ERROR,0.0
15,1710732120.5947337,179807.928324531,1710732120.6006534,179807.934243281,0.0059187499864492565,FrameResult.CV_ERROR,0.0
16,1710732120.6040463,179807.937636281,1710732120.6085413,179807.942131947,0.004495665983995423,FrameResult.CV_ERROR,0.0
17,1710732120.6102917,179807.943882406,1710732120.614676,179807.948266614,0.004384208004921675,FrameResult.CV_ERROR,0.0
18,1710732120.6175153,179807.951106072,1710732120.6561973,179807.989788197,0.03868212501402013,FrameResult.NO_CHANGE,0.0
19,1710732120.6582987,179807.991889281,1710732120.6634688,179807.997059489,0.0051702079945243895,FrameResult.CV_ERROR,0.0
20,1710732120.6652806,179807.998871156,1710732120.66993,179808.003520656,0.004649499984225258,FrameResult.CV_ERROR,0.0
21,1710732120.6714804,179808.005070781,1710732120.6763008,179808.009891406,0.004820625006686896,FrameResult.CV_ERROR,0.0
22,1710732120.677979,179808.011569572,1710732120.7176266,179808.051217114,0.03964754199841991,FrameResult.NO_CHANGE,0.0
23,1710732120.7199895,179808.053580364,1710732120.724394,179808.057984697,0.004404332983540371,FrameResult.CV_ERROR,0.0
24,1710732120.725977,179808.059567614,1710732120.7662232,179808.099813531,0.04024591701454483,FrameResult.NO_CHANGE,0.0
25,1710732120.7697155,179808.103304947,1710732120.8118815,179808.145472197,0.04216725000878796,FrameResult.NO_CHANGE,0.0
26,1710732120.8152058,179808.148796364,1710732120.8196568,179808.153247656,0.004451292013982311,FrameResult.CV_ERROR,0.0
27,1710732120.8220496,179808.155639656,1710732120.8295374,179808.163127739,0.007488083007046953,FrameResult.CV_ERROR,0.0
28,1710732120.832372,179808.165962156,1710732120.838158,179808.171748447,0.0057862910034600645,FrameResult.CV_ERROR,0.0
29,1710732120.8415039,179808.175094572,1710732120.8457108,179808.179301656,0.004207083984510973,FrameResult.CV_ERROR,0.0
30,1710732120.848518,179808.182108322,1710732120.889455,179808.223045197,0.040936874982435256,FrameResult.NO_CHANGE,0.0
