seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1710768273.5507936,199328.859304257,1710768273.615111,199328.923621507,0.06431725001311861,FrameResult.SUCCESS,0.0
2,1710768273.6216521,199328.930163049,1710768273.6692119,199328.977722549,0.04755950000253506,FrameResult.NO_CHANGE,0.0
3,1710768273.67099,199328.979501049,1710768274.1156383,199329.424148924,0.44464787500328384,FrameResult.LOW_CONFIDENCE,0.0
4,1710768274.117257,199329.425768215,1710768274.1541364,199329.462646757,0.03687854198506102,FrameResult.NO_CHANGE,0.0
5,1710768274.155795,199329.46430609,1710768274.1932602,199329.50177084,0.03746474999934435,FrameResult.NO_CHANGE,0.0
6,1710768274.1951482,199329.503659215,1710768274.1992514,199329.50776209,0.004102875012904406,FrameResult.CV_ERROR,0.0
7,1710768274.2010307,199329.509541632,1710768274.2380073,199329.546517924,0.036976292001781985,FrameResult.NO_CHANGE,0.0
8,1710768274.2399526,199329.548463549,1710768274.2443168,199329.552827841,0.004364291991805658,FrameResult.CV_ERROR,0.0
9,1710768274.2459612,199329.554472007,1710768274.282773,199329.591283466,0.03681145899463445,FrameResult.NO_CHANGE,0.0
10,1710768274.2844086,199329.592919466,1710768274.322349,199329.630859716,0.03794025001116097,FrameResult.NO_CHANGE,0.0
11,1710768274.3241956,199329.632706341,1710768274.3594317,199329.667942216,0.035235874995123595,FrameResult.NO_CHANGE,0.0
12,1710768274.3614388,199329.669949466,1710768274.3653336,199329.673844299,0.0038948329747654498,FrameResult.CV_ERROR,0.0
13,1710768274.3669655,199329.675476299,1710768274.3716793,199329.680189924,0.004713625006843358,FrameResult.CV_ERROR,0.0
14,1710768274.3742187,199329.682729632,1710768274.4109383,199329.719448966,0.03671933399164118,FrameResult.NO_CHANGE,0.0
15,1710768274.41274,199329.721251091,1710768274.416619,199329.725130007,0.0038789160025771707,FrameResult.CV_ERROR,0.0
16,1710768274.4180787,199329.726589424,1710768274.454433,199329.762943591,0.03635416697943583,FrameResult.NO_CHANGE,0.0
17,1710768274.45637,199329.764880966,1710768274.495856,199329.804366799,0.03948583302553743,FrameResult.NO_CHANGE,0.0
18,1710768274.4982884,199329.806798966,1710768274.5024471,199329.810957507,0.004158541007200256,FrameResult.CV_ERROR,0.0
19,1710768274.5042486,199329.812759424,1710768274.5091126,199329.817623216,0.004863791982643306,FrameResult.CV_ERROR,0.0
20,1710768274.5111427,199329.819653174,1710768274.550792,199329.859302716,0.0396495420136489,FrameResult.NO_CHANGE,0.0
21,1710768274.5532057,199329.861716382,1710768274.591507,199329.900017507,0.03830112499417737,FrameResult.NO_CHANGE,0.0
22,1710768274.5933828,199329.901893882,1710768274.6305196,199329.939029841,0.03713595902081579,FrameResult.NO_CHANGE,0.0
23,1710768274.6321764,199329.940686799,1710768274.6686997,199329.977210174,0.036523374990792945,FrameResult.NO_CHANGE,0.0
24,1710768274.6707592,199329.979270049,1710768274.7076924,199330.016202674,0.03693262502201833,FrameResult.NO_CHANGE,0.0
25,1710768274.7095551,199330.018065966,1710768274.7458405,199330.054351549,0.036285583017161116,FrameResult.NO_CHANGE,0.0
26,1710768274.7479203,199330.056431299,1710768274.7520003,199330.060511132,0.004079833015566692,FrameResult.CV_ERROR,0.0
27,1710768274.7542224,199330.062733132,1710768274.7585125,199330.067023216,0.004290083976229653,FrameResult.CV_ERROR,0.0
28,1710768274.760326,199330.068836716,1710768274.7641177,199330.072628591,0.0037918750022072345,FrameResult.CV_ERROR,0.0
29,1710768274.7655883,199330.074099007,1710768274.7693107,199330.077821674,0.003722666995599866,FrameResult.CV_ERROR,0.0
30,1710768274.7707582,199330.079269007,1710768274.774756,199330.083266757,0.003997749998234212,FrameResult.CV_ERROR,0.0
31,1710768274.776262,199330.084772841,1710768274.8120716,199330.120582132,0.035809291002806276,FrameResult.NO_CHANGE,0.0
32,1710768274.8136926,199330.122203424,1710768274.817586,199330.126096632,0.003893208020599559,FrameResult.CV_ERROR,0.0
33,1710768274.8191237,199330.127634716,1710768274.854955,199330.163465674,0.03583095801877789,FrameResult.NO_CHANGE,0.0
34,1710768274.8565857,199330.165096466,1710768275.2900662,199330.598576924,0.4334804580139462,FrameResult.LOW_CONFIDENCE,0.0
35,1710768275.2918468,199330.600357424,1710768275.2957573,199330.604267966,0.003910542000085115,FrameResult.CV_ERROR,0.0
36,1710768275.2976327,199330.606143674,1710768275.3014266,199330.609937383,0.003793709009187296,FrameResult.CV_ERROR,0.0
37,1710768275.3034363,199330.611946966,1710768275.3423977,199330.650908549,0.038961582991760224,FrameResult.NO_CHANGE,0.0
38,1710768275.3465922,199330.655102758,1710768275.385286,199330.693796716,0.03869395799119957,FrameResult.NO_CHANGE,0.0
39,1710768275.3886275,199330.697138383,1710768275.4269068,199330.735417508,0.0382791250012815,FrameResult.NO_CHANGE,0.0
40,1710768275.4316084,199330.740119216,1710768275.4355187,199330.744029591,0.003910375002305955,FrameResult.CV_ERROR,0.0
41,1710768275.4369757,199330.745486466,1710768275.4410334,199330.749544049,0.0040575829916633666,FrameResult.CV_ERROR,0.0
42,1710768275.4427214,199330.751232008,1710768275.4466782,199330.755188883,0.0039568749780301005,FrameResult.CV_ERROR,0.0
43,1710768275.44843,199330.756941008,1710768275.4524522,199330.760962924,0.004021915985504165,FrameResult.CV_ERROR,0.0
44,1710768275.45403,199330.762540841,1710768275.4931285,199330.801639174,0.039098332985304296,FrameResult.NO_CHANGE,0.0
45,1710768275.495066,199330.803576508,1710768275.5312777,199330.839788133,0.036211624974384904,FrameResult.NO_CHANGE,0.0
46,1710768275.5330071,199330.841517883,1710768275.9643497,199331.2728603,0.4313424169959035,FrameResult.LOW_CONFIDENCE,0.0
47,1710768275.966118,199331.274628966,1710768276.0052614,199331.313771966,0.03914300000178628,FrameResult.NO_CHANGE,0.0
48,1710768276.00735,199331.315860675,1710768276.0478735,199331.356383883,0.040523207979276776,FrameResult.NO_CHANGE,0.0
49,1710768276.050115,199331.358625508,1710768276.0556042,199331.364114925,0.0054894170025363564,FrameResult.CV_ERROR,0.0
50,1710768276.0573936,199331.365904383,1710768276.0963478,199331.40485855,0.03895416698651388,FrameResult.NO_CHANGE,0.0
51,1710768276.0983987,199331.4069093,1710768276.1026614,199331.411172133,0.004262832982931286,FrameResult.CV_ERROR,0.0
52,1710768276.1042576,199331.4127683,1710768276.1082318,199331.416742383,0.00397408299613744,FrameResult.CV_ERROR,0.0
53,1710768276.1101744,199331.418685383,1710768276.1467323,199331.455243175,0.03655779201653786,FrameResult.NO_CHANGE,0.0
54,1710768276.1489449,199331.457455716,1710768276.1528993,199331.461410216,0.003954499989049509,FrameResult.CV_ERROR,0.0
55,1710768276.1545694,199331.463080258,1710768276.1587682,199331.467278383,0.004198125010589138,FrameResult.CV_ERROR,0.0
