seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1710733772.3935528,181459.728509366,1710733772.464449,181459.799405699,0.07089633302530274,FrameResult.SUCCESS,0.0
2,1710733772.4768631,181459.811820699,1710733772.4810174,181459.815974074,0.004153375019086525,FrameResult.CV_ERROR,0.0
3,1710733772.484786,181459.819743699,1710733772.52541,181459.860367283,0.04062358400551602,FrameResult.NO_CHANGE,0.0
4,1710733772.5283601,181459.863316533,1710733772.5706754,181459.905632783,0.042316249979194254,FrameResult.NO_CHANGE,0.0
5,1710733772.57403,181459.908987074,1710733772.6250823,181459.960038991,0.051051916991127655,FrameResult.NO_CHANGE,0.0
6,1710733772.6291518,181459.964108408,1710733772.6761312,181460.011088199,0.04697979101911187,FrameResult.NO_CHANGE,0.0
7,1710733772.6797228,181460.014680324,1710733772.7173016,181460.052259408,0.03757908398984,FrameResult.NO_CHANGE,0.0
8,1710733772.7219424,181460.056900241,1710733772.7717824,181460.106739616,0.04983937498764135,FrameResult.NO_CHANGE,0.0
9,1710733772.7751632,181460.110120616,1710733772.825191,181460.160148283,0.05002766699180938,FrameResult.NO_CHANGE,0.0
10,1710733772.8292687,181460.164225658,1710733772.8346727,181460.169630116,0.005404458002885804,FrameResult.CV_ERROR,0.0
11,1710733772.8415313,181460.176488991,1710733772.8458388,181460.180796241,0.0043072499975096434,FrameResult.CV_ERROR,0.0
12,1710733772.8481374,181460.183095116,1710733772.8947494,181460.229706408,0.046611291996669024,FrameResult.NO_CHANGE,0.0
13,1710733772.8973606,181460.232318408,1710733772.9012067,181460.236164158,0.0038457500049844384,FrameResult.CV_ERROR,0.0
14,1710733772.9032288,181460.238186449,1710733773.3811033,181460.716061033,0.47787458400125615,FrameResult.LOW_CONFIDENCE,0.0
15,1710733773.3838134,181460.718771116,1710733773.3885388,181460.723496408,0.004725292004877701,FrameResult.CV_ERROR,0.0
16,1710733773.3911788,181460.726136408,1710733773.4255624,181460.76051995,0.03438354202080518,FrameResult.NO_CHANGE,0.0
17,1710733773.4281964,181460.763153366,1710733773.4329383,181460.767895825,0.004742459015687928,FrameResult.CV_ERROR,0.0
18,1710733773.4357173,181460.770674908,1710733773.441379,181460.776336491,0.00566158298170194,FrameResult.CV_ERROR,0.0
19,1710733773.4442406,181460.7791982,1710733773.449091,181460.784048658,0.004850458004511893,FrameResult.CV_ERROR,0.0
20,1710733773.4510124,181460.785969908,1710733773.4862866,181460.821244325,0.035274416994070634,FrameResult.NO_CHANGE,0.0
21,1710733773.4886084,181460.823565783,1710733773.4927168,181460.82767445,0.004108666995307431,FrameResult.CV_ERROR,0.0
22,1710733773.4962015,181460.831159283,1710733773.55656,181460.8915172,0.060357917012879625,FrameResult.NO_CHANGE,0.0
23,1710733773.5708153,181460.905772158,1710733773.5835366,181460.918493366,0.012721208011498675,FrameResult.CV_ERROR,0.0
24,1710733773.596596,181460.931553158,1710733773.7089262,181461.0438832,0.11233004200039431,FrameResult.NO_CHANGE,0.0
25,1710733773.7139435,181461.048899241,1710733773.7574456,181461.092402783,0.043503541994141415,FrameResult.NO_CHANGE,0.0
26,1710733773.7639446,181461.098901825,1710733773.8354623,181461.170419117,0.07151729200268164,FrameResult.NO_CHANGE,0.0
27,1710733773.8399403,181461.174897617,1710733773.8903954,181461.225352575,0.05045495802187361,FrameResult.NO_CHANGE,0.0
28,1710733773.8941805,181461.229137867,1710733773.8994257,181461.234382658,0.0052447910129558295,FrameResult.CV_ERROR,0.0
29,1710733773.9042392,181461.23919545,1710733773.909619,181461.244576658,0.0053812080004718155,FrameResult.CV_ERROR,0.0
30,1710733773.920735,181461.255691992,1710733773.92647,181461.26142745,0.005735457991249859,FrameResult.CV_ERROR,0.0
31,1710733773.9315999,181461.266556992,1710733773.9408832,181461.275840658,0.009283666004193947,FrameResult.CV_ERROR,0.0
32,1710733773.9442158,181461.279173742,1710733773.9789371,181461.313894617,0.03472087500267662,FrameResult.NO_CHANGE,0.0
33,1710733773.981333,181461.316289908,1710733773.985981,181461.320938533,0.004648625006666407,FrameResult.CV_ERROR,0.0
34,1710733773.9883196,181461.32327745,1710733773.992452,181461.327409492,0.00413204199867323,FrameResult.CV_ERROR,0.0
35,1710733773.994977,181461.3299347,1710733774.0287488,181461.3637062,0.03377149999141693,FrameResult.NO_CHANGE,0.0
36,1710733774.031681,181461.366639033,1710733774.0357997,181461.370757783,0.004118750017369166,FrameResult.CV_ERROR,0.0
37,1710733774.0379827,181461.372940617,1710733774.0419421,181461.376899825,0.003959207999287173,FrameResult.CV_ERROR,0.0
38,1710733774.0442793,181461.3792372,1710733774.0773232,181461.412280575,0.03304337500594556,FrameResult.NO_CHANGE,0.0
39,1710733774.085207,181461.420164117,1710733774.1515443,181461.486501575,0.06633745800354518,FrameResult.CV_ERROR,0.0
40,1710733774.1689534,181461.50390995,1710733774.3752658,181461.710221908,0.20631195799796842,FrameResult.NO_CHANGE,0.0
41,1710733774.4052188,181461.740175908,1710733774.4145203,181461.749477783,0.009301875019446015,FrameResult.CV_ERROR,0.0
42,1710733774.4258552,181461.760812283,1710733774.4370232,181461.771980492,0.011168208991875872,FrameResult.CV_ERROR,0.0
43,1710733774.4463096,181461.781266617,1710733774.5174313,181461.852388742,0.07112212499487214,FrameResult.NO_CHANGE,0.0
