step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1715995651.2510622,265451.567285189,1715995652.931866,265453.24808894,265451.568740814,265451.568740814,1.6793481259956025,0.0,1.68080375099089,1.68080375099089,0.0014556249952875078,1
1,1715995652.931866,265453.24808894,1715995659.1204097,265459.436632818,265453.252396607,265458.823340901,0.6132919170195237,5.334469584454673,6.188543878030032,0.8540742935753594,0.24078237655339763,20
2,1715995659.1204097,265459.436632818,1715995665.2114384,265465.527661404,265459.438170734,265464.887709028,0.6399523760192096,5.2101081934698525,6.091028585971799,0.8809203925019462,0.24096801650011912,14
3,1715995665.2114384,265465.527661404,1715995671.14938,265471.465602907,265465.530162904,265470.819522781,0.6460801259963773,5.215451312498232,5.937941503012553,0.7224901905143213,0.07641006453195587,12
4,1715995671.14938,265471.465602907,1715995677.5829895,265477.899212368,265471.46679849,265477.268610993,0.6306013750145212,5.181850082837026,6.43360946100438,1.2517593781673542,0.6211580031667836,13
5,1715995677.5829892,265477.899212368,1715995684.1569169,265484.473140121,265477.900902993,265483.790710579,0.6824295419501141,5.2777558498215225,6.573927752964664,1.2961719031431418,0.6137423611944541,12
6,1715995684.156917,265484.473140121,1715995690.2783465,265490.594569624,265484.474329829,265489.939306874,0.6552627499913797,5.284106670330982,6.121429503022227,0.8373228326912452,0.18206008267588913,16
7,1715995690.2783465,265490.594569624,1715995696.2096694,265496.525892418,265490.596075457,265495.900355793,0.6255366249824874,5.206705066256318,5.9313227940001525,0.7246177277438344,0.09908110275864601,15
8,1715995696.2096694,265496.525892418,1715995702.0110335,265502.327256546,265496.527096376,265501.716054879,0.6112016669940203,5.1823360456662115,5.80136412801221,0.6190280823459986,0.007826415356248617,12
9,1715995702.0110335,265502.327256546,1715995707.6099536,265507.926176757,265502.328521212,265507.322721381,0.603455376054626,4.846056316315587,5.598920211021323,0.7528638947057358,0.14940851862775162,15
10,1715995707.6099536,265507.926176757,1715995713.23221,265513.548433051,265507.927491923,265512.932453176,0.615979874972254,4.874017418228151,5.622256293951068,0.748238875722917,0.1322590007330291,17
11,1715995713.23221,265513.548433051,1715995719.0104914,265519.326714595,265513.549698718,265518.58961222,0.7371023750165477,4.8732526567749535,5.778281544044148,0.9050288872691947,0.1679265122511424,13
12,1715995719.0104916,265519.326714595,1715995724.6374521,265524.953675014,265519.330334387,265524.308254847,0.6454201670130715,4.891798132614756,5.626960419001989,0.7351622863872329,0.08974211936583742,12
13,1715995724.637452,265524.953675014,1715995729.5760176,265529.892240641,265524.955193347,265529.255462266,0.6367783750174567,4.199011157310892,4.938565626973286,0.7395544696623944,0.10277609463082626,11
14,1715995729.5760176,265529.892240641,1715995734.6641397,265534.980362852,265529.893398225,265534.34549556,0.6348672920139506,4.202796964056363,5.088122210989241,0.8853252469328776,0.25045795494224876,11
15,1715995734.6641397,265534.980362852,1715995740.13272,265540.448943188,265534.981573019,265539.827283396,0.6216597920283675,4.3155651340813375,5.468580336018931,1.1530152019375937,0.5313554098829627,12
16,1715995740.1327202,265540.448943188,1715995745.5271,265545.843322982,265540.450180355,265545.181634524,0.6616884579998441,4.463865726161511,5.394379794015549,0.9305140678540385,0.2688256098772399,12
17,1715995745.5270998,265545.843322982,1715995750.6130242,265550.92924736,265545.844438357,265550.264661193,0.6645861669676378,4.345677213308962,5.085924377955962,0.7402471646470001,0.07566099765244871,12
18,1715995750.6130242,265550.92924736,1715995755.5537362,265555.86995932,265550.930431735,265555.225265319,0.6446940010064282,4.203391884748531,4.940711960021872,0.7373200752733409,0.09262607427081093,13
19,1715995755.5537362,265555.86995932,1715995760.5082102,265560.824433239,265555.871074653,265560.200435363,0.6239978760131635,4.200873980059622,4.954473919002339,0.7535999389427168,0.12960206292336807,12
20,1715995760.5082102,265560.824433239,1715995765.4545214,265565.770744449,265560.825595739,265565.161757741,0.6089867079863325,4.2147463211844105,4.946311209991109,0.7315648888066981,0.12257818080252036,13
21,1715995765.4545214,265565.770744449,1715995770.2907715,265570.606994452,265565.771715616,265569.984985618,0.6220088340342045,4.195892895719593,4.8362500030198134,0.6403571073002201,0.01834827323909849,11
22,1715995770.2907715,265570.606994452,1715995775.1217668,265575.437989746,265570.610029702,265574.848913037,0.5890767090022564,4.111446562082822,4.830995293974411,0.7195487318915887,0.13047202286543325,12
23,1715995775.1217668,265575.437989746,1715995780.014871,265580.331093831,265575.439082954,265579.727547623,0.6035462080035359,4.185362328089266,4.893104085000232,0.7077417569109663,0.10419554891996086,12
24,1715995780.014871,265580.331093831,1715995785.019421,265585.335644041,265580.332177873,265584.687882582,0.6477614589966834,4.17484185574755,5.004550210025627,0.8297083542780772,0.18194689525989816,10
25,1715995785.019421,265585.335644041,1715995789.9782577,265590.294480543,265585.337059833,265589.673927543,0.6205530000152066,4.27542490276571,4.958836501988117,0.6834115992224064,0.06285859917989,12
26,1715995789.9782574,265590.294480543,1715995794.7856913,265595.101914296,265590.295662335,265594.522889462,0.5790248339762911,4.152615481270507,4.807433752983343,0.6548182717128359,0.07579343771794811,9
27,1715995794.7856913,265595.101914296,1715995799.613198,265599.929420965,265595.102969837,265599.256918173,0.6725027920329012,4.125539249664127,4.827506669040304,0.7019674193761762,0.02946462732506916,11
28,1715995799.613198,265599.929420965,1715995804.4821362,265604.798359134,265599.93063309,265604.142807717,0.6555514169740491,4.169633764881931,4.868938168976456,0.6993044040945247,0.04375298711238429,12
29,1715995804.482136,265604.798359134,1715995809.4021206,265609.718343761,265604.799696717,265609.090466136,0.6278776249964722,4.1672179012377315,4.919984626991209,0.7527667257534771,0.12488910078536719,10
30,1715995809.4021208,265609.718343761,1715995814.8839478,265615.200170888,265609.719540678,265614.570398138,0.6297727499622852,4.214044103181228,5.481827126990538,1.2677830238093097,0.6380102738621645,12
31,1715995814.8839478,265615.200170888,1715995821.0689344,265621.385157433,265615.20124668,265620.712829558,0.6723278749850579,5.280067501656223,6.184986545005813,0.9049190433495902,0.23259116837289184,14
32,1715995821.0689344,265621.385157433,1715995827.0408552,265627.357078186,265621.3862466,265626.769419019,0.5876591670094058,5.220115537309147,5.971920753014274,0.7518052157051267,0.1641460487153381,13
33,1715995827.0408552,265627.357078186,1715995833.0500994,265633.366322272,265627.358054102,265632.76622198,0.6001002920093015,5.188458706416211,6.00924408598803,0.8207853795718192,0.22068508755182847,15
34,1715995833.0500991,265633.366322272,1715995839.039585,265639.355808233,265633.367511564,265638.658799566,0.6970086670480669,5.203291982319287,5.989485961035825,0.786193978716538,0.08918531169183552,12
35,1715995839.039585,265639.355808233,1715995844.713121,265645.029344152,265639.358463858,265644.376138402,0.6532057500444353,4.879122686539586,5.673535918991547,0.7944132324519613,0.14120748243294656,14
36,1715995844.7131212,265645.029344152,1715995850.3951335,265650.71135653,265645.030540444,265650.092765905,0.6185906250029802,4.880273597049959,5.682012378005311,0.8017387809553522,0.18314815597841516,12
37,1715995850.3951335,265650.71135653,1715995856.1210675,265656.437290491,265650.712523488,265655.834930199,0.6023602919885889,4.881263875789852,5.725933960988186,0.8446700851983344,0.24230979318963364,12
38,1715995856.1210675,265656.437290491,1715995861.703866,265662.02008891,265656.438536449,265661.423750243,0.5963386670337059,4.8864072489537485,5.58279841899639,0.6963911700426415,0.10005250299582258,14
39,1715995861.7038658,265662.02008891,1715995866.6414156,265666.957638704,265662.02110616,265666.259486746,0.6981519580003805,4.164564900923185,4.937549793976359,0.7729848930531737,0.0748329350608401,12
40,1715995866.6414156,265666.957638704,1715995871.7482219,265672.064444873,265666.959255288,265671.419546915,0.6448979580309242,4.2308487288427195,5.106806169031188,0.8759574401884684,0.23105948214652017,11
41,1715995871.7482219,265672.064444873,1715995876.9167128,265677.232935751,265672.065852498,265676.551994834,0.6809409169945866,4.3090453246794365,5.168490877957083,0.8594455532776468,0.17850463627837598,14
42,1715995876.9167128,265677.232935751,1715995881.9947498,265682.31097267,265677.234180126,265681.697960086,0.6130125839845277,4.297317223557142,5.0780369190033525,0.7807196954462103,0.16770711145363748,10
43,1715995881.9947495,265682.31097267,1715995886.9431472,265687.259370297,265682.312052836,265686.612868713,0.6465015840367414,4.237148838560559,4.948397627042141,0.7112487884815817,0.06474720442201942,15
44,1715995886.9431472,265687.259370297,1715995891.861931,265692.178154174,265687.260751797,265691.512202674,0.6659515000064857,4.177984763923747,4.9187838769867085,0.7407991130629616,0.074847613053862,11
45,1715995891.861931,265692.178154174,1715995896.7084408,265697.024663968,265692.179215258,265696.392178093,0.6324858749867417,4.2038655080621075,4.846509794006124,0.6426442859440167,0.010158410936128348,13
46,1715995896.708441,265697.024663968,1715995901.7328718,265702.049094804,265697.025924135,265701.373176345,0.6759184589609504,4.113693452450654,5.024430835968815,0.9107373835181605,0.23481892456766218,11
47,1715995901.7328718,265702.049094804,1715995906.9628484,265707.279071556,265702.050106721,265706.605154806,0.6739167500054464,4.332769251748057,5.229976752016228,0.8972075002681708,0.2232907502911985,11
48,1715995906.9628484,265707.279071556,1715995912.024588,265712.340811225,265707.280138639,265711.708686725,0.632124499999918,4.323696714976306,5.0617396690067835,0.7380429540304778,0.10591845400631428,11
49,1715995912.024588,265712.340811225,1715995917.0510316,265717.367254769,265712.341822642,265716.704369394,0.6628853750298731,4.201496774800422,5.026443544018548,0.8249467692181263,0.16206139419227839,12
50,1715995917.0510318,265717.367254769,1715995922.007071,265722.323293938,265717.368293102,265721.651788021,0.6715059170383029,4.271826279079943,4.9560391689883545,0.6842128899084114,0.01270697289146483,13
