step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1715993938.701683,263738.948505533,1715993940.0137055,263740.26052795,263738.949561408,263738.949561408,1.3109665419906378,0.0,1.3120224170270376,1.3120224170270376,0.0010558750363998115,1
1,1715993940.0137055,263740.26052795,1715993945.9121194,263746.158941911,263740.263091034,263745.539103828,0.6198380829882808,5.230947072835447,5.89841396099655,0.667466888161103,0.04762880515772849,19
2,1715993945.9121194,263746.158941911,1715993952.064554,263752.311376414,263746.16196587,263751.633896997,0.6774794170050882,5.230947072835447,6.152434503019322,0.9214874301838751,0.24400801316369325,13
3,1715993952.064554,263752.311376414,1715993958.0588663,263758.305688667,263752.313255497,263757.713409125,0.5922795420046896,5.230947072835447,5.994312252965756,0.7633651801303092,0.1710856381105259,11
4,1715993958.0588663,263758.305688667,1715993964.1533093,263764.400131669,263758.307347875,263763.814831128,0.5853005410172045,5.230947072835447,6.094443002017215,0.8634959291817683,0.2781953881494701,13
5,1715993964.153309,263764.400131669,1715993970.1070988,263770.353921422,263764.401172461,263769.676625172,0.6772962499526329,5.230947072835447,5.953789752966259,0.7228426801308121,0.04554643016308546,14
6,1715993970.1070988,263770.353921422,1715993976.0016935,263776.248516008,263770.356327047,263775.636353133,0.6121628750115633,5.230947072835447,5.894594586046878,0.6636475132114317,0.05148463818477467,15
7,1715993976.0016935,263776.248516008,1715993982.0431225,263782.289945094,263776.249619842,263781.711623136,0.5783219579607248,5.230947072835447,6.041429085948039,0.8104820131125923,0.23216005513677374,17
8,1715993982.0431225,263782.289945094,1715993988.1655495,263788.412372014,263782.290969886,263787.717086597,0.6952854170231149,5.230947072835447,6.122426920046564,0.8914798472111176,0.19619443017290905,14
9,1715993988.1655495,263788.412372014,1715993994.1204813,263794.367303683,263788.414111472,263793.780438725,0.5868649579933845,5.230947072835447,5.954931668995414,0.7239845961599674,0.1371196381514892,13
10,1715993994.1204813,263794.367303683,1715994000.1406295,263800.387451936,263794.368396808,263799.807882061,0.579569875029847,5.230947072835447,6.02014825301012,0.7892011801746737,0.20963130512973294,16
11,1715994000.1406295,263800.387451936,1715994006.02942,263806.276242356,263800.388452978,263805.677901772,0.5983405839651823,5.230947072835447,5.888790419965517,0.6578433471300702,0.05950276314979419,13
12,1715994006.02942,263806.276242356,1715994011.980452,263812.227274566,263806.277230606,263811.615580233,0.611694333027117,5.230947072835447,5.951032210025005,0.7200851371895585,0.10839080414734781,14
13,1715994011.980452,263812.227274566,1715994018.1063945,263818.353217069,263812.228564274,263817.747369194,0.6058478750055656,5.230947072835447,6.125942502985708,0.8949954301502618,0.28914755512960255,15
14,1715994018.1063945,263818.353217069,1715994024.1134803,263824.360302988,263818.354349277,263823.719870863,0.6404321249574423,5.230947072835447,6.007085918972734,0.7761388461372878,0.1357067211647518,16
15,1715994024.1134806,263824.360302988,1715994029.9756236,263830.222446075,263824.361547155,263829.633550949,0.5888951260130852,5.230947072835447,5.8621430870261975,0.6311960141907509,0.04230088816257194,14
16,1715994029.9756236,263830.222446075,1715994036.0692377,263836.316060119,263830.223445908,263835.677996702,0.6380634169909172,5.230947072835447,6.0936140440171584,0.8626669711817119,0.224603554175701,13
17,1715994036.0692377,263836.316060119,1715994042.1111066,263842.357929163,263836.317030494,263841.726181038,0.6317481249570847,5.230947072835447,6.041869043954648,0.8109219711192015,0.17917384614702314,14
18,1715994042.1111066,263842.357929163,1715994048.1213982,263848.368220708,263842.359239663,263847.736338833,0.6318818749859929,5.230947072835447,6.010291545011569,0.7793444721761222,0.14746259717503563,17
19,1715994048.1213982,263848.368220708,1715994054.071819,263854.318641586,263848.369405416,263853.698821585,0.6198200010112487,5.230947072835447,5.950420878012665,0.719473805177218,0.09965380415087566,11
20,1715994054.071819,263854.318641586,1715994060.1305797,263860.377402214,263854.319725794,263859.779480672,0.5979215420084074,5.230947072835447,6.058760627987795,0.827813555152348,0.22989201312884688,15
21,1715994060.1305797,263860.377402214,1715994066.125648,263866.372470633,263860.378549589,263865.778877633,0.5935930000268854,5.230947072835447,5.995068419026211,0.7641213461907643,0.1705283461487852,14
22,1715994066.1256483,263866.372470633,1715994072.0703397,263872.317162135,263866.373684216,263871.690149261,0.6270128739997745,5.230947072835447,5.944691501965281,0.713744429129834,0.08673155511496589,16
23,1715994072.0703397,263872.317162135,1715994078.0651698,263878.311992347,263872.318758719,263877.692687888,0.6193044590181671,5.230947072835447,5.994830212031957,0.7638831391965102,0.14457868016324937,16
24,1715994078.0651698,263878.311992347,1715994084.1125858,263884.359408433,263878.313042138,263883.688952516,0.6704559170175344,5.230947072835447,6.04741608601762,0.8164690131821732,0.14601309614954516,13
25,1715994084.112586,263884.359408433,1715994090.3454084,263890.592230852,263884.360508683,263889.974744894,0.6174859579768963,5.230947072835447,6.23282241896959,1.0018753461341436,0.3843893881421536,12
26,1715994090.3454084,263890.592230852,1715994096.3029382,263896.549760689,263890.593490644,263895.90673473,0.6430259590269998,5.230947072835447,5.95752983703278,0.7265827641973335,0.08355680515524,12
27,1715994096.3029382,263896.549760689,1715994102.2776453,263902.524467858,263896.55080898,263901.929653483,0.5948143750429153,5.230947072835447,5.974707168992609,0.7437600961571622,0.14894572109915316,16
28,1715994102.2776453,263902.524467858,1715994108.2423327,263908.489155236,263902.525913274,263907.889557944,0.5995972919627093,5.230947072835447,5.964687377971131,0.7337403051356848,0.1341430131578818,13
29,1715994108.2423327,263908.489155236,1715994114.343399,263914.590221572,263908.490353152,263913.939761488,0.6504600840271451,5.230947072835447,6.1010663360357285,0.8701192632002819,0.21965917915804312,14
30,1715994114.343399,263914.590221572,1715994120.306252,263920.553074491,263914.591588114,263919.933233116,0.6198413749807514,5.230947072835447,5.962852918950375,0.7319058461149286,0.11206447111908346,12
31,1715994120.306252,263920.553074491,1715994126.3455763,263926.592398786,263920.556066825,263925.946613161,0.6457856249762699,5.230947072835447,6.039324295008555,0.8083772221731085,0.16259159718174487,16
32,1715994126.3455763,263926.592398786,1715994132.431336,263932.678158539,263926.593506911,263932.066504455,0.6116540840012021,5.230947072835447,6.085759753012098,0.8548126801766518,0.24315859616035596,13
33,1715994132.4313362,263932.678158539,1715994138.4128308,263938.65965325,263932.679292664,263938.053891999,0.6057612510048784,5.230947072835447,5.981494711013511,0.7505476381780642,0.1447863871580921,13
34,1715994138.4128308,263938.65965325,1715994144.4372134,263944.684035836,263938.660950708,263944.098989377,0.5850464590475895,5.230947072835447,6.024382586008869,0.7934355131734225,0.20838905411073938,14
35,1715994144.4372134,263944.684035836,1715994150.5366445,263950.78346688,263944.684993753,263950.14292263,0.6405442499672063,5.230947072835447,6.099431043956429,0.8684839711209822,0.22793972113868222,16
36,1715994150.5366445,263950.78346688,1715994156.6729198,263956.919742175,263950.784668797,263956.27612805,0.6436141250305809,5.230947072835447,6.136275295051746,0.9053282222162995,0.2617140971706249,16
37,1715994156.6729198,263956.919742175,1715994162.7799993,263963.026821761,263956.921439133,263962.382592927,0.6442288339603692,5.230947072835447,6.107079585955944,0.8761325131204973,0.2319036791450344,18
38,1715994162.7799993,263963.026821761,1715994168.8681123,263969.114934764,263963.028186511,263968.46559343,0.6493413340067491,5.230947072835447,6.088113003002945,0.8571659301674988,0.20782459614565596,16
39,1715994168.8681123,263969.114934764,1715994174.6952176,263974.9420401,263969.116047305,263974.358172099,0.5838680010056123,5.230947072835447,5.827105336007662,0.5961582631722155,0.012290262151509523,13
40,1715994174.6952176,263974.9420401,1715994180.8715541,263981.118376644,263974.943136766,263980.512763811,0.605612832994666,5.230947072835447,6.17633654398378,0.9453894711483333,0.3397766381385736,14
41,1715994180.8715541,263981.118376644,1715994187.0188997,263987.265722106,263981.119825603,263986.480714605,0.7850075009628199,5.230947072835447,6.147345461999066,0.9163983891636196,0.131390888185706,10
42,1715994187.0188997,263987.265722106,1715994193.1507602,263993.397582692,263987.266970022,263992.716796775,0.6807859169784933,5.230947072835447,6.131860585999675,0.9009135131642285,0.22012759617064148,12
43,1715994193.1507602,263993.397582692,1715994199.141416,263999.388238694,263993.398919358,263998.728230152,0.6600085420068353,5.230947072835447,5.990656002017204,0.7597089291817571,0.0997003871598281,11
44,1715994199.1414163,263999.388238694,1715994205.1136267,264005.360448989,263999.389256403,264004.75078578,0.6096632090047933,5.230947072835447,5.97221029503271,0.7412632221972633,0.13160001317737624,12
45,1715994205.1136265,264005.360448989,1715994211.148687,264011.395509283,264005.361701531,264010.814130908,0.5813783750054426,5.230947072835447,6.035060293972492,0.8041132211370456,0.2227348461165093,10
46,1715994211.148687,264011.395509283,1715994217.042156,264017.28897837,264011.3965547,264016.668188828,0.620789542037528,5.230947072835447,5.893469087022822,0.6625220141873758,0.04173247213475406,13
47,1715994217.042156,264017.28897837,1715994223.2855763,264023.532398664,264017.289943703,264022.763335539,0.7690631249570288,5.230947072835447,6.243420293962117,1.0124732211266707,0.24341009615454823,12
48,1715994223.285576,264023.532398664,1715994229.200157,264029.446979417,264023.534255081,264028.859940583,0.5870388339972124,5.230947072835447,5.914580753014889,0.683633680179442,0.09659484616713598,13
49,1715994229.200157,264029.446979417,1715994235.1626048,264035.409427253,264029.448056917,264034.819290044,0.5901372089865617,5.230947072835447,5.962447836005595,0.731500763170148,0.14136355416849256,12
50,1715994235.1626048,264035.409427253,1715994241.2485335,264041.495355922,264035.41041242,264040.891387589,0.6039683329872787,5.230947072835447,6.085928668966517,0.8549815961310703,0.25101326312869787,15
