step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1715992228.625448,262028.802963254,1715992230.1240873,262030.30160263,262028.804843296,262028.804843296,1.4967593339970335,0.0,1.4986393759900238,1.4986393759900238,0.0018800419929903,1
1,1715992230.1240873,262030.30160263,1715992236.4671237,262036.644638966,262030.305072255,262036.008294924,0.6363440420245752,5.63201834646136,6.343036336009391,0.7110179895480311,0.07467394752893597,21
2,1715992236.4671237,262036.644638966,1715992242.2238584,262042.401373594,262036.647155841,262041.726496885,0.6748767090030015,4.993619116450308,5.756734627997503,0.7631155115471948,0.08823880253476091,14
3,1715992242.2238584,262042.401373594,1715992250.1918004,262050.369315597,262042.40251226,262049.71394693,0.6553686670085881,7.084855264577213,7.967942002986092,0.8830867384088794,0.2277180714008864,18
4,1715992250.1918004,262050.369315597,1715992256.3589277,262056.536443017,262050.370963306,262055.911956183,0.6244868339854293,5.451817751644568,6.16712741999072,0.7153096683461522,0.09082283434690908,14
5,1715992256.3589277,262056.536443017,1715992260.5775676,262060.755082852,262056.537593142,262060.131606894,0.6234759580111131,3.019750586966666,4.218639835016802,1.1988892480501359,0.5754132900328841,9
6,1715992260.5775676,262060.755082852,1715992268.223201,262068.400716314,262060.756169019,262067.720395397,0.6803209170175251,6.676226845831042,7.64563346200157,0.9694066161705273,0.2890856991580222,19
7,1715992268.223201,262068.400716314,1715992274.1129384,262074.290453775,262068.402110856,262073.6447679,0.6456858750025276,5.106320269073118,5.889737460995093,0.7834171919219752,0.1377313169068657,14
8,1715992274.1129384,262074.290453775,1715992280.635839,262080.81335432,262074.291767775,262080.148131028,0.6652232920168899,5.558478758357238,6.522900545009179,0.9644217866519407,0.2991984946420416,15
9,1715992280.635839,262080.81335432,1715992289.366473,262089.543988282,262080.814501237,262088.925437157,0.618551124993246,7.934466320160727,8.730633961997228,0.7961676418365009,0.17761651685577817,20
10,1715992289.366473,262089.543988282,1715992296.3623798,262096.539895036,262089.545113741,262095.879588577,0.6603064590017311,6.15371898659599,6.995906753989402,0.842187767393412,0.18188130838098004,13
11,1715992296.3623798,262096.539895036,1715992300.093532,262100.271047329,262096.540987619,262099.687995996,0.583051333000185,3.0629922995090517,3.731152293010382,0.6681599935013303,0.08510866051074117,8
12,1715992300.093532,262100.271047329,1715992305.4966574,262105.674172706,262100.272031537,262105.047559247,0.6266134589968715,4.633324738942187,5.403125376993557,0.76980063805137,0.14318717905553058,12
13,1715992305.4966574,262105.674172706,1715992308.3367405,262108.514255916,262105.675332623,262107.891514124,0.6227417920017615,1.9572704012151583,2.840083210001467,0.8828128087863085,0.26007101678987965,6
14,1715992308.3367407,262108.514255916,1715992313.8503795,262114.027894668,262108.515462416,262113.457798376,0.5700962919800077,4.911295327968392,5.513638751988765,0.6023434240203729,0.03224713203962892,14
15,1715992313.8503795,262114.027894668,1715992318.4238443,262118.601359504,262114.028941418,262117.998367379,0.6029921250010375,3.7560587863905326,4.573464836023049,0.8174060496325168,0.21441392463748343,12
16,1715992318.4238443,262118.601359504,1715992322.402541,262122.580056131,262118.602553754,262121.939100922,0.6409552090044599,3.15264975738503,3.9786966269894037,0.8260468696043737,0.18509166059084237,10
17,1715992322.402541,262122.580056131,1715992328.6296885,262128.807203592,262122.581161381,262128.136693175,0.6705104169959668,5.38487402791359,6.22714746100246,0.8422734330888701,0.17176301608560607,14
18,1715992328.6296883,262128.807203592,1715992335.2874677,262135.464983136,262128.808313842,262134.852192553,0.6127905829926021,5.924937445929127,6.657779543980723,0.732842098051596,0.12005151505582035,16
19,1715992335.287468,262135.464983136,1715992341.0369706,262141.214485806,262135.466041761,262140.611321514,0.6031642919988371,5.0407450368858955,5.749502670019865,0.7087576331339696,0.10559334114077501,12
20,1715992341.0369706,262141.214485806,1715992347.6639323,262147.841447559,262141.215664597,262147.23569185,0.6057557089952752,5.956939964971842,6.626961753005162,0.6700217880333197,0.06426607904722914,16
21,1715992347.6639323,262147.841447559,1715992353.870228,262154.047743229,262147.842667559,262153.414360853,0.6333823759923689,5.426051474790619,6.2062956700101495,0.7802441952195309,0.14686181920114905,17
22,1715992353.870228,262154.047743229,1715992359.363935,262159.541450273,262154.049883145,262158.948415981,0.59303429198917,4.7115503009448165,5.49370704399189,0.7821567430470733,0.18912245106184855,12
23,1715992359.363935,262159.541450273,1715992366.2861602,262166.463675484,262159.542746314,262165.782845734,0.6808297500247136,6.116232244539054,6.922225210990291,0.8059929664512371,0.12516321643488482,16
24,1715992366.2861602,262166.463675484,1715992369.459801,262169.637316152,262166.465498401,262168.960582985,0.6767331669689156,2.468976024163308,3.1736406679847278,0.7046646438214199,0.027931476826779544,8
25,1715992369.459801,262169.637316152,1715992377.2508152,262177.428330281,262169.638860694,262176.809860656,0.6184696250129491,7.156437445916923,7.791014129004907,0.6345766830879835,0.01610705809434876,21
26,1715992377.250815,262177.428330281,1715992384.671598,262184.849113368,262177.429683114,262184.199452284,0.6496610839967616,6.550875362531615,7.420783087029122,0.8699077244975069,0.22024664049968123,15
27,1715992384.6715982,262184.849113368,1715992391.8545449,262192.032060037,262184.850719701,262191.420340663,0.6117193740210496,6.404301692633948,7.18294666899601,0.7786449763620622,0.16692560235969722,12
28,1715992391.8545449,262192.032060037,1715992396.7148583,262196.892373415,262192.033306246,262196.248490539,0.6438828760292381,4.195310371474203,4.8603133779834025,0.6650030065091999,0.02112013049190864,8
29,1715992396.714858,262196.892373415,1715992404.3247893,262204.502304627,262196.893573373,262203.817342168,0.6849624589667656,6.82426056872666,7.6099312119768,0.7856706432501399,0.10070818429812789,16
30,1715992404.3247893,262204.502304627,1715992408.4364617,262208.613977045,262204.503495252,262207.994397378,0.6195796669926494,3.3598407511825137,4.111672418017406,0.7518316668348923,0.1322519998648204,7
31,1715992408.4364617,262208.613977045,1715992420.866981,262221.044496301,262208.615028129,262220.383282759,0.6612135419854894,11.701359008815887,12.430519255984109,0.7291602471682221,0.06794670521048829,26
32,1715992420.866981,262221.044496301,1715992431.37821,262231.555725389,262221.046228885,262230.877045055,0.6786803340073675,9.711412587424052,10.511229088006075,0.7998165005820237,0.12113616656279191,22
33,1715992431.37821,262231.555725389,1715992437.8008938,262237.978409142,262231.557534097,262237.275741017,0.7026681249844842,5.4814029856512,6.422683753015008,0.941280767363808,0.2386126423953101,14
34,1715992437.8008938,262237.978409142,1715992442.6932924,262242.870807644,262237.9801341,262242.242824894,0.6279827499529347,3.992452701705552,4.892398501979187,0.8999458002736351,0.2719630502979271,9
35,1715992442.6932924,262242.870807644,1715992447.1613507,262247.338865938,262242.872220311,262246.728735188,0.6101307499920949,3.7220514324073255,4.468058294034563,0.7460068616272375,0.13587611162802204,7
36,1715992447.1613507,262247.338865938,1715992452.8355494,262253.013064606,262247.340100646,262252.223505606,0.789558999997098,4.746214285005164,5.674198667984456,0.9279843829792922,0.13842538296012208,11
37,1715992452.8355494,262253.013064606,1715992478.655873,262278.833388327,262253.014148731,262278.18259941,0.6507889169733971,24.797698561667755,25.820323720981833,1.022625159314078,0.371836242324207,59
38,1715992478.655873,262278.833388327,1715992482.7587361,262282.936251287,262278.835206244,262282.330437453,0.6058138340013102,3.347958025129771,4.102862960018683,0.7549049348889123,0.1490911009022966,10
39,1715992482.7587361,262282.936251287,1715992488.335039,262288.512554123,262282.937375662,262287.791904289,0.7206498340237886,4.6195424962346365,5.576302836008836,0.956760339774199,0.23611050576437265,12
40,1715992488.335039,262288.512554123,1715992493.5312805,262293.708795834,262288.51602679,262293.053986542,0.6548092919983901,4.475251356546786,5.1962417109753005,0.7209903544285146,0.0661810624296777,10
41,1715992493.5312805,262293.708795834,1715992498.6936495,262298.871164961,262293.710344292,262298.250817503,0.6203474579961039,4.313592533819468,5.162369127036072,0.8487765932166047,0.22842913522617891,13
42,1715992498.6936498,262298.871164961,1715992505.1309114,262305.308426631,262298.872205045,262304.631554797,0.6768718339735642,5.525956120441217,6.437261669954751,0.9113055495135338,0.23443371552275494,14
43,1715992505.1309114,262305.308426631,1715992516.9377587,262317.115273969,262305.310272839,262316.350580719,0.7646932500065304,10.730725927882212,11.806847338040825,1.0761214101586134,0.31142816017381847,22
44,1715992516.9377587,262317.115273969,1715992526.119936,262326.297451307,262317.116659344,262325.705686515,0.5917647919850424,8.24889645968069,9.18217733799247,0.9332808783117805,0.34151608630781993,18
45,1715992526.119936,262326.297451307,1715992531.8482785,262332.02579381,262326.298653182,262331.395927518,0.6298662920016795,5.065388192181931,5.728342503018212,0.6629543108362803,0.03308801882667467,13
46,1715992531.8482785,262332.02579381,1715992541.4013731,262341.578888398,262332.02747481,262340.963980189,0.6149082090123557,8.881849210757748,9.553094587987289,0.6712453772295408,0.056337168207392097,24
47,1715992541.4013731,262341.578888398,1715992547.0619555,262347.239470649,262341.579980398,262346.560794816,0.678675832983572,4.867403842782266,5.660582250973675,0.7931784081914097,0.11450257519027218,10
48,1715992547.0619555,262347.239470649,1715992550.7185733,262350.896088568,262347.241088108,262350.280246109,0.6158424590248615,2.7765761378486924,3.6566179190413095,0.8800417811926171,0.26419932214776054,7
49,1715992550.7185733,262350.896088568,1715992553.182247,262353.359762069,262350.897406776,262352.73943436,0.6203277090098709,1.5846680465851057,2.4636735009844415,0.8790054543993358,0.2586777454125695,5
50,1715992553.1822467,262353.359762069,1715992563.756772,262363.934287407,262353.360928861,262363.315802574,0.6184848330449313,9.707087482356728,10.574525338015519,0.8674378556587907,0.24895302258664742,22
