seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1716053433.1173954,323235.850478062,1716053433.1931117,323235.926196229,0.0757181670051068,FrameResult.SUCCESS,0.0
2,1716053433.3858535,323236.118936729,1716053433.4565225,323236.189607521,0.07067079201806337,FrameResult.NO_CHANGE,0.0
3,1716053433.6547797,323236.387862854,1716053433.7263334,323236.459418062,0.07155520800733939,FrameResult.NO_CHANGE,0.0
4,1716053433.9197116,323236.652794646,1716053433.9279675,323236.661051854,0.008257208042778075,FrameResult.CV_ERROR,0.0
5,1716053434.1246147,323236.857698104,1716053434.1333194,323236.866403479,0.008705375017598271,FrameResult.CV_ERROR,0.0
6,1716053434.331718,323237.064801188,1716053434.340314,323237.073397854,0.008596665982622653,FrameResult.CV_ERROR,0.0
7,1716053434.5273547,323237.260437729,1716053434.5976193,323237.330704229,0.07026649999897927,FrameResult.NO_CHANGE,0.0
8,1716053434.7901397,323237.523219021,1716053434.7985427,323237.531626563,0.008407542016357183,FrameResult.CV_ERROR,0.0
9,1716053434.9961684,323237.72925223,1716053435.0682547,323237.801339938,0.07208770798752084,FrameResult.NO_CHANGE,0.0
10,1716053435.2622714,323237.995354688,1716053435.333164,323238.066248938,0.07089424994774163,FrameResult.NO_CHANGE,0.0
11,1716053435.524067,323238.257149938,1716053435.5317557,323238.264839772,0.007689833990298212,FrameResult.CV_ERROR,0.0
12,1716053435.7216675,323238.454751438,1716053435.7295175,323238.462601188,0.007849749992601573,FrameResult.CV_ERROR,0.0
13,1716053435.9238064,323238.656889647,1716053435.9934258,323238.726510897,0.06962124997517094,FrameResult.NO_CHANGE,0.0
14,1716053436.1774237,323238.91050748,1716053436.1856806,323238.918764397,0.008256917004473507,FrameResult.CV_ERROR,0.0
15,1716053436.3760138,323239.10909723,1716053436.4482205,323239.181305272,0.0722080419654958,FrameResult.NO_CHANGE,0.0
16,1716053436.6486557,323239.381738439,1716053436.6570616,323239.390145689,0.00840724998852238,FrameResult.CV_ERROR,0.0
17,1716053436.85677,323239.589853522,1716053436.864674,323239.597757814,0.007904291967861354,FrameResult.CV_ERROR,0.0
18,1716053437.0628865,323239.795969939,1716053437.1337798,323239.866864772,0.070894833013881,FrameResult.NO_CHANGE,0.0
19,1716053437.3322113,323240.065294022,1716053437.3403773,323240.073461106,0.008167084015440196,FrameResult.CV_ERROR,0.0
20,1716053437.5382957,323240.271379022,1716053437.9039595,323240.637044564,0.3656655420199968,FrameResult.LOW_CONFIDENCE,0.0
21,1716053438.1035888,323240.836672481,1716053438.1096723,323240.842751439,0.006078958045691252,FrameResult.CV_ERROR,0.0
22,1716053438.2987976,323241.031877565,1716053438.3065999,323241.039683815,0.0078062499524094164,FrameResult.CV_ERROR,0.0
23,1716053438.504705,323241.237788648,1716053438.5118449,323241.244924856,0.0071362080052495,FrameResult.CV_ERROR,0.0
24,1716053438.7067082,323241.43979169,1716053439.0776606,323241.810745732,0.3709540420095436,FrameResult.SUCCESS,0.0
25,1716053439.2786338,323242.011717023,1716053439.6388025,323242.371887523,0.36017050000373274,FrameResult.NO_CHANGE,0.0
26,1716053439.838633,323242.571716774,1716053440.2050056,323242.938090649,0.3663738750037737,FrameResult.NO_CHANGE,0.0
27,1716053440.3934264,323243.126509816,1716053440.4566166,323243.189701482,0.06319166603498161,FrameResult.JUNK_FRAME,0.0
28,1716053440.646179,323243.379261899,1716053440.7170868,323243.450171316,0.07090941700153053,FrameResult.JUNK_FRAME,0.0
29,1716053440.9174082,323243.650491857,1716053440.9898624,323243.722946982,0.07245512498775497,FrameResult.JUNK_FRAME,0.0
30,1716053441.1810868,323243.914170608,1716053441.2535002,323243.986584983,0.07241437502671033,FrameResult.JUNK_FRAME,0.0
31,1716053441.441507,323244.174590108,1716053441.5158224,323244.248906983,0.0743168750195764,FrameResult.JUNK_FRAME,0.0
32,1716053441.707865,323244.440944691,1716053441.780842,323244.513926816,0.07298212498426437,FrameResult.JUNK_FRAME,0.0
33,1716053441.9813392,323244.714422941,1716053442.055278,323244.788362733,0.07393979199696332,FrameResult.JUNK_FRAME,0.0
34,1716053442.2470171,323244.980100525,1716053442.617797,323245.350881817,0.37078129197470844,FrameResult.NO_CHANGE,0.0
35,1716053442.810167,323245.543247483,1716053442.874995,323245.6080799,0.06483241700334474,FrameResult.JUNK_FRAME,0.0
36,1716053443.0718253,323245.804908567,1716053443.142605,323245.875690067,0.07078150002053007,FrameResult.JUNK_FRAME,0.0
37,1716053443.329156,323246.062238859,1716053443.4020853,323246.135169942,0.07293108297744766,FrameResult.JUNK_FRAME,0.0
38,1716053443.5971375,323246.330221484,1716053443.6733983,323246.40648315,0.07626166602130979,FrameResult.JUNK_FRAME,0.0
39,1716053443.8683183,323246.60140215,1716053443.9422376,323246.675321901,0.0739197509828955,FrameResult.JUNK_FRAME,0.0
40,1716053444.128805,323246.861887817,1716053444.1958103,323246.928894776,0.0670069589978084,FrameResult.JUNK_FRAME,0.0
41,1716053444.3847828,323247.117866192,1716053444.4531958,323247.186280401,0.06841420900309458,FrameResult.JUNK_FRAME,0.0
42,1716053444.6527343,323247.385817776,1716053445.0207157,323247.753800901,0.3679831249755807,FrameResult.SUCCESS,0.0
43,1716053445.2125795,323247.945663151,1716053445.5717552,323248.304840526,0.35917737503768876,FrameResult.NO_CHANGE,0.0
44,1716053445.7645938,323248.497677693,1716053445.8220417,323248.55512661,0.05744891695212573,FrameResult.JUNK_FRAME,0.0
45,1716053446.0110407,323248.74412411,1716053446.3757114,323249.108796485,0.36467237502802163,FrameResult.LOW_CONFIDENCE,0.0
46,1716053446.5638428,323249.296926943,1716053446.6195545,323249.35263911,0.055712166999001056,FrameResult.JUNK_FRAME,0.0
47,1716053446.8148062,323249.547885527,1716053446.8804255,323249.613510152,0.0656246249563992,FrameResult.JUNK_FRAME,0.0
48,1716053447.0745769,323249.80766136,1716053447.4090495,323250.142134652,0.3344732919940725,FrameResult.NO_CHANGE,0.0
49,1716053447.6082578,323250.341341486,1716053447.6708508,323250.403935777,0.06259429099736735,FrameResult.JUNK_FRAME,0.0
50,1716053447.869038,323250.602121569,1716053448.237408,323250.970493028,0.3683714590151794,FrameResult.NO_CHANGE,0.0
51,1716053448.4366672,323251.169750278,1716053448.5019994,323251.235084236,0.0653339580167085,FrameResult.JUNK_FRAME,0.0
52,1716053448.6955917,323251.428674861,1716053449.0645666,323251.79765157,0.3689767090254463,FrameResult.NO_CHANGE,0.0
53,1716053449.2616107,323251.99469432,1716053449.3199394,323252.05302407,0.05832974996883422,FrameResult.JUNK_FRAME,0.0
54,1716053449.5188036,323252.25188657,1716053449.5848777,323252.317962487,0.06607591698411852,FrameResult.JUNK_FRAME,0.0
55,1716053449.782838,323252.51592182,1716053449.8474946,323252.580579487,0.06465766701148823,FrameResult.JUNK_FRAME,0.0
56,1716053450.0476499,323252.78073357,1716053450.1115887,323252.846210612,0.06547704199329019,FrameResult.JUNK_FRAME,0.0
57,1716053450.2998722,323253.03449007,1716053450.3653977,323253.100020028,0.06552995799575001,FrameResult.JUNK_FRAME,0.0
