seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1716046728.4002364,1.5751349999918602,921620,4705,0.0
2,0,1,repeat,False,1716046729.9909797,0.32542916701640934,921620,4705,1.3042008504271507e-05
3,0,2,repeat,False,1716046730.3243337,0.3260422089952044,921620,4705,0.3361882920144126
4,0,3,repeat,False,1716046730.6570115,0.3283753750147298,921620,4705,0.6698464590008371
5,0,4,blank,False,1716046730.9927378,0.24886820896063,921620,4705,1.0046104170032777
6,0,5,blank,False,1716046731.2506366,0.25670125003671274,921620,4705,1.262043042050209
7,0,6,blank,False,1716046731.5161238,0.24516595801105723,921620,4705,1.5274090010207146
8,0,7,blank,False,1716046731.7705982,0.2534642089740373,921620,4705,1.7820446680416353
9,0,8,repeat,False,1716046732.0324504,0.32489987497683614,921620,4705,2.0439843340427615
10,0,9,repeat,False,1716046732.3645532,0.3247893339721486,921620,4705,2.3767834180034697
11,0,10,repeat,False,1716046732.6961966,0.31816370895830914,921620,4705,2.708515835052822
12,0,11,repeat,False,1716046733.0214567,0.31792233302257955,921620,4705,3.0336631259997375
13,0,12,blank,False,1716046733.346237,0.251126250019297,921620,4705,3.358827502001077
14,0,13,blank,False,1716046733.6064415,0.2543245839769952,921620,4705,3.617707710014656
15,0,14,repeat,False,1716046733.8698852,0.3224806669750251,921620,4705,3.8811714600306004
16,0,15,blank,False,1716046734.1996322,0.2552865000325255,921620,4705,4.211751085007563
17,0,16,blank,False,1716046734.4642258,0.2584205839666538,921620,4705,4.475255127006676
18,0,17,blank,False,1716046734.7314444,0.2543968749814667,921620,4705,4.74286291905446
19,0,18,blank,False,1716046734.9944937,0.253302666998934,921620,4705,5.006052377051674
20,0,19,blank,False,1716046735.256233,0.2538166660233401,921620,4705,5.267853211029433
21,0,20,success,True,1716046735.5170836,0.6150857500033453,921620,9326,5.530581252998672
22,1,1,repeat,False,1716046736.1368442,0.6152782920398749,921620,9326,2.9159709811210632e-06
23,1,2,repeat,False,1716046736.755135,0.6100376670365222,921620,9326,0.6182793329935521
24,1,3,blank,False,1716046737.3685622,0.32896074996097013,921620,9326,1.231570458970964
25,1,4,blank,False,1716046737.704179,0.31140279199462384,921620,9326,1.5654400839703158
26,1,5,blank,False,1716046738.0217,0.3326217510038987,921620,9326,1.8829901249846444
27,1,6,blank,False,1716046738.3614898,0.32691624999279156,921620,9326,2.222325542010367
28,1,7,blank,False,1716046738.6953762,0.32500145904487,921620,9326,2.5564589590067044
29,1,8,repeat,False,1716046739.0267897,0.6183338339906186,921620,9326,2.8882759179687127
30,1,9,blank,False,1716046739.6481194,0.3151981249684468,921620,9326,3.511267460009549
