seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1716005302.0787938,1.7096473759738728,921620,4705,0.0
2,0,1,repeat,False,1716005303.79657,0.3667369589675218,921620,4705,5.959009286016226e-06
3,0,2,repeat,False,1716005304.1716065,0.3504541669972241,921620,4705,0.3753390010097064
4,0,3,blank,False,1716005304.5256848,0.2346172090037726,921620,4705,0.7315332510042936
5,0,4,blank,False,1716005304.7683954,0.2214261670014821,921620,4705,0.9718730429885909
6,0,5,repeat,False,1716005304.998651,0.3034026669920422,921620,4705,1.201837042986881
7,0,6,repeat,False,1716005305.3068504,0.35924716701265424,921620,4705,1.5124670009827241
8,0,7,blank,False,1716005305.6724732,0.26844187604729086,921620,4705,1.8766312929801643
9,0,8,blank,False,1716005305.950025,0.23232687503332272,921620,4705,2.15288425196195
10,0,9,blank,False,1716005306.1929822,0.2551198749570176,921620,4705,2.3967297929921187
11,0,10,blank,False,1716005306.456717,0.23650512500898913,921620,4705,2.6599001679569483
12,0,11,repeat,False,1716005306.7015288,0.3261632079957053,921620,4705,2.9045576690114103
13,0,12,blank,False,1716005307.0318136,0.22828862501773983,921620,4705,3.237599751970265
14,0,13,blank,False,1716005307.2682667,0.24014725000597537,921620,4705,3.4717352939769626
15,0,14,blank,False,1716005307.5167868,0.21867987501900643,921620,4705,3.7200807940098457
16,0,15,repeat,False,1716005307.744703,0.3414883330115117,921620,4705,3.9474300440051593
17,0,16,blank,False,1716005308.104972,0.21492833294905722,921620,4705,4.301695419009775
18,0,17,repeat,False,1716005308.328571,0.2803506249911152,921620,4705,4.531668210984208
19,0,18,blank,False,1716005308.6136162,0.24654083396308124,921620,4705,4.818956043978687
20,0,19,blank,False,1716005308.8692608,0.22605983301764354,921620,4705,5.072091420006473
21,0,20,success,True,1716005309.100675,0.6071782090002671,921620,9315,5.306565003003925
22,1,1,blank,False,1716005309.7117145,0.35340458300197497,921620,9315,8.791976142674685e-06
23,1,2,repeat,False,1716005310.0713038,0.5820532090147026,921620,9315,0.357454625016544
