seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1716017010.6889017,286811.873330967,1716017010.7561698,286811.940600175,0.06726920802611858,FrameResult.SUCCESS,0.0
2,1716017011.0509365,286812.235366092,1716017011.1200542,286812.304484217,0.06911812501493841,FrameResult.NO_CHANGE,0.0
3,1716017011.343408,286812.527834759,1716017011.3515182,286812.535946759,0.008112000010441989,FrameResult.CV_ERROR,0.0
4,1716017011.6453362,286812.829762717,1716017011.6546764,286812.839105967,0.009343250014353544,FrameResult.CV_ERROR,0.0
5,1716017011.9524865,286813.136915342,1716017011.9600253,286813.144454301,0.007538958976510912,FrameResult.CV_ERROR,0.0
6,1716017012.2532856,286813.437714592,1716017012.3275294,286813.511959676,0.07424508401891217,FrameResult.NO_CHANGE,0.0
7,1716017012.5255513,286813.709979468,1716017012.5976384,286813.782068801,0.07208933297079057,FrameResult.NO_CHANGE,0.0
8,1716017012.8123395,286813.996767843,1716017012.8205657,286814.004995093,0.008227249956689775,FrameResult.CV_ERROR,0.0
9,1716017013.0982816,286814.282710801,1716017013.169343,286814.353772843,0.07106204202864319,FrameResult.NO_CHANGE,0.0
10,1716017013.3795245,286814.563952718,1716017013.3876605,286814.572089968,0.008137250028084964,FrameResult.CV_ERROR,0.0
11,1716017013.6205087,286814.804937968,1716017013.6286063,286814.813034676,0.008096708043012768,FrameResult.CV_ERROR,0.0
12,1716017013.8552418,286815.039670427,1716017013.86282,286815.047249135,0.0075787079986184835,FrameResult.CV_ERROR,0.0
13,1716017014.094556,286815.278981093,1716017014.1660779,286815.350507927,0.07152683398453519,FrameResult.NO_CHANGE,0.0
14,1716017014.3855574,286815.56998601,1716017014.4593832,286815.643813427,0.07382741698529571,FrameResult.NO_CHANGE,0.0
15,1716017014.7229059,286815.907334302,1716017014.73074,286815.915169635,0.007835332944523543,FrameResult.CV_ERROR,0.0
16,1716017014.951001,286816.135428927,1716017014.9594836,286816.143913302,0.008484374964609742,FrameResult.CV_ERROR,0.0
17,1716017015.2023053,286816.386734469,1716017015.2104924,286816.394921552,0.008187083003576845,FrameResult.CV_ERROR,0.0
18,1716017015.445759,286816.630187927,1716017015.4538615,286816.638290052,0.008102125022560358,FrameResult.CV_ERROR,0.0
19,1716017015.688283,286816.872711927,1716017015.7600658,286816.944496011,0.0717840840225108,FrameResult.NO_CHANGE,0.0
20,1716017015.995878,286817.180302928,1716017016.0046253,286817.189054886,0.00875195796834305,FrameResult.CV_ERROR,0.0
21,1716017016.2595563,286817.443985344,1716017016.2680135,286817.452443094,0.00845774996560067,FrameResult.CV_ERROR,0.0
22,1716017016.5473068,286817.731735261,1716017016.9100988,286818.094529428,0.36279416701290756,FrameResult.SUCCESS,0.0
23,1716017017.2013035,286818.38573247,1716017017.5667477,286818.751178303,0.36544583295471966,FrameResult.NO_CHANGE,0.0
24,1716017017.846185,286819.030611845,1716017018.212561,286819.396991595,0.3663797499611974,FrameResult.NO_CHANGE,0.0
25,1716017018.4257758,286819.61020522,1716017018.4995427,286819.68397297,0.07376775000011548,FrameResult.JUNK_FRAME,0.0
26,1716017018.7427187,286819.927147262,1716017018.8186424,286820.003072929,0.07592566701350734,FrameResult.JUNK_FRAME,0.0
27,1716017019.058356,286820.242784762,1716017019.1308126,286820.315242846,0.0724580839741975,FrameResult.JUNK_FRAME,0.0
28,1716017019.3504634,286820.534891763,1716017019.7159262,286820.900357054,0.36546529101906344,FrameResult.NO_CHANGE,0.0
29,1716017019.978221,286821.162649846,1716017020.3455348,286821.529965263,0.36731541698100045,FrameResult.NO_CHANGE,0.0
30,1716017020.6429477,286821.827376138,1716017021.0087378,286822.193168472,0.3657923339633271,FrameResult.NO_CHANGE,0.0
31,1716017021.262253,286822.446681805,1716017021.3386788,286822.523108638,0.07642683299491182,FrameResult.JUNK_FRAME,0.0
32,1716017021.6399643,286822.824394055,1716017021.713728,286822.898158347,0.07376429199939594,FrameResult.JUNK_FRAME,0.0
33,1716017021.9882166,286823.172645139,1716017022.0593386,286823.243768514,0.07112337503349409,FrameResult.JUNK_FRAME,0.0
34,1716017022.3713374,286823.555766222,1716017022.4434774,286823.627907472,0.07214125001337379,FrameResult.JUNK_FRAME,0.0
35,1716017022.7057457,286823.890169264,1716017023.069739,286824.254169681,0.36400041700107977,FrameResult.SUCCESS,0.0
36,1716017023.286711,286824.471139764,1716017023.6503232,286824.834753848,0.3636140839662403,FrameResult.NO_CHANGE,0.0
37,1716017023.952265,286825.136694348,1716017024.3136623,286825.498092973,0.36139862501295283,FrameResult.NO_CHANGE,0.0
38,1716017024.5901225,286825.774551515,1716017024.6546052,286825.839034598,0.06448308296967298,FrameResult.JUNK_FRAME,0.0
39,1716017024.884606,286826.071485015,1716017025.245391,286826.432271348,0.3607863330398686,FrameResult.NO_CHANGE,0.0
40,1716017025.4564362,286826.643315681,1716017025.516967,286826.70384714,0.06053145899204537,FrameResult.JUNK_FRAME,0.0
41,1716017025.8342254,286827.021104515,1716017025.9008882,286827.087767598,0.06666308298008516,FrameResult.JUNK_FRAME,0.0
42,1716017026.1195197,286827.306398265,1716017026.1857846,286827.372664807,0.06626654200954363,FrameResult.JUNK_FRAME,0.0
43,1716017026.4329627,286827.619838932,1716017026.4978254,286827.684705015,0.06486608297564089,FrameResult.JUNK_FRAME,0.0
44,1716017026.7579463,286827.944825182,1716017026.8206387,286828.007519224,0.06269404198974371,FrameResult.JUNK_FRAME,0.0
45,1716017027.0740702,286828.260948557,1716017027.1379962,286828.324876516,0.06392795901047066,FrameResult.JUNK_FRAME,0.0
46,1716017027.4203844,286828.607263724,1716017027.7824135,286828.969294099,0.36203037499217317,FrameResult.NO_CHANGE,0.0
