seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1716030556.492461,300358.255510388,1716030556.5691442,300358.332196305,0.07668591698165983,FrameResult.SUCCESS,0.0
2,1716030556.8236766,300358.58924943,1716030556.8936167,300358.659189972,0.06994054198730737,FrameResult.NO_CHANGE,0.0
3,1716030557.1321845,300358.897756597,1716030557.2023692,300358.967942888,0.07018629094818607,FrameResult.NO_CHANGE,0.0
4,1716030557.435516,300359.201088972,1716030557.4393375,300359.204910263,0.0038212910294532776,FrameResult.CV_ERROR,0.0
5,1716030557.696809,300359.462380055,1716030557.7691128,300359.534686347,0.07230629201512784,FrameResult.NO_CHANGE,0.0
6,1716030557.9818444,300359.747416764,1716030558.0536675,300359.81924118,0.07182441605255008,FrameResult.NO_CHANGE,0.0
7,1716030558.2818556,300360.047427264,1716030558.2897418,300360.055310847,0.007883583020884544,FrameResult.CV_ERROR,0.0
8,1716030558.580365,300360.345937806,1716030558.6493273,300360.414900681,0.06896287499694154,FrameResult.NO_CHANGE,0.0
9,1716030558.9679503,300360.733522848,1716030559.0399225,300360.805496264,0.07197341602295637,FrameResult.NO_CHANGE,0.0
10,1716030559.2719903,300361.037561973,1716030559.2806048,300361.046177639,0.008615666010882705,FrameResult.CV_ERROR,0.0
11,1716030559.5397751,300361.305347306,1716030559.5478518,300361.313424348,0.008077042002696544,FrameResult.CV_ERROR,0.0
12,1716030559.7657979,300361.531370306,1716030559.7734756,300361.539047723,0.007677417015656829,FrameResult.CV_ERROR,0.0
13,1716030560.0409098,300361.80648164,1716030560.0500546,300361.815626515,0.009144875046331435,FrameResult.CV_ERROR,0.0
14,1716030560.2743678,300362.039935515,1716030560.2820623,300362.047634682,0.007699167006649077,FrameResult.CV_ERROR,0.0
15,1716030560.5777497,300362.343321515,1716030560.585418,300362.350990973,0.007669457991141826,FrameResult.CV_ERROR,0.0
16,1716030560.8059905,300362.57156264,1716030560.812378,300362.577950515,0.006387875007931143,FrameResult.CV_ERROR,0.0
17,1716030561.1112688,300362.876840682,1716030561.1191533,300362.884725807,0.007885125000029802,FrameResult.CV_ERROR,0.0
18,1716030561.4168637,300363.182435849,1716030561.7922566,300363.557830516,0.3753946670331061,FrameResult.LOW_CONFIDENCE,0.0
19,1716030562.0475261,300363.813097766,1716030562.0555856,300363.821157766,0.008059999963734299,FrameResult.CV_ERROR,0.0
20,1716030562.3434172,300364.108989307,1716030562.721303,300364.486877099,0.3778877920121886,FrameResult.SUCCESS,0.0
21,1716030562.9777668,300364.743339349,1716030563.3838398,300365.149413683,0.4060743339941837,FrameResult.NO_CHANGE,0.0
22,1716030563.644761,300365.410333183,1716030563.7122939,300365.477867225,0.06753404199844226,FrameResult.JUNK_FRAME,0.0
23,1716030563.97789,300365.743462308,1716030564.049772,300365.81534535,0.07188304199371487,FrameResult.JUNK_FRAME,0.0
24,1716030564.3216352,300366.087207517,1716030564.3952382,300366.1608116,0.07360408297972754,FrameResult.JUNK_FRAME,0.0
25,1716030564.6167965,300366.382367809,1716030564.6898475,300366.455421017,0.07305320800514892,FrameResult.JUNK_FRAME,0.0
26,1716030564.8926704,300366.658241642,1716030564.9624524,300366.728025934,0.06978429201990366,FrameResult.JUNK_FRAME,0.0
27,1716030565.200323,300366.965894601,1716030565.5797856,300367.345359017,0.379464416007977,FrameResult.NO_CHANGE,0.0
28,1716030565.799384,300367.564957017,1716030565.865067,300367.630640518,0.06568350095767528,FrameResult.JUNK_FRAME,0.0
29,1716030566.1380577,300367.903629476,1716030566.2110012,300367.976574226,0.07294475001981482,FrameResult.JUNK_FRAME,0.0
30,1716030566.4802787,300368.245850059,1716030566.5509708,300368.316544685,0.0706946260179393,FrameResult.JUNK_FRAME,0.0
31,1716030566.8392591,300368.604831101,1716030566.9106615,300368.67623431,0.07140320900361985,FrameResult.JUNK_FRAME,0.0
32,1716030567.23864,300369.004211268,1716030567.6149335,300369.38050731,0.37629604199901223,FrameResult.NO_CHANGE,0.0
33,1716030567.9722562,300369.737824394,1716030568.0496686,300369.815241894,0.07741749996785074,FrameResult.JUNK_FRAME,0.0
34,1716030568.29624,300370.061810019,1716030568.6715782,300370.437152061,0.3753420419525355,FrameResult.SUCCESS,0.0
35,1716030568.9805324,300370.746104852,1716030569.3557904,300371.121364103,0.37525925098452717,FrameResult.NO_CHANGE,0.0
36,1716030569.608578,300371.374149269,1716030569.985704,300371.751277811,0.3771285419934429,FrameResult.NO_CHANGE,0.0
37,1716030570.257334,300372.022906645,1716030570.6324587,300372.398032561,0.37512591597624123,FrameResult.NO_CHANGE,0.0
38,1716030570.9279404,300372.693512728,1716030570.9825625,300372.748135812,0.054623084026388824,FrameResult.JUNK_FRAME,0.0
39,1716030571.2040346,300372.969605145,1716030571.5794334,300373.344999895,0.37539475003723055,FrameResult.NO_CHANGE,0.0
40,1716030571.8015234,300373.567095687,1716030572.1776571,300373.943230937,0.3761352500296198,FrameResult.NO_CHANGE,0.0
41,1716030572.4078462,300374.173418396,1716030572.7864475,300374.552020937,0.37860254099359736,FrameResult.NO_CHANGE,0.0
42,1716030573.073077,300374.838648229,1716030573.135229,300374.900802521,0.06215429195435718,FrameResult.JUNK_FRAME,0.0
43,1716030573.384648,300375.150220354,1716030573.4508505,300375.216423563,0.06620320904767141,FrameResult.JUNK_FRAME,0.0
44,1716030573.7312458,300375.496813688,1716030573.7957428,300375.56131648,0.06450279196724296,FrameResult.JUNK_FRAME,0.0
45,1716030574.0561638,300375.82173623,1716030574.1208487,300375.886422438,0.06468620803207159,FrameResult.JUNK_FRAME,0.0
46,1716030574.34226,300376.107830313,1716030574.7152557,300376.480829647,0.37299933400936425,FrameResult.SUCCESS,0.0
47,1716030574.9450905,300376.710662397,1716030575.31784,300377.083414064,0.3727516670478508,FrameResult.NO_CHANGE,0.0
48,1716030575.594656,300377.36022798,1716030575.6670063,300377.432579647,0.07235166698228568,FrameResult.JUNK_FRAME,0.0
49,1716030575.9486868,300377.714259147,1716030576.3213668,300378.086940647,0.3726814999827184,FrameResult.NO_CHANGE,0.0
50,1716030576.577187,300378.342758564,1716030576.6474876,300378.413061439,0.07030287501402199,FrameResult.JUNK_FRAME,0.0
51,1716030576.9265416,300378.692113898,1716030576.9988582,300378.764431939,0.07231804099865258,FrameResult.JUNK_FRAME,0.0
52,1716030577.2698245,300379.035391856,1716030577.3402834,300379.105857065,0.07046520902076736,FrameResult.JUNK_FRAME,0.0
53,1716030577.554585,300379.320154731,1716030577.630496,300379.396069023,0.07591429201420397,FrameResult.JUNK_FRAME,0.0
54,1716030577.883531,300379.649102857,1716030578.258123,300380.023696815,0.3745939580257982,FrameResult.NO_CHANGE,0.0
55,1716030578.493787,300380.259359149,1716030578.5675018,300380.333075274,0.07371612504357472,FrameResult.JUNK_FRAME,0.0
56,1716030578.8532968,300380.61886894,1716030578.9248004,300380.690373732,0.0715047920239158,FrameResult.JUNK_FRAME,0.0
57,1716030579.2040272,300380.969598816,1716030579.2747514,300381.040325357,0.07072654098737985,FrameResult.JUNK_FRAME,0.0
58,1716030579.555229,300381.320800482,1716030579.6252,300381.390773607,0.06997312500607222,FrameResult.JUNK_FRAME,0.0
59,1716030579.9199748,300381.685547316,1716030579.9913778,300381.756951691,0.07140437501948327,FrameResult.JUNK_FRAME,0.0
60,1716030580.2794693,300382.045040108,1716030580.6560566,300382.421630525,0.3765904169995338,FrameResult.SUCCESS,0.0
61,1716030581.021246,300382.78681865,1716030581.3933396,300383.158913525,0.37209487496875226,FrameResult.NO_CHANGE,0.0
62,1716030581.6333792,300383.398951233,1716030581.6416225,300383.40719515,0.008243916963692755,FrameResult.CV_ERROR,0.0
63,1716030581.9629653,300383.728537359,1716030581.9708135,300383.736385942,0.00784858298720792,FrameResult.CV_ERROR,0.0
64,1716030582.1988068,300383.964378984,1716030582.2068646,300383.972436942,0.008057957980781794,FrameResult.CV_ERROR,0.0
65,1716030582.4402084,300384.205781234,1716030582.8168223,300384.582396067,0.3766148329596035,FrameResult.NO_CHANGE,0.0
66,1716030583.1071937,300384.872764984,1716030583.4819927,300385.247566693,0.3748017090256326,FrameResult.NO_CHANGE,0.0
67,1716030583.707918,300385.473489943,1716030583.7155764,300385.481144776,0.007654832967091352,FrameResult.CV_ERROR,0.0
68,1716030583.9373531,300385.702925984,1716030583.9477098,300385.713281776,0.010355792008340359,FrameResult.CV_ERROR,0.0
69,1716030584.1757898,300385.941359985,1716030584.5523953,300386.317969235,0.37660925003001466,FrameResult.NO_CHANGE,0.0
70,1716030584.7955813,300386.561152985,1716030584.8034847,300386.569057068,0.007904082944151014,FrameResult.CV_ERROR,0.0
71,1716030585.0395746,300386.805146318,1716030585.4217944,300387.187368277,0.38222195900743827,FrameResult.NO_CHANGE,0.0
72,1716030585.6875632,300387.453130527,1716030585.6956427,300387.461214319,0.008083791995886713,FrameResult.CV_ERROR,0.0
73,1716030586.0024037,300387.767971944,1716030586.0101535,300387.775725569,0.00775362498825416,FrameResult.CV_ERROR,0.0
74,1716030586.2583096,300388.023881777,1716030586.6359992,300388.401573361,0.37769158399896696,FrameResult.SUCCESS,0.0
75,1716030586.873824,300388.639359443,1716030587.2522213,300389.017758735,0.37839929200708866,FrameResult.NO_CHANGE,0.0
76,1716030587.4861453,300389.251680777,1716030587.866609,300389.632146527,0.3804657500004396,FrameResult.NO_CHANGE,0.0
77,1716030588.074886,300389.84042186,1716030588.4478853,300390.213422819,0.37300095899263397,FrameResult.NO_CHANGE,0.0
78,1716030588.684265,300390.449800486,1716030589.0641155,300390.829652778,0.37985229201149195,FrameResult.NO_CHANGE,0.0
79,1716030589.323564,300391.089099819,1716030589.7022102,300391.467747778,0.3786479589762166,FrameResult.NO_CHANGE,0.0
80,1716030589.9910705,300391.756605195,1716030590.053125,300391.818661611,0.062056416005361825,FrameResult.JUNK_FRAME,0.0
81,1716030590.3853047,300392.150840445,1716030590.4480855,300392.213622487,0.0627820419613272,FrameResult.JUNK_FRAME,0.0
82,1716030590.6673553,300392.432891528,1716030590.7288766,300392.494413445,0.06152191699948162,FrameResult.JUNK_FRAME,0.0
83,1716030590.9666178,300392.73215332,1716030591.0297434,300392.795280195,0.06312687502941117,FrameResult.JUNK_FRAME,0.0
84,1716030591.2622051,300393.027733529,1716030591.3269215,300393.092458237,0.06472470803419128,FrameResult.JUNK_FRAME,0.0
85,1716030591.5422907,300393.307826612,1716030591.603455,300393.368991945,0.061165332968812436,FrameResult.JUNK_FRAME,0.0
86,1716030591.8437204,300393.609255821,1716030591.9078882,300393.673425071,0.06416925002122298,FrameResult.JUNK_FRAME,0.0
87,1716030592.223987,300393.989523112,1716030592.593669,300394.359206113,0.3696830009575933,FrameResult.SUCCESS,0.0
88,1716030592.8913608,300394.656895613,1716030593.2643511,300395.029888446,0.3729928329703398,FrameResult.NO_CHANGE,0.0
