step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1716491147.2651734,683300.457585281,1716491153.1023722,683306.29478395,683300.458432656,683300.458432656,5.836351293954067,0.0,5.837198668974452,5.837198668974452,0.0008473750203847885,1
1,1716491153.1023722,683306.29478395,1716491160.6619704,683313.854382204,683306.302824284,683312.580280453,1.2741017510415986,6.056665229832884,7.559598254039884,1.5029330242069996,0.22883127315435559,7
2,1716491160.6619704,683313.854382204,1716491167.740296,683320.932707832,683313.858826954,683319.532846082,1.3998617499601096,5.29886456050405,7.078325627953745,1.7794610674496951,0.37959931744262576,6
3,1716491167.740296,683320.932707832,1716491174.5116947,683327.70410671,683320.936823999,683326.527296668,1.176810042001307,5.303028878644852,6.771398878074251,1.4683699994293988,0.29155995743349195,6
4,1716491174.511695,683327.70410671,1716491182.2107265,683335.40313838,683327.707915293,683334.059653671,1.3434847090393305,5.297529624328821,7.6990316699957475,2.401502045666927,1.0580173366470262,7
5,1716491182.2107265,683335.40313838,1716491189.1345546,683342.32696655,683335.407139714,683340.866510425,1.460456124972552,5.2981273172982934,6.923828169936314,1.6257008526380208,0.16524472762830555,5
6,1716491189.1345546,683342.32696655,1716491196.5158598,683349.708271845,683342.331146675,683347.981271095,1.727000750019215,5.301983374005747,7.381305295042694,2.0793219210369465,0.3523211709689349,6
7,1716491196.51586,683349.708271845,1716491203.8198109,683357.012222682,683349.712105929,683355.509751389,1.502471292973496,5.3001355910254215,7.3039508369984105,2.003815245972989,0.5013439529575408,6
8,1716491203.8198109,683357.012222682,1716491211.0694828,683364.261894602,683357.016273723,683362.874165559,1.387729043024592,5.301133680377884,7.249671919969842,1.948538239591958,0.5608091965550557,6
9,1716491211.0694828,683364.261894602,1716491218.514722,683371.707133855,683364.265952768,683370.402906063,1.3042277919594198,5.301815114254625,7.445239252992906,2.143424138738281,0.8391963468166068,7
10,1716491218.514722,683371.707133855,1716491224.9978352,683378.190246983,683371.710766439,683376.716591774,1.4736552089452744,4.515009850930623,6.48311312799342,1.9681032770627969,0.4944480680860579,5
11,1716491224.9978352,683378.190246983,1716491231.80347,683384.995881612,683378.194029358,683383.738567528,1.2573140839813277,4.544745514825738,6.805634628981352,2.2608891141556136,1.0035750301321968,6
12,1716491231.8034697,683384.995881612,1716491238.4250302,683391.617442281,683384.999415695,683390.143206322,1.4742359590018168,4.49555521943018,6.621560669038445,2.1260054496082645,0.6517694905633107,5
13,1716491238.4250305,683391.617442281,1716491244.839872,683398.032283701,683391.621855615,683396.626100367,1.4061833339510486,4.517954280996312,6.414841420017183,1.8968871390208708,0.49070380511693656,5
14,1716491244.839872,683398.032283701,1716491250.7936785,683403.986090329,683398.035729659,683402.394972911,1.591117418021895,4.294606658398744,5.953806628007442,1.6591999696086974,0.06808255158830434,5
15,1716491250.7936785,683403.986090329,1716491256.7902038,683409.982615582,683403.990935204,683408.788425998,1.1941895839991048,4.203425264045957,5.996525252936408,1.793099988890451,0.5989104048348963,5
16,1716491256.7902038,683409.982615582,1716491262.7194605,683415.911872209,683409.988446915,683414.650297834,1.2615743750939146,4.255860945637969,5.929256627103314,1.6733956814653448,0.41182130633387715,5
17,1716491262.7194602,683415.911872209,1716491268.700342,683421.892754003,683415.915534167,683420.428979961,1.463774042087607,4.209116854721334,5.980881794006564,1.7717649392852302,0.30799089721404016,5
18,1716491268.7003422,683421.892754003,1716491274.800345,683427.992756715,683421.896646837,683426.632160006,1.360596709069796,4.247692226609129,6.100002711988054,1.8523104853789256,0.4917137762531638,5
19,1716491274.800345,683427.992756715,1716491280.6641548,683433.856566426,683427.996346506,683432.556916217,1.2996502090245485,4.278165990403138,5.863809710950591,1.585643720547453,0.2859935115557164,5
20,1716491280.6641545,683433.856566426,1716491286.5449927,683439.737404595,683433.859485926,683438.52313122,1.214273374993354,4.173424212233092,5.880838169017807,1.7074139567847144,0.49314058176241815,5
21,1716491286.5449927,683439.737404595,1716491292.7873003,683445.979712181,683439.741123429,683444.485388264,1.4943239170825109,4.222627497287932,6.2423075860133395,2.0196800887254076,0.5253561716526747,5
22,1716491292.7873003,683445.979712181,1716491298.9423354,683452.134747225,683445.983638722,683450.860914474,1.2738327509723604,4.33835447192021,6.155035043950193,1.8166805720299823,0.5428478210233152,5
23,1716491298.9423354,683452.134747225,1716491304.7588525,683457.95126427,683452.138420475,683456.677975352,1.273288917960599,4.264808116014059,5.81651704502292,1.5517089290088606,0.2784200110472739,5
24,1716491304.7588525,683457.95126427,1716491310.4789295,683463.671341272,683457.955619936,683462.282260438,1.3890808339929208,4.1592933084116,5.72007700195536,1.56078369354376,0.17170285957399756,5
25,1716491310.4789295,683463.671341272,1716491315.8894196,683469.081831233,683463.674895481,683467.858196233,1.2236349999438971,4.163090207138204,5.410489961039275,1.247399753901071,0.023764753947034478,5
26,1716491315.8894193,683469.081831233,1716491321.3449223,683474.537334194,683469.08590115,683473.144380652,1.39295354206115,4.024190291863137,5.4555029610637575,1.4313126692006204,0.03835912712384015,4
27,1716491321.3449223,683474.537334194,1716491327.7338822,683480.92629403,683474.541768069,683479.582398863,1.3438951669959351,4.107661176247579,6.38895983598195,2.2812986597343707,0.9374034927459434,5
