seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1715929414.2632973,0.8480574999994133,921620,4705,0.0
2,0,1,repeat,False,1715929415.1180127,0.16073904201039113,921620,4705,5.250010872259736e-06
3,0,2,repeat,False,1715929415.281345,0.19196799999917857,921620,4705,0.1657466670149006
4,0,3,repeat,False,1715929415.476108,0.2171892499900423,921620,4705,0.3604055420146324
5,0,4,blank,False,1715929415.695845,0.1493915419850964,921620,4705,0.5802883750002366
6,0,5,blank,False,1715929415.8547108,0.11027158400975168,921620,4705,0.7368190840061288
7,0,6,repeat,False,1715929415.9738455,0.2049427920137532,921620,4705,0.8549491260200739
8,0,7,blank,False,1715929416.1820946,0.14953749999403954,921620,4705,1.0662052920088172
9,0,8,repeat,False,1715929416.3396842,0.22465175099205226,921620,4705,1.2210463340161368
10,0,9,repeat,False,1715929416.567042,0.16999366600066423,921620,4705,1.451432500994997
11,0,10,blank,False,1715929416.7395148,0.123528208991047,921620,4705,1.6241110010014381
12,0,11,blank,False,1715929416.8724544,0.12635875001433305,921620,4705,1.7549665010010358
13,0,12,blank,False,1715929417.0079625,0.16158695900230668,921620,4705,1.8890657930169255
14,0,13,blank,False,1715929417.1784267,0.14780674999929033,921620,4705,2.059781293006381
15,0,14,repeat,False,1715929417.3353295,0.20696816698182374,921620,4705,2.2165845849958714
16,0,15,blank,False,1715929417.544997,0.15829695799038745,921620,4705,2.4294649600051343
17,0,16,blank,False,1715929417.7123876,0.14782600000035018,921620,4705,2.593259626009967
18,0,17,blank,False,1715929417.8690815,0.17499137500999495,921620,4705,2.750167168007465
19,0,18,blank,False,1715929418.052901,0.14547066600061953,921620,4705,2.93406621000031
20,0,19,blank,False,1715929418.2069972,0.11166870797751471,921620,4705,3.088289792998694
21,0,20,blank,False,1715929418.3274035,0.12286979201599024,921620,4705,3.2084794600086752
22,0,21,blank,False,1715929418.4588273,0.13966262500616722,921620,4705,3.3400103769963607
23,0,22,blank,False,1715929418.6068819,0.17476349999196827,921620,4705,3.4883623770147096
24,0,23,blank,False,1715929418.790276,0.14095254201674834,921620,4705,3.671313127008034
25,0,24,repeat,False,1715929418.9398668,0.19488370799808763,921620,4705,3.821316752000712
26,0,25,blank,False,1715929419.1374435,0.15293066599406302,921620,4705,4.021935585013125
27,0,26,blank,False,1715929419.2987792,0.11450254198280163,921620,4705,4.180118585005403
28,0,27,blank,False,1715929419.421893,0.17659129199455492,921620,4705,4.303161752002779
