seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1715928803.7409666,199019.751642711,1715928803.8168685,199019.827548169,0.07590545801213011,FrameResult.SUCCESS,0.0
2,1715928803.9683104,199019.978988253,1715928804.0334651,199020.044144503,0.06515624999883585,FrameResult.NO_CHANGE,0.0
3,1715928804.1544008,199020.165079461,1715928804.2144544,199020.225134211,0.06005475000711158,FrameResult.NO_CHANGE,0.0
4,1715928804.3663695,199020.37704717,1715928804.7436464,199020.754326253,0.37727908298256807,FrameResult.LOW_CONFIDENCE,0.0
5,1715928804.8957527,199020.906432128,1715928804.932538,199020.943218003,0.036785875010536984,FrameResult.NO_CHANGE,0.0
6,1715928805.0591595,199021.069838045,1715928805.1019917,199021.112671545,0.04283350001787767,FrameResult.NO_CHANGE,0.0
7,1715928805.227556,199021.238233795,1715928805.2986572,199021.309336795,0.0711029999947641,FrameResult.NO_CHANGE,0.0
8,1715928805.4548616,199021.465539504,1715928805.5292065,199021.53988642,0.07434691602247767,FrameResult.NO_CHANGE,0.0
9,1715928805.6393857,199021.650064629,1715928805.6499157,199021.660595295,0.01053066598251462,FrameResult.CV_ERROR,0.0
10,1715928805.7880025,199021.798680629,1715928805.7968059,199021.807485045,0.008804415992926806,FrameResult.CV_ERROR,0.0
11,1715928805.9579873,199021.968665504,1715928806.0297863,199022.040465962,0.07180045798304491,FrameResult.NO_CHANGE,0.0
12,1715928806.1898973,199022.200574421,1715928806.2607617,199022.271441171,0.07086675000027753,FrameResult.NO_CHANGE,0.0
13,1715928806.3960252,199022.406697546,1715928806.4597878,199022.470463171,0.06376562500372529,FrameResult.NO_CHANGE,0.0
14,1715928806.5907187,199022.601396796,1715928806.6011786,199022.611858296,0.01046150000183843,FrameResult.CV_ERROR,0.0
15,1715928806.7238538,199022.734532296,1715928806.73135,199022.742028921,0.007496625010389835,FrameResult.CV_ERROR,0.0
16,1715928806.8644886,199022.875166963,1715928806.87283,199022.883507713,0.00834075000602752,FrameResult.CV_ERROR,0.0
17,1715928807.006206,199023.016884129,1715928807.0781517,199023.088831504,0.07194737499230541,FrameResult.NO_CHANGE,0.0
18,1715928807.2124453,199023.223123629,1715928807.2180138,199023.228692379,0.005568749998928979,FrameResult.CV_ERROR,0.0
19,1715928807.3626165,199023.373293754,1715928807.4315968,199023.442276671,0.0689829170005396,FrameResult.NO_CHANGE,0.0
20,1715928807.5828145,199023.59349188,1715928807.5900943,199023.600773088,0.007281208003405482,FrameResult.CV_ERROR,0.0
21,1715928807.739944,199023.750622046,1715928807.812611,199023.823290713,0.07266866698046215,FrameResult.NO_CHANGE,0.0
22,1715928807.9330747,199023.943752921,1715928807.9945679,199024.005247213,0.06149429199285805,FrameResult.NO_CHANGE,0.0
23,1715928808.1199265,199024.13060563,1715928808.1296465,199024.140326172,0.009720542002469301,FrameResult.CV_ERROR,0.0
24,1715928808.2616966,199024.272374463,1715928808.268646,199024.279324838,0.006950374983716756,FrameResult.CV_ERROR,0.0
25,1715928808.4503806,199024.46099963,1715928808.4579043,199024.468583005,0.0075833749724552035,FrameResult.CV_ERROR,0.0
26,1715928808.6141775,199024.62485613,1715928808.6218615,199024.632540297,0.007684167008846998,FrameResult.CV_ERROR,0.0
27,1715928808.7667701,199024.777448088,1715928808.7747612,199024.785439005,0.007990917016286403,FrameResult.CV_ERROR,0.0
28,1715928808.9147177,199024.925395922,1715928808.9223084,199024.932987047,0.007591125002363697,FrameResult.CV_ERROR,0.0
29,1715928809.0612648,199025.071942922,1715928809.1321824,199025.142861755,0.07091883302200586,FrameResult.NO_CHANGE,0.0
30,1715928809.261539,199025.272217547,1715928809.2662873,199025.276966339,0.004748792009195313,FrameResult.CV_ERROR,0.0
31,1715928809.3943994,199025.405073672,1715928809.4666061,199025.477285505,0.07221183300134726,FrameResult.NO_CHANGE,0.0
32,1715928809.6215134,199025.632191214,1715928809.628781,199025.639459631,0.007268416986335069,FrameResult.CV_ERROR,0.0
33,1715928809.767719,199025.778398006,1715928809.8508315,199025.861511547,0.08311354101169854,FrameResult.NO_CHANGE,0.0
34,1715928809.9770608,199025.987739172,1715928809.9816139,199025.992292756,0.004553584003588185,FrameResult.CV_ERROR,0.0
35,1715928810.106567,199026.117245381,1715928810.1781838,199026.188863297,0.07161791599355638,FrameResult.NO_CHANGE,0.0
36,1715928810.303068,199026.313745589,1715928810.3077784,199026.318457131,0.004711542016593739,FrameResult.CV_ERROR,0.0
37,1715928810.446718,199026.457396256,1715928810.5204918,199026.531171464,0.07377520800218917,FrameResult.NO_CHANGE,0.0
38,1715928810.6429663,199026.653645381,1715928810.6526756,199026.663354673,0.009709291975013912,FrameResult.CV_ERROR,0.0
39,1715928810.7725625,199026.783240423,1715928810.847892,199026.858571298,0.07533087499905378,FrameResult.NO_CHANGE,0.0
40,1715928810.965188,199026.975867256,1715928811.024642,199027.035321631,0.059454375004861504,FrameResult.NO_CHANGE,0.0
41,1715928811.1870089,199027.197686423,1715928811.254727,199027.265406465,0.06772004201775417,FrameResult.NO_CHANGE,0.0
42,1715928811.4093058,199027.419983381,1715928811.4160614,199027.42673984,0.006756459013558924,FrameResult.CV_ERROR,0.0
43,1715928811.538596,199027.549273798,1715928811.5461638,199027.556842256,0.007568457978777587,FrameResult.CV_ERROR,0.0
44,1715928811.6707468,199027.681424215,1715928811.742959,199027.753638673,0.07221445799223147,FrameResult.NO_CHANGE,0.0
45,1715928811.8585315,199027.869210007,1715928811.8639083,199027.87458684,0.005376832996262237,FrameResult.CV_ERROR,0.0
46,1715928812.0190942,199028.029772465,1715928812.02745,199028.03812859,0.008356125006685033,FrameResult.CV_ERROR,0.0
47,1715928812.181474,199028.192152423,1715928812.190311,199028.200989507,0.008837083994876593,FrameResult.CV_ERROR,0.0
48,1715928812.3502946,199028.360972424,1715928812.3582668,199028.368945174,0.007972749997861683,FrameResult.CV_ERROR,0.0
49,1715928812.486544,199028.497222007,1715928812.558693,199028.569372465,0.07215045799966902,FrameResult.NO_CHANGE,0.0
50,1715928812.6807399,199028.691416965,1715928812.7392626,199028.749941924,0.058524958993075415,FrameResult.NO_CHANGE,0.0
51,1715928812.8602839,199028.870962674,1715928812.8699796,199028.88065934,0.00969666600576602,FrameResult.CV_ERROR,0.0
52,1715928812.9976308,199029.008308799,1715928813.0054789,199029.016157216,0.007848417008062825,FrameResult.CV_ERROR,0.0
53,1715928813.143122,199029.153799841,1715928813.2150114,199029.225690424,0.07189058299991302,FrameResult.NO_CHANGE,0.0
54,1715928813.3264108,199029.337089591,1715928813.3832302,199029.393909007,0.05681941600050777,FrameResult.NO_CHANGE,0.0
55,1715928813.502989,199029.513668257,1715928813.5122802,199029.522959924,0.009291667025536299,FrameResult.CV_ERROR,0.0
56,1715928813.6278188,199029.638497132,1715928813.6350415,199029.645720382,0.007223249995149672,FrameResult.CV_ERROR,0.0
57,1715928813.7539508,199029.764628966,1715928813.7617748,199029.772453216,0.007824250002158806,FrameResult.CV_ERROR,0.0
58,1715928813.8968606,199029.907538883,1715928813.9640126,199029.974692133,0.06715324998367578,FrameResult.NO_CHANGE,0.0
59,1715928814.0697203,199030.080399133,1715928814.1259358,199030.136615049,0.056215916003566235,FrameResult.NO_CHANGE,0.0
60,1715928814.248909,199030.259588591,1715928814.2595437,199030.270221216,0.010632624995196238,FrameResult.CV_ERROR,0.0
61,1715928814.3988805,199030.41165759,1715928814.4075797,199030.420356507,0.008698916994035244,FrameResult.CV_ERROR,0.0
62,1715928814.5527446,199030.565522549,1715928814.62655,199030.63932984,0.07380729098804295,FrameResult.NO_CHANGE,0.0
63,1715928814.7657523,199030.778531174,1715928814.7721455,199030.78492309,0.006391915987478569,FrameResult.CV_ERROR,0.0
64,1715928814.916808,199030.929586007,1715928814.9248917,199030.937669424,0.008083416993031278,FrameResult.CV_ERROR,0.0
65,1715928815.055006,199031.067784007,1715928815.0624063,199031.075185966,0.007401959010167047,FrameResult.CV_ERROR,0.0
66,1715928815.1891782,199031.201956507,1715928815.1983876,199031.211166507,0.009210000018356368,FrameResult.CV_ERROR,0.0
67,1715928815.3765373,199031.389315674,1715928815.384508,199031.397286382,0.007970708014909178,FrameResult.CV_ERROR,0.0
68,1715928815.5153224,199031.528099757,1715928815.5229206,199031.535698507,0.007598750002216548,FrameResult.CV_ERROR,0.0
69,1715928815.662582,199031.675359674,1715928815.6700628,199031.682841966,0.007482291985070333,FrameResult.CV_ERROR,0.0
70,1715928815.8034494,199031.816226424,1715928815.8108008,199031.823579299,0.00735287499264814,FrameResult.CV_ERROR,0.0
71,1715928815.9281807,199031.940959633,1715928815.9356856,199031.948464174,0.007504540990339592,FrameResult.CV_ERROR,0.0
72,1715928816.086575,199032.099351883,1715928816.0958607,199032.108639299,0.009287416003644466,FrameResult.CV_ERROR,0.0
73,1715928816.2373457,199032.250124383,1715928816.2450922,199032.257870674,0.0077462909976020455,FrameResult.CV_ERROR,0.0
74,1715928816.3931427,199032.405921549,1715928816.4016109,199032.414389633,0.008468083979096264,FrameResult.CV_ERROR,0.0
75,1715928816.5419724,199032.554751008,1715928816.5498629,199032.562640758,0.007889750006143004,FrameResult.CV_ERROR,0.0
76,1715928816.6943316,199032.707110383,1715928816.7023923,199032.715169091,0.008058708015596494,FrameResult.CV_ERROR,0.0
77,1715928816.8317006,199032.844479341,1715928816.8395128,199032.852291258,0.007811916992068291,FrameResult.CV_ERROR,0.0
78,1715928816.9676518,199032.980427966,1715928816.9753115,199032.988086675,0.0076587090152315795,FrameResult.CV_ERROR,0.0
79,1715928817.1000795,199033.112857716,1715928817.1073852,199033.12016455,0.0073068339843302965,FrameResult.CV_ERROR,0.0
80,1715928817.2359765,199033.248755008,1715928817.2426474,199033.255426425,0.006671416980680078,FrameResult.CV_ERROR,0.0
81,1715928817.377845,199033.39061905,1715928817.7464993,199033.759279508,0.36866045798524283,FrameResult.SUCCESS,0.0
82,1715928817.8834434,199033.896223259,1715928818.2288482,199034.241628342,0.34540508297504857,FrameResult.NO_CHANGE,0.0
83,1715928818.3882532,199034.401032842,1715928818.7299457,199034.742726051,0.34169320898945443,FrameResult.NO_CHANGE,0.0
84,1715928818.8858557,199034.898635051,1715928818.9400244,199034.952804092,0.05416904098819941,FrameResult.JUNK_FRAME,0.0
85,1715928819.1046197,199035.117398217,1715928819.169806,199035.182585967,0.06518775000586174,FrameResult.JUNK_FRAME,0.0
86,1715928819.3335204,199035.346299218,1715928819.403797,199035.416577134,0.07027791597647592,FrameResult.JUNK_FRAME,0.0
87,1715928819.536411,199035.549190218,1715928819.5997102,199035.612489551,0.06329933297820389,FrameResult.JUNK_FRAME,0.0
88,1715928819.7568338,199035.769612676,1715928819.8301885,199035.842968718,0.07335604200488888,FrameResult.JUNK_FRAME,0.0
89,1715928819.9928927,199036.005671926,1715928820.056722,199036.069501593,0.06382966702221893,FrameResult.JUNK_FRAME,0.0
90,1715928820.1789823,199036.191760635,1715928820.539005,199036.551785176,0.3600245410052594,FrameResult.NO_CHANGE,0.0
91,1715928820.6755888,199036.68836851,1715928820.72534,199036.738119885,0.049751375016057864,FrameResult.JUNK_FRAME,0.0
92,1715928820.8476496,199036.860429427,1715928820.9021547,199036.914934468,0.054505040985532105,FrameResult.JUNK_FRAME,0.0
93,1715928821.0932822,199037.106060635,1715928821.1652744,199037.178054052,0.07199341699015349,FrameResult.JUNK_FRAME,0.0
94,1715928821.2884684,199037.301246843,1715928821.6391342,199037.651914552,0.35066770898993127,FrameResult.NO_CHANGE,0.0
95,1715928821.8001337,199037.812913219,1715928822.1463993,199038.159178969,0.34626575000584126,FrameResult.NO_CHANGE,0.0
96,1715928822.2942164,199038.306996052,1715928822.6373465,199038.650127011,0.343130958994152,FrameResult.NO_CHANGE,0.0
97,1715928822.7633603,199038.776135428,1715928823.1009953,199039.113775594,0.33764016602071933,FrameResult.NO_CHANGE,0.0
98,1715928823.2247314,199039.237511053,1715928823.2712955,199039.284075594,0.04656454100040719,FrameResult.JUNK_FRAME,0.0
99,1715928823.4256225,199039.438401011,1715928823.4856255,199039.498405136,0.06000412499997765,FrameResult.JUNK_FRAME,0.0
100,1715928823.6415284,199039.654306803,1715928823.9994164,199040.012196636,0.35788983301608823,FrameResult.NO_CHANGE,0.0
101,1715928824.1197278,199040.13250722,1715928824.164055,199040.17683522,0.04432799998903647,FrameResult.JUNK_FRAME,0.0
102,1715928824.2708585,199040.283635678,1715928824.3189461,199040.331726137,0.04809045899310149,FrameResult.JUNK_FRAME,0.0
103,1715928824.4431453,199040.455924428,1715928824.4983816,199040.511161512,0.05523708398686722,FrameResult.JUNK_FRAME,0.0
104,1715928824.6541355,199040.666914637,1715928824.7217224,199040.734502553,0.06758791601168923,FrameResult.JUNK_FRAME,0.0
105,1715928824.8410506,199040.853829512,1715928825.1906965,199041.203476512,0.349646999995457,FrameResult.SUCCESS,0.0
106,1715928825.316483,199041.32926322,1715928825.3577673,199041.370547429,0.041284209000878036,FrameResult.JUNK_FRAME,0.0
107,1715928825.4601636,199041.472943095,1715928825.802302,199041.815082179,0.34213908400852233,FrameResult.NO_CHANGE,0.0
108,1715928825.9513578,199041.964137971,1715928826.2926295,199042.305409888,0.34127191701554693,FrameResult.NO_CHANGE,0.0
109,1715928826.4100692,199042.422849388,1715928826.450499,199042.463279221,0.04042983299586922,FrameResult.JUNK_FRAME,0.0
110,1715928826.6043644,199042.617142471,1715928826.6628306,199042.675610346,0.05846787500195205,FrameResult.JUNK_FRAME,0.0
111,1715928826.7947733,199042.807551304,1715928826.856892,199042.869672013,0.06212070901528932,FrameResult.JUNK_FRAME,0.0
112,1715928826.9841776,199042.996956221,1715928827.039108,199043.051888055,0.054931833990849555,FrameResult.JUNK_FRAME,0.0
113,1715928827.1937587,199043.206537263,1715928827.2578413,199043.270621138,0.06408387501141988,FrameResult.JUNK_FRAME,0.0
114,1715928827.3639884,199043.376767138,1715928827.4174411,199043.430221138,0.053454000008059666,FrameResult.JUNK_FRAME,0.0
115,1715928827.552389,199043.565167263,1715928827.6083484,199043.62112818,0.0559609170013573,FrameResult.JUNK_FRAME,0.0
116,1715928827.729996,199043.742775055,1715928827.7848265,199043.797606638,0.05483158299466595,FrameResult.JUNK_FRAME,0.0
117,1715928827.9054058,199043.91818068,1715928827.9599159,199043.972696013,0.05451533300220035,FrameResult.JUNK_FRAME,0.0
118,1715928828.0890844,199044.101862763,1715928828.4465559,199044.459336222,0.3574734590074513,FrameResult.NO_CHANGE,0.0
119,1715928828.5707734,199044.583553139,1715928828.6108618,199044.623641972,0.04008883298956789,FrameResult.JUNK_FRAME,0.0
120,1715928828.7418034,199044.75458293,1715928829.0856044,199045.098384806,0.3438018760061823,FrameResult.NO_CHANGE,0.0
121,1715928829.219636,199045.232415764,1715928829.2625842,199045.275364139,0.04294837499037385,FrameResult.JUNK_FRAME,0.0
122,1715928829.39035,199045.403129347,1715928829.4424572,199045.455237139,0.052107791998423636,FrameResult.JUNK_FRAME,0.0
123,1715928829.573086,199045.585864514,1715928829.6280813,199045.640861139,0.054996624996419996,FrameResult.JUNK_FRAME,0.0
124,1715928829.7540302,199045.766808431,1715928829.8104305,199045.823209848,0.0564014169794973,FrameResult.JUNK_FRAME,0.0
125,1715928829.943519,199045.956294473,1715928829.9968364,199046.009615973,0.05332149998866953,FrameResult.JUNK_FRAME,0.0
126,1715928830.1025968,199046.115376264,1715928830.4423902,199046.455170556,0.3397942919982597,FrameResult.NO_CHANGE,0.0
127,1715928830.5770903,199046.589870473,1715928830.6199894,199046.632769348,0.042898875020910054,FrameResult.JUNK_FRAME,0.0
128,1715928830.806791,199046.81956589,1715928830.8699656,199046.882745598,0.0631797079986427,FrameResult.JUNK_FRAME,0.0
129,1715928831.009396,199047.022174306,1715928831.0713482,199047.084128431,0.061954124976182356,FrameResult.JUNK_FRAME,0.0
130,1715928831.2106388,199047.223417807,1715928831.5739737,199047.586754057,0.3633362500113435,FrameResult.SUCCESS,0.0
131,1715928831.679344,199047.692124182,1715928832.0035248,199048.016305182,0.3241810000035912,FrameResult.NO_CHANGE,0.0
132,1715928832.1301916,199048.142971599,1715928832.1766868,199048.189467015,0.04649541599792428,FrameResult.JUNK_FRAME,0.0
133,1715928832.3307536,199048.343532849,1715928832.6736593,199048.686439641,0.34290679200785235,FrameResult.NO_CHANGE,0.0
134,1715928832.8001006,199048.812880724,1715928833.132911,199049.145691307,0.332810583000537,FrameResult.NO_CHANGE,0.0
135,1715928833.2653613,199049.278141058,1715928833.599354,199049.612134433,0.3339933750103228,FrameResult.NO_CHANGE,0.0
136,1715928833.7377555,199049.750535849,1715928833.7886481,199049.801427933,0.050892084022052586,FrameResult.JUNK_FRAME,0.0
137,1715928833.9191215,199049.931900808,1715928834.2647295,199050.277509725,0.3456089170067571,FrameResult.NO_CHANGE,0.0
138,1715928834.3988829,199050.411662558,1715928834.7356675,199050.748447933,0.3367853749950882,FrameResult.NO_CHANGE,0.0
139,1715928834.897177,199050.909956642,1715928834.9529946,199050.965774183,0.055817540996940807,FrameResult.JUNK_FRAME,0.0
140,1715928835.0757415,199051.088520892,1715928835.4176583,199051.430438684,0.3419177920150105,FrameResult.NO_CHANGE,0.0
141,1715928835.5689065,199051.581685934,1715928835.6218188,199051.634598559,0.05291262498940341,FrameResult.JUNK_FRAME,0.0
