seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1715983359.088607,0.671061875007581,921620,4705,0.0
2,0,1,repeat,False,1715983359.765628,0.15048504201695323,921620,4705,6.332993507385254e-06
3,0,2,repeat,False,1715983359.9188263,0.15430712499073707,921620,4705,0.15495941598783247
4,0,3,repeat,False,1715983360.075425,0.15571900102077052,921620,4705,0.3116952079872135
5,0,4,blank,False,1715983360.2336934,0.10375191597267985,921620,4705,0.46982283299439587
6,0,5,blank,False,1715983360.3442547,0.11033787499764003,921620,4705,0.5780177499982528
7,0,6,repeat,False,1715983360.4634001,0.18577904099947773,921620,4705,0.6963282919896301
8,0,7,repeat,False,1715983360.6522722,0.15789091697661206,921620,4705,0.8882186249829829
9,0,8,blank,False,1715983360.8127549,0.10262270900420845,921620,4705,1.048853041982511
10,0,9,blank,False,1715983360.9210746,0.10501925001153722,921620,4705,1.1553325839922763
11,0,10,repeat,False,1715983361.0347724,0.1783809999760706,921620,4705,1.2675026249780785
12,0,11,blank,False,1715983361.2160997,0.10993233401677571,921620,4705,1.4519877919810824
13,0,12,blank,False,1715983361.3337114,0.10451450000982732,921620,4705,1.5672525839763694
14,0,13,blank,False,1715983361.4437137,0.10223170902463607,921620,4705,1.6778730419755448
15,0,14,repeat,False,1715983361.5500734,0.17309774999739602,921620,4705,1.785450541996397
16,0,15,blank,False,1715983361.7264102,0.10193770899786614,921620,4705,1.962332791998051
17,0,16,blank,False,1715983361.834767,0.09886087497579865,921620,4705,2.0695809589815326
18,0,17,blank,False,1715983361.9423394,0.10282858400023542,921620,4705,2.1761784169939347
19,0,18,blank,False,1715983362.051315,0.10651962499832734,921620,4705,2.2857977919920813
20,0,19,blank,False,1715983362.1651192,0.105483916006051,921620,4705,2.3990016259776894
21,0,20,repeat,False,1715983362.2782881,0.18137641600333154,921620,4705,2.511761250993004
22,0,21,blank,False,1715983362.46272,0.10419462498975918,921620,4705,2.698676500993315
23,0,22,blank,False,1715983362.5755994,0.10989708299166523,921620,4705,2.8087064169812948
24,0,23,blank,False,1715983362.6952462,0.10804754099808633,921620,4705,2.927562917000614
25,0,24,repeat,False,1715983362.8118298,0.1753104999952484,921620,4705,3.0446540839911904
26,0,25,blank,False,1715983362.9901063,0.10415291599929333,921620,4705,3.226092250988586
27,0,26,blank,False,1715983363.1013134,0.10633087498717941,921620,4705,3.3348013759823516
28,0,27,blank,False,1715983363.2165241,0.10889129198039882,921620,4705,3.449342292995425
29,0,28,blank,False,1715983363.3347507,0.10273862499161623,921620,4705,3.567265667981701
30,0,29,blank,False,1715983363.4418738,0.10425783300888725,921620,4705,3.677029500977369
31,0,30,repeat,False,1715983363.549374,0.16475816699676216,921620,4705,3.7850853349955287
32,0,31,blank,False,1715983363.7169375,0.10308474997873418,921620,4705,3.952974168001674
33,0,32,blank,False,1715983363.8262973,0.10624074999941513,921620,4705,4.060127876000479
34,0,33,blank,False,1715983363.9421937,0.11138499999651685,921620,4705,4.174489042983623
35,0,34,blank,False,1715983364.0609353,0.10869266698136926,921620,4705,4.294294792984147
36,0,35,blank,False,1715983364.1782537,0.10423870797967538,921620,4705,4.411542792979162
37,0,36,blank,False,1715983364.2913268,0.1086160410195589,921620,4705,4.5239664599939715
38,0,37,blank,False,1715983364.408629,0.1079327920160722,921620,4705,4.641688251984306
39,0,38,blank,False,1715983364.5250666,0.10725966701284051,921620,4705,4.758211376989493
40,0,39,blank,False,1715983364.6412597,0.1122416659782175,921620,4705,4.8740368349826895
41,0,40,blank,False,1715983364.7628582,0.10604449998936616,921620,4705,4.995573251973838
42,0,41,success,True,1715983364.8757882,0.5093688749766443,921620,9315,5.110555501974886
43,1,1,blank,False,1715983365.388564,0.13947699998971075,921620,9315,1.5041005099192262e-05
44,1,2,blank,False,1715983365.530125,0.14144187601050362,921620,9315,0.14191570799448527
45,1,3,repeat,False,1715983365.673776,0.4764284580014646,921620,9315,0.28550270799314603
46,1,4,repeat,False,1715983366.152651,0.4685273340146523,921620,9315,0.7641807080071885
47,1,5,blank,False,1715983366.6236944,0.13814300001831725,921620,9315,1.2352194590202998
48,1,6,repeat,False,1715983366.764145,0.4759840000187978,921620,9315,1.375893292017281
49,1,7,blank,False,1715983367.242218,0.1358309590141289,921620,9315,1.8538850840122905
50,1,8,repeat,False,1715983367.3800561,0.4710732090170495,921620,9315,1.9919292090053204
51,1,9,blank,False,1715983367.8529918,0.13856662501348183,921620,9315,2.4649648340127897
52,1,10,blank,False,1715983367.993576,0.140568999981042,921620,9315,2.6054250430024695
53,1,11,blank,False,1715983368.1372976,0.15085470798658207,921620,9315,2.7487514590029605
54,1,12,blank,False,1715983368.2906437,0.15351324999937788,921620,9315,2.9021754180139396
55,1,13,success,True,1715983368.4465797,0.466508208977757,921620,9321,3.0584329180128407
56,2,1,repeat,False,1715983368.9160142,0.4651012500107754,921620,9321,1.9589788280427456e-06
57,2,2,blank,False,1715983369.3834033,0.1426977090013679,921620,9321,0.4670797509897966
58,2,3,repeat,False,1715983369.5285435,0.48154649999924004,921620,9321,0.6122131669835653
59,2,4,repeat,False,1715983370.0123162,0.46401129200239666,921620,9321,1.0964002089749556
60,2,5,blank,False,1715983370.4781396,0.1281930840050336,921620,9321,1.5622815009846818
61,2,6,repeat,False,1715983370.6086333,0.465804916981142,921620,9321,1.692393709992757
62,2,7,repeat,False,1715983371.0763054,0.4602563339867629,921620,9321,2.160431542986771
63,2,8,blank,False,1715983371.5385687,0.13457820899202488,921620,9321,2.622492001974024
64,2,9,blank,False,1715983371.6753871,0.15476904099341482,921620,9321,2.759295959986048
65,2,10,repeat,False,1715983371.8326025,0.47851191702648066,921620,9321,2.9163565849885345
66,2,11,blank,False,1715983372.3129466,0.13610725000035018,921620,9321,3.39696566897328
67,2,12,blank,False,1715983372.4513407,0.13409920898266137,921620,9321,3.535210918984376
68,2,13,blank,False,1715983372.5877516,0.14737229200545698,921620,9321,3.6715086689800955
69,2,14,blank,False,1715983372.7375479,0.14756916699116118,921620,9321,3.8212857939943206
70,2,15,blank,False,1715983372.8877892,0.14738087498699315,921620,9321,3.9714419189840555
71,2,16,blank,False,1715983373.0379934,0.15417937500751577,921620,9321,4.121566043992061
72,2,17,blank,False,1715983373.1950645,0.15004733300884254,921620,9321,4.278709710983094
73,2,18,blank,False,1715983373.3476286,0.15347458299947903,921620,9321,4.431316293979762
74,2,19,repeat,False,1715983373.5037875,0.48629629201604985,921620,9321,4.587470168975415
75,2,20,blank,False,1715983373.9921486,0.13695629200083204,921620,9321,5.076236960972892
76,2,21,blank,False,1715983374.1314108,0.14723358300398104,921620,9321,5.215234960982343
77,2,22,success,True,1715983374.281044,0.48555695899995044,921620,9312,5.3648557949927635
78,3,1,blank,False,1715983374.769844,0.14405945799080655,921620,9312,2.083979779854417e-06
79,3,2,repeat,False,1715983374.91574,0.4653610829846002,921620,9312,0.14645104197552428
80,3,3,blank,False,1715983375.3829467,0.14613012500922196,921620,9312,0.6136743749957532
81,3,4,repeat,False,1715983375.5314536,0.470646083005704,921620,9312,0.7618877089989837
