seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1715977843.0956721,248060.793934052,1715977843.1745365,248060.872800719,0.07886666699778289,FrameResult.SUCCESS,0.0
2,1715977843.287941,248060.986204677,1715977843.3393571,248061.037621094,0.051416417001746595,FrameResult.NO_CHANGE,0.0
3,1715977843.4485319,248061.146795552,1715977843.5013928,248061.199657011,0.05286145900026895,FrameResult.NO_CHANGE,0.0
4,1715977843.6115637,248061.309827219,1715977843.6197197,248061.317983928,0.008156708994647488,FrameResult.CV_ERROR,0.0
5,1715977843.7300997,248061.428362803,1715977843.8041987,248061.502463136,0.07410033300402574,FrameResult.NO_CHANGE,0.0
6,1715977843.9230645,248061.621327594,1715977843.9820278,248061.680291719,0.05896412499714643,FrameResult.NO_CHANGE,0.0
7,1715977844.0910292,248061.789293136,1715977844.1495128,248061.847776719,0.05848358297953382,FrameResult.NO_CHANGE,0.0
8,1715977844.2600853,248061.958349261,1715977844.2686229,248061.966887178,0.00853791699046269,FrameResult.CV_ERROR,0.0
9,1715977844.3713949,248062.069657928,1715977844.4443495,248062.142613886,0.07295595802133903,FrameResult.NO_CHANGE,0.0
10,1715977844.5571084,248062.255372095,1715977844.5664735,248062.264737678,0.00936558298417367,FrameResult.CV_ERROR,0.0
11,1715977844.6710205,248062.369283595,1715977844.743986,248062.442250136,0.07296654098900035,FrameResult.NO_CHANGE,0.0
12,1715977844.8538246,248062.552088595,1715977844.8638115,248062.562075095,0.009986499993829057,FrameResult.CV_ERROR,0.0
13,1715977844.9776912,248062.675954053,1715977844.9849408,248062.683204678,0.007250624999869615,FrameResult.CV_ERROR,0.0
14,1715977845.0914636,248062.789726637,1715977845.1005912,248062.79885422,0.009127582976361737,FrameResult.CV_ERROR,0.0
15,1715977845.2129905,248062.911253345,1715977845.2845724,248062.982836637,0.07158329201047309,FrameResult.NO_CHANGE,0.0
16,1715977845.3891416,248063.087405428,1715977845.4487534,248063.147017387,0.05961195900454186,FrameResult.NO_CHANGE,0.0
17,1715977845.5574524,248063.255716178,1715977845.5659854,248063.26424972,0.008533541986253113,FrameResult.CV_ERROR,0.0
18,1715977845.674078,248063.372340929,1715977845.682188,248063.38045122,0.008110291004413739,FrameResult.CV_ERROR,0.0
19,1715977845.7921228,248063.490386429,1715977845.7965775,248063.494840304,0.004453874978935346,FrameResult.CV_ERROR,0.0
20,1715977845.9120193,248063.610278137,1715977845.9196498,248063.617913054,0.007634917012182996,FrameResult.CV_ERROR,0.0
21,1715977846.0278118,248063.726074762,1715977846.0365717,248063.734834304,0.008759541990002617,FrameResult.CV_ERROR,0.0
22,1715977846.1449974,248063.843256137,1715977846.2173982,248063.915662345,0.07240620799711905,FrameResult.NO_CHANGE,0.0
23,1715977846.3332314,248064.031490554,1715977846.3920317,248064.090295721,0.05880516697652638,FrameResult.NO_CHANGE,0.0
24,1715977846.4895554,248064.187819054,1715977846.4973993,248064.195663512,0.007844457984901965,FrameResult.CV_ERROR,0.0
25,1715977846.6073864,248064.305649721,1715977846.6789563,248064.377220304,0.0715705830079969,FrameResult.NO_CHANGE,0.0
26,1715977846.7931123,248064.491374971,1715977846.7987063,248064.496969721,0.0055947499931789935,FrameResult.CV_ERROR,0.0
27,1715977846.9077034,248064.605961971,1715977846.9151556,248064.613419054,0.007457082974724472,FrameResult.CV_ERROR,0.0
28,1715977847.028905,248064.727168138,1715977847.0355184,248064.733778429,0.006610291020479053,FrameResult.CV_ERROR,0.0
29,1715977847.1423516,248064.840615179,1715977847.1512697,248064.849532304,0.008917125000152737,FrameResult.CV_ERROR,0.0
30,1715977847.2679281,248064.966191471,1715977847.2753196,248064.973583013,0.0073915419925469905,FrameResult.CV_ERROR,0.0
31,1715977847.3874443,248065.085707638,1715977847.3950565,248065.093319596,0.007611957989865914,FrameResult.CV_ERROR,0.0
32,1715977847.504396,248065.202658804,1715977847.512195,248065.210458638,0.0077998340129852295,FrameResult.CV_ERROR,0.0
33,1715977847.6234293,248065.321691971,1715977847.6308615,248065.329124513,0.007432541984599084,FrameResult.CV_ERROR,0.0
34,1715977847.7402732,248065.43853618,1715977848.119657,248065.817921513,0.37938533298438415,FrameResult.SUCCESS,0.0
35,1715977848.2372096,248065.935473888,1715977848.5858202,248066.28408193,0.34860804199706763,FrameResult.NO_CHANGE,0.0
36,1715977848.6943672,248066.392631472,1715977849.0423665,248066.740631097,0.3479996249952819,FrameResult.NO_CHANGE,0.0
37,1715977849.1562095,248066.854473555,1715977849.201753,248066.90001718,0.04554362501949072,FrameResult.JUNK_FRAME,0.0
38,1715977849.308164,248067.00642593,1715977849.6753109,248067.37357518,0.36714924999978393,FrameResult.NO_CHANGE,0.0
39,1715977849.7841327,248067.482396806,1715977850.1413343,248067.839598847,0.3572020409919787,FrameResult.NO_CHANGE,0.0
40,1715977850.2481487,248067.946413097,1715977850.291166,248067.989429681,0.04301658400800079,FrameResult.JUNK_FRAME,0.0
41,1715977850.3982189,248068.096483139,1715977850.7514343,248068.449698723,0.3532155840075575,FrameResult.NO_CHANGE,0.0
42,1715977850.849185,248068.547449348,1715977850.8894997,248068.587764139,0.040314790996490046,FrameResult.JUNK_FRAME,0.0
43,1715977850.9901302,248068.688394514,1715977851.0319765,248068.730240764,0.041846250009257346,FrameResult.JUNK_FRAME,0.0
44,1715977851.14626,248068.844524139,1715977851.1934175,248068.891681473,0.047157333989162,FrameResult.JUNK_FRAME,0.0
45,1715977851.3004823,248068.998746181,1715977851.651537,248069.349801306,0.3510551250074059,FrameResult.NO_CHANGE,0.0
46,1715977851.768208,248069.466472348,1715977851.8138146,248069.512078806,0.04560645800665952,FrameResult.JUNK_FRAME,0.0
47,1715977851.9202623,248069.618526515,1715977851.9686475,248069.666911598,0.04838508300599642,FrameResult.JUNK_FRAME,0.0
48,1715977852.0704541,248069.768718098,1715977852.1187909,248069.81705489,0.0483367920096498,FrameResult.JUNK_FRAME,0.0
49,1715977852.2272809,248069.925544807,1715977852.27592,248069.974183973,0.04863916602334939,FrameResult.JUNK_FRAME,0.0
50,1715977852.374482,248070.072745432,1715977852.7309334,248070.429197932,0.3564525000110734,FrameResult.NO_CHANGE,0.0
51,1715977852.8391647,248070.537428849,1715977853.1886744,248070.886938932,0.3495100830041338,FrameResult.SUCCESS,0.0
52,1715977853.3012273,248070.999491391,1715977853.645901,248071.344165474,0.34467408299678937,FrameResult.NO_CHANGE,0.0
53,1715977853.7551475,248071.453411807,1715977853.7924054,248071.490669349,0.03725754201877862,FrameResult.JUNK_FRAME,0.0
54,1715977853.8933566,248071.591620141,1715977853.9359424,248071.634205974,0.04258583299815655,FrameResult.JUNK_FRAME,0.0
55,1715977854.0470877,248071.745351016,1715977854.403689,248072.101953474,0.35660245799226686,FrameResult.NO_CHANGE,0.0
56,1715977854.5091803,248072.207444808,1715977854.5471878,248072.245451766,0.038006957998732105,FrameResult.JUNK_FRAME,0.0
57,1715977854.652287,248072.350551141,1715977855.0066595,248072.704923891,0.3543727500073146,FrameResult.NO_CHANGE,0.0
58,1715977855.115271,248072.813535516,1715977855.1531858,248072.851450058,0.0379145419865381,FrameResult.JUNK_FRAME,0.0
59,1715977855.252268,248072.950532475,1715977855.602088,248073.300352267,0.3498197919980157,FrameResult.NO_CHANGE,0.0
60,1715977855.7191746,248073.417438892,1715977855.7583349,248073.456599058,0.03916016599396244,FrameResult.JUNK_FRAME,0.0
61,1715977855.8744452,248073.5727091,1715977856.23233,248073.93059435,0.3578852500068024,FrameResult.NO_CHANGE,0.0
62,1715977856.3411725,248074.0394366,1715977856.3796296,248074.077893517,0.038456917012808844,FrameResult.JUNK_FRAME,0.0
63,1715977856.4901671,248074.188431059,1715977856.8438022,248074.542066517,0.35363545798463747,FrameResult.NO_CHANGE,0.0
64,1715977856.9451497,248074.643414142,1715977857.2868822,248074.985146476,0.341732334025437,FrameResult.NO_CHANGE,0.0
65,1715977857.3934295,248075.091693101,1715977857.4304945,248075.128759142,0.0370660409971606,FrameResult.JUNK_FRAME,0.0
66,1715977857.5355873,248075.233851851,1715977857.5766869,248075.274950809,0.041098957997746766,FrameResult.JUNK_FRAME,0.0
67,1715977857.679248,248075.377512184,1715977857.725429,248075.423693309,0.046181125013390556,FrameResult.JUNK_FRAME,0.0
68,1715977857.8264496,248075.524713976,1715977858.1848314,248075.883096101,0.3583821250067558,FrameResult.SUCCESS,0.0
69,1715977858.303205,248076.00146931,1715977858.6465352,248076.344799601,0.34333029101253487,FrameResult.NO_CHANGE,0.0
70,1715977858.7631984,248076.46146281,1715977859.1086314,248076.806895727,0.3454329170053825,FrameResult.NO_CHANGE,0.0
71,1715977859.2152421,248076.913506477,1715977859.259204,248076.957468227,0.043961749994196,FrameResult.JUNK_FRAME,0.0
72,1715977859.3701437,248077.068407852,1715977859.7306583,248077.428922769,0.3605149170034565,FrameResult.NO_CHANGE,0.0
73,1715977859.837186,248077.535450394,1715977859.8804753,248077.578739727,0.04328933299984783,FrameResult.JUNK_FRAME,0.0
74,1715977859.987907,248077.686170769,1715977860.0355308,248077.733795019,0.04762425000080839,FrameResult.JUNK_FRAME,0.0
75,1715977860.1444902,248077.842753935,1715977860.5020294,248078.200294019,0.3575400840200018,FrameResult.NO_CHANGE,0.0
76,1715977860.6091735,248078.307437852,1715977860.6525948,248078.350859102,0.043421250011306256,FrameResult.JUNK_FRAME,0.0
77,1715977860.7545822,248078.452846644,1715977861.1053946,248078.803659269,0.35081262499443255,FrameResult.NO_CHANGE,0.0
78,1715977861.2141418,248078.912405978,1715977861.257181,248078.955445186,0.043039208016125485,FrameResult.JUNK_FRAME,0.0
79,1715977861.3661942,248079.064458436,1715977861.4115021,248079.109766061,0.04530762499780394,FrameResult.JUNK_FRAME,0.0
80,1715977861.5122464,248079.210510936,1715977861.5573921,248079.255656353,0.04514541698154062,FrameResult.JUNK_FRAME,0.0
81,1715977861.6654384,248079.363702686,1715977861.7126436,248079.410907686,0.04720499998074956,FrameResult.JUNK_FRAME,0.0
82,1715977861.8294654,248079.527729103,1715977861.8812616,248079.579525811,0.05179670799407177,FrameResult.JUNK_FRAME,0.0
83,1715977861.9904509,248079.688715145,1715977862.0423064,248079.74057027,0.05185512499883771,FrameResult.JUNK_FRAME,0.0
84,1715977862.1495428,248079.847806853,1715977862.2026134,248079.900877728,0.05307087500113994,FrameResult.JUNK_FRAME,0.0
85,1715977862.3126447,248080.010908936,1715977862.3645413,248080.062805228,0.05189629198866896,FrameResult.JUNK_FRAME,0.0
86,1715977862.467562,248080.165825853,1715977862.5169883,248080.215252353,0.04942649998702109,FrameResult.JUNK_FRAME,0.0
87,1715977862.6261282,248080.324392437,1715977862.6751893,248080.37345352,0.04906108300201595,FrameResult.JUNK_FRAME,0.0
88,1715977862.7845023,248080.482766562,1715977863.1365287,248080.834793312,0.35202675001346506,FrameResult.SUCCESS,0.0
89,1715977863.237109,248080.935373354,1715977863.5805218,248081.278786104,0.3434127499931492,FrameResult.NO_CHANGE,0.0
90,1715977863.6876433,248081.385907812,1715977864.0335581,248081.731822479,0.345914667006582,FrameResult.NO_CHANGE,0.0
91,1715977864.1421537,248081.840418354,1715977864.1480277,248081.846292104,0.00587374999304302,FrameResult.CV_ERROR,0.0
92,1715977864.249482,248081.947745187,1715977864.2549155,248081.953179021,0.005433833983261138,FrameResult.CV_ERROR,0.0
93,1715977864.3631318,248082.061395312,1715977864.367702,248082.065965437,0.004570125020109117,FrameResult.CV_ERROR,0.0
94,1715977864.4723513,248082.170614979,1715977864.8635714,248082.561835938,0.3912209589907434,FrameResult.NO_CHANGE,0.0
95,1715977864.9721754,248082.670439313,1715977864.978059,248082.676323438,0.005884125013835728,FrameResult.CV_ERROR,0.0
96,1715977865.081093,248082.779355688,1715977865.4487264,248083.14699098,0.3676352920010686,FrameResult.NO_CHANGE,0.0
97,1715977865.5651555,248083.263420063,1715977865.571163,248083.269427355,0.006007291987771168,FrameResult.CV_ERROR,0.0
98,1715977865.6751466,248083.373409105,1715977865.6811051,248083.379368896,0.005959791014902294,FrameResult.CV_ERROR,0.0
99,1715977865.7898529,248083.488115521,1715977865.7973466,248083.495606563,0.007491041993489489,FrameResult.CV_ERROR,0.0
100,1715977865.9081109,248083.606373855,1715977865.915249,248083.613512063,0.0071382079913746566,FrameResult.CV_ERROR,0.0
101,1715977866.0244558,248083.72271798,1715977866.033115,248083.731378855,0.008660874998895451,FrameResult.CV_ERROR,0.0
