seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1715961943.5316079,0.9574831250065472,921620,4705,0.0
2,0,1,repeat,False,1715961944.4959419,0.18415033401106484,921620,4705,6.4159976318478584e-06
3,0,2,repeat,False,1715961944.682815,0.17537774998345412,921620,4705,0.18847295799059793
4,0,3,repeat,False,1715961944.860574,0.2165557499974966,921620,4705,0.36630137500469573
5,0,4,repeat,False,1715961945.0800333,0.2320493340084795,921620,4705,0.5855923749913927
6,0,5,blank,False,1715961945.3154292,0.14074245799565688,921620,4705,0.8208277079975232
7,0,6,blank,False,1715961945.4648688,0.12457808302133344,921620,4705,0.9672256670019124
8,0,7,blank,False,1715961945.5981824,0.17061745800310746,921620,4705,1.1004844589915592
9,0,8,repeat,False,1715961945.7793136,0.20776100002694875,921620,4705,1.2810484590008855
10,0,9,blank,False,1715961945.989712,0.11940529197454453,921620,4705,1.4953944589942694
11,0,10,repeat,False,1715961946.117521,0.22175904200412333,921620,4705,1.6199554589984473
12,0,11,repeat,False,1715961946.3422246,0.1973627500119619,921620,4705,1.8476157920085825
13,0,12,blank,False,1715961946.5423105,0.11820837500272319,921620,4705,2.047916626004735
14,0,13,repeat,False,1715961946.6695523,0.24653795899939723,921620,4705,2.1716869169904385
15,0,14,blank,False,1715961946.9191704,0.1670644169789739,921620,4705,2.4246140840114094
16,0,15,repeat,False,1715961947.0952518,0.18931066599907354,921620,4705,2.5975867089873645
17,0,16,blank,False,1715961947.2873218,0.13552116599748842,921620,4705,2.7928548759955447
18,0,17,blank,False,1715961947.4326253,0.12970483300159685,921620,4705,2.934975543001201
19,0,18,repeat,False,1715961947.570905,0.19724562499322928,921620,4705,3.073400250985287
20,0,19,repeat,False,1715961947.7710104,0.18264829201507382,921620,4705,3.2766570009989664
21,0,20,blank,False,1715961947.9562776,0.1144957080250606,921620,4705,3.4620445010077674
22,0,21,blank,False,1715961948.0763938,0.12227120899478905,921620,4705,3.5806652100000065
23,0,22,blank,False,1715961948.207382,0.1251599169918336,921620,4705,3.709938751999289
24,0,23,blank,False,1715961948.3413506,0.1431711670011282,921620,4705,3.843933335010661
25,0,24,blank,False,1715961948.4932418,0.1622172089992091,921620,4705,3.99572725201142
26,0,25,blank,False,1715961948.6641936,0.1239022919908166,921620,4705,4.166698043001816
27,0,26,blank,False,1715961948.7983902,0.14672762600821443,921620,4705,4.29992558498634
28,0,27,success,True,1715961948.951297,0.47984099999303,921620,9315,4.456271334987832
29,1,1,repeat,False,1715961949.4340253,0.4739696669857949,921620,9315,2.209009835496545e-06
30,1,2,repeat,False,1715961949.9100955,0.46295754198217764,921620,9315,0.47566312600974925
31,1,3,repeat,False,1715961950.3749354,0.49005554197356105,921620,9315,0.9405937510018703
32,1,4,repeat,False,1715961950.8667622,0.5732592499989551,921620,9315,1.4325557929987554
33,1,5,blank,False,1715961951.4422612,0.286787084012758,921620,9315,2.007922626013169
34,1,6,blank,False,1715961951.7316399,0.18125595798483118,921620,9315,2.2970320020103827
35,1,7,repeat,False,1715961951.915513,0.47649587600608356,921620,9315,2.4807832929946017
36,1,8,blank,False,1715961952.3939672,0.17213200000696816,921620,9315,2.959608544013463
37,1,9,repeat,False,1715961952.5683067,0.5067397499806248,921620,9315,3.133837419009069
38,1,10,blank,False,1715961953.0770087,0.1938168329943437,921620,9315,3.642747544014128
39,1,11,blank,False,1715961953.2731166,0.19871374999638647,921620,9315,3.8386265019944403
40,1,12,blank,False,1715961953.4745378,0.18859654199332,921620,9315,4.039825918996939
41,1,13,blank,False,1715961953.6658757,0.2222907500108704,921620,9315,4.231199586007278
42,1,14,success,True,1715961953.8903394,0.4647069580096286,921620,9332,4.45621008600574
43,2,1,repeat,False,1715961954.3579082,0.4571362500137184,921620,9332,2.2920139599591494e-06
44,2,2,repeat,False,1715961954.8170128,0.4793660420109518,921620,9332,0.45889245902071707
45,2,3,blank,False,1715961955.3001647,0.16846783299115486,921620,9332,0.9404963340202812
46,2,4,blank,False,1715961955.4725661,0.15945504201226868,921620,9332,1.1132520429964643
47,2,5,repeat,False,1715961955.6338265,0.47325975002604537,921620,9332,1.275771918008104
48,2,6,repeat,False,1715961956.108942,0.4871337089862209,921620,9332,1.750793668004917
49,2,7,blank,False,1715961956.5981433,0.16992320801364258,921620,9332,2.239814335014671
50,2,8,blank,False,1715961956.7707856,0.20818570800474845,921620,9332,2.4122096270148177
51,2,9,repeat,False,1715961956.983072,0.4689853339805268,921620,9332,2.6238583770173136
52,2,10,repeat,False,1715961957.4542546,0.4738691659877077,921620,9332,3.095923626999138
53,2,11,repeat,False,1715961957.9304125,0.4496765000221785,921620,9332,3.5719616270216648
54,2,12,blank,False,1715961958.382018,0.2090973329904955,921620,9332,4.023908711009426
55,2,13,blank,False,1715961958.593899,0.20716150099178776,921620,9332,4.235228336008731
56,2,14,success,True,1715961958.8039515,0.5181291250046343,921620,9312,4.445312461000867
57,3,1,repeat,False,1715961959.3260407,0.46054779199766926,921620,9312,1.733301905915141e-05
58,3,2,repeat,False,1715961959.7894998,0.6347771669970825,921620,9312,0.46250212501036003
59,3,3,repeat,False,1715961960.4275777,0.5569384590198752,921620,9312,1.100466083997162
60,3,4,blank,False,1715961960.9863286,0.3167596250132192,921620,9312,1.660195542004658
61,3,5,repeat,False,1715961961.305965,0.5155552510113921,921620,9312,1.97927841701312
62,3,6,blank,False,1715961961.8235648,0.18269737498485483,921620,9312,2.497319543006597
63,3,7,repeat,False,1715961962.0085776,0.49957029201323166,921620,9312,2.682132709014695
64,3,8,blank,False,1715961962.5105634,0.18443387499428354,921620,9312,3.1842452099954244
65,3,9,blank,False,1715961962.6972017,0.15876225000829436,921620,9312,3.370808335021138
66,3,10,blank,False,1715961962.8583598,0.19241991700255312,921620,9312,3.531923793023452
67,3,11,blank,False,1715961963.0533018,0.22464162498363294,921620,9312,3.7267388770123944
68,3,12,blank,False,1715961963.2808928,0.18993104100809433,921620,9312,3.9541723770089447
69,3,13,blank,False,1715961963.4736483,0.17842391700833105,921620,9312,4.146988085005432
70,3,14,blank,False,1715961963.654568,0.17696854201494716,921620,9312,4.3280630850058515
71,3,15,success,True,1715961963.834053,0.4709897919965442,921620,9306,4.507563752005808
72,4,1,blank,False,1715961964.3085773,0.15532791701843962,921620,9306,6.4159976318478584e-06
73,4,2,blank,False,1715961964.4706974,0.10784929199144244,921620,9306,0.1595190410153009
74,4,3,blank,False,1715961964.5878344,0.12997212499612942,921620,9306,0.2752942079969216
75,4,4,blank,False,1715961964.7266662,0.13372041698312387,921620,9306,0.4144700830220245
76,4,5,repeat,False,1715961964.869214,0.47583904198836535,921620,9306,0.5568814160069451
77,4,6,blank,False,1715961965.3469098,0.123364415980177,921620,9306,1.0384373330161907
