step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1716396833.4264715,596651.615114763,1716396844.60168,596662.79032331,596651.616417055,596651.616417055,11.173906254931353,0.0,11.175208546919748,11.175208546919748,0.0013022919883951545,1
1,1716396844.60168,596662.79032331,1716396857.0868552,596675.275498482,596662.796637227,596672.683955647,2.5915428349981084,4.378,12.485175172099844,8.107175172099844,5.515632337075658,6
2,1716396857.0868552,596675.275498482,1716396879.8277721,596698.016415409,596675.281854148,596695.486995658,2.5294197510229424,4.378,22.74091692699585,18.36291692699585,15.833497175946832,11
3,1716396879.8277721,596698.016415409,1716396892.3322024,596710.520845623,596698.021557951,596708.082288497,2.4385571259772405,4.378,12.504430213943124,8.126430213943124,5.687873087939806,6
4,1716396892.3322024,596710.520845623,1716396899.3482676,596717.536910793,596710.526650081,596714.940461667,2.596449126023799,4.378,7.016065170057118,2.638065170057118,0.041616044007241726,3
5,1716396899.3482676,596717.536910793,1716396906.5943544,596724.782997671,596717.541755084,596722.176812837,2.6061848340323195,3.735,7.246086878003553,3.5110868780035527,0.9049020439852029,3
6,1716396906.5943544,596724.782997671,1716396913.4824975,596731.671140715,596724.788575255,596729.081470339,2.5896703760372475,3.735,6.888143043965101,3.1531430439651014,0.5634726679418236,3
7,1716396913.4824975,596731.671140715,1716396919.8136055,596738.002248843,596731.67698609,596735.6182058,2.384043043013662,3.735,6.331108127953485,2.596108127953485,0.2120650849537924,3
8,1716396919.8136055,596738.002248843,1716396930.6876812,596748.876324557,596738.007503385,596746.691804972,2.184519584989175,3.735,10.874075714033097,7.139075714033098,4.954556129057892,5
9,1716396930.6876812,596748.876324557,1716396937.7572126,596755.945856018,596748.881618973,596753.679092351,2.2667636669939384,4.049,7.069531460991129,3.020531460991129,0.7537677939981222,3
10,1716396937.7572126,596755.945856018,1716396944.1767774,596762.365420771,596755.951564852,596760.40339177,1.9620290009770542,4.049,6.419564752955921,2.3705647529559206,0.4085357519797981,3
11,1716396944.1767774,596762.365420771,1716396951.8365076,596770.025150858,596762.371808063,596767.026201815,2.9989490429870784,4.049,7.659730087034404,3.610730087034404,0.6117810440482572,3
12,1716396951.8365076,596770.025150858,1716396958.4568112,596776.645454486,596770.030298983,596774.715300443,1.9301540430169553,4.049,6.62030362803489,2.5713036280348893,0.6411495850188658,3
13,1716396958.4568112,596776.645454486,1716396975.585059,596793.773702243,596776.650643069,596791.487440742,2.286261501023546,4.049,17.128247756976634,13.079247756976635,10.79298625595402,8
14,1716396975.585059,596793.773702243,1716396982.503779,596800.692422246,596793.779083993,596798.403074954,2.2893472919240594,4.049,6.918720002984628,2.8697200029846277,0.5803727110615,3
15,1716396982.503779,596800.692422246,1716396989.8101685,596807.998811792,596800.697700746,596805.305627207,2.6931845849612728,4.049,7.306389546021819,3.2573895460218187,0.5642049610614777,3
16,1716396989.8101685,596807.998811792,1716396996.43751,596814.626153378,596808.003834583,596812.326951794,2.2992015840718523,4.049,6.627341586048715,2.5783415860487144,0.2791400019777939,3
17,1716396996.43751,596814.626153378,1716397002.9269705,596821.115613797,596814.631247128,596818.728432963,2.3871808339608833,4.049,6.48946041893214,2.4404604189321395,0.05327958497218788,3
18,1716397002.9269705,596821.115613797,1716397009.9994035,596828.188046801,596821.120842339,596825.643505091,2.5445417100563645,4.049,7.07243300403934,3.0234330040393393,0.4788912939839065,3
19,1716397009.9994035,596828.188046801,1716397022.31495,596840.503593265,596828.193086842,596837.836344139,2.6672491260105744,4.049,12.315546463942155,8.266546463942156,5.599297337932512,6
20,1716397022.31495,596840.503593265,1716397029.0231152,596847.211758351,596840.508783015,596845.119790059,2.0919682919047773,4.049,6.708165085990913,2.659165085990913,0.5671967940870672,3
21,1716397029.0231152,596847.211758351,1716397035.5968642,596853.785507396,596847.216674393,596851.538452394,2.2470550020225346,4.049,6.573749045026489,2.5247490450264882,0.2776940430048853,3
22,1716397035.5968642,596853.785507396,1716397042.8809884,596861.069631649,596853.790658937,596858.793492023,2.2761396259302273,4.049,7.284124252968468,3.2351242529684674,0.9589846270391718,3
23,1716397042.8809884,596861.069631649,1716397049.0522146,596867.240857985,596861.074637774,596865.242691109,1.9981668760301545,4.049,6.171226336038671,2.122226336038671,0.12405946000944823,3
24,1716397049.0522146,596867.240857985,1716397055.574562,596873.763205405,596867.246417819,596871.393856737,2.369348668027669,4.049,6.522347419988364,2.4733474199883636,0.10399875196162611,3
25,1716397055.574562,596873.763205405,1716397061.988521,596880.177164324,596873.768584655,596877.952780282,2.224384041968733,4.049,6.413958919001743,2.364958919001743,0.14057487703394145,3
26,1716397061.988521,596880.177164324,1716397068.6068835,596886.795526744,596880.182335616,596884.270886201,2.524640543037094,4.049,6.618362420005724,2.5693624200057235,0.04472187696956098,3
27,1716397068.6068835,596886.795526744,1716397075.8199673,596894.008610456,596886.800754869,596891.59476733,2.4138431260362267,4.049,7.213083712034859,3.1640837120348584,0.7502405859995633,3
28,1716397075.8199673,596894.008610456,1716397082.2670484,596900.455691459,596894.014524081,596898.319177041,2.13651441805996,4.049,6.447081002988853,2.398081002988852,0.2615665849298239,3
29,1716397082.2670481,596900.455691459,1716397089.107134,596907.295777546,596900.460591459,596904.800190586,2.495586959994398,4.049,6.840086087002419,2.7910860870024186,0.2954991270089522,3
30,1716397089.1071343,596907.295777546,1716397101.3386924,596919.527335593,596907.300606296,596917.118097758,2.409237834974192,4.049,12.231558047002181,8.182558047002182,5.773320212028921,6
31,1716397101.3386922,596919.527335593,1716397107.9732394,596926.161882721,596919.532226551,596923.992943887,2.1689388339873403,4.049,6.634547127992846,2.5855471279928457,0.41660829400643706,3
32,1716397107.9732394,596926.161882721,1716397114.3866954,596932.575338599,596926.167938721,596930.459798848,2.1155397510156035,4.049,6.413455878035165,2.364455878035165,0.24891612702049315,3
33,1716397114.3866954,596932.575338599,1716397121.4338584,596939.622501602,596932.581235016,596937.282733143,2.3397684590891004,4.049,7.047163003007881,2.998163003007881,0.6583945439197123,3
34,1716397121.4338584,596939.622501602,1716397127.926794,596946.11543723,596939.627743019,596943.859642979,2.2557942509884015,4.049,6.492935627931729,2.4439356279317286,0.1881413769442588,3
35,1716397127.926794,596946.11543723,1716397149.9967496,596968.185392865,596946.119297105,596965.773399281,2.411993584013544,4.049,22.06995563500095,18.020955635000952,15.608962050988339,10
36,1716397149.9967496,596968.185392865,1716397162.245955,596980.434598329,596968.190491448,596978.130310703,2.3042876260587946,4.049,12.249205464031547,8.200205464031548,5.895917837973684,5
37,1716397162.245955,596980.434598329,1716397168.9045343,596987.093177707,596980.441068662,596985.025606415,2.0675712920492515,4.049,6.658579378039576,2.6095793780395757,0.5420080859912559,3
38,1716397168.9045343,596987.093177707,1716397175.704759,596993.893402294,596987.098363374,596991.312357376,2.5810449180426076,4.049,6.8002245869720355,2.751224586972035,0.17017966893035918,3
39,1716397175.7047591,596993.893402294,1716397182.05266,597000.241303171,596993.898697752,596998.203715212,2.0375879590865225,4.049,6.347900877008215,2.298900877008214,0.26131291792262346,3
40,1716397182.05266,597000.241303171,1716397193.8224127,597012.011055802,597000.246403338,597009.842765259,2.168290543020703,4.049,11.769752630963922,7.720752630963921,5.55246208794415,5
41,1716397193.8224125,597012.011055802,1716397200.2237206,597018.412363763,597012.015980677,597016.342444137,2.0699196259956807,4.049,6.40130796097219,2.3523079609721895,0.28238833497744054,3
42,1716397200.2237206,597018.412363763,1716397206.6232684,597024.8119116,597018.418313222,597022.643313474,2.1685981259215623,4.049,6.399547836976126,2.3505478369761255,0.18194971105549484,3
43,1716397206.6232684,597024.8119116,1716397212.9534128,597031.142056102,597024.816957142,597029.059073393,2.082982709049247,4.049,6.330144502106123,2.2811445021061223,0.1981617930578068,3
44,1716397212.9534128,597031.142056102,1716397219.463029,597037.651672314,597031.146744186,597035.674638771,1.9770335430512205,4.049,6.509616211988032,2.4606162119880315,0.4835826689377427,3
45,1716397219.463029,597037.651672314,1716397226.0444307,597044.233074192,597037.657841022,597042.177192316,2.055881875916384,4.049,6.581401877920143,2.532401877920143,0.47652000200469047,3
46,1716397226.044431,597044.233074192,1716397232.7776392,597050.966282445,597044.239196733,597048.30442211,2.661860335036181,4.049,6.73320825304836,2.68420825304836,0.022347918013110757,3
47,1716397232.7776392,597050.966282445,1716397239.4032192,597057.591862615,597050.971487778,597055.561841322,2.0300212929723784,4.049,6.625580169958994,2.5765801699589934,0.5465588769875467,3
48,1716397239.4032192,597057.591862615,1716397246.0554175,597064.244060867,597057.597442823,597061.946177241,2.2978836259571835,4.049,6.652198252035305,2.6031982520353045,0.3053146260790527,3
49,1716397246.0554175,597064.244060867,1716397252.7896938,597070.978337079,597064.248986367,597068.804459078,2.173878001049161,4.049,6.7342762120533735,2.685276212053373,0.5113982110051438,3
50,1716397252.7896938,597070.978337079,1716397265.0529616,597083.241604751,597070.983707162,597080.77763975,2.4639650009339675,4.049,12.263267671922222,8.214267671922222,5.750302670989186,6
