seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1714921533.7455072,1.7065457089993288,921620,4705,0.0
2,0,1,repeat,False,1714921535.4592035,0.31583429199963575,921620,4705,7.541002560174093e-06
3,0,2,repeat,False,1714921535.7799802,0.32304500000100234,921620,4705,0.3215782500010391
4,0,3,repeat,False,1714921536.1066134,0.3153862500003015,921620,4705,0.6488207080001303
5,0,4,repeat,False,1714921536.425906,0.3351778340002056,921620,4705,0.9679510000023583
6,0,5,repeat,False,1714921536.765676,0.32750850100273965,921620,4705,1.3073055839995504
7,0,6,blank,False,1714921537.0993917,0.21738808299778611,921620,4705,1.6399330839994946
8,0,7,repeat,False,1714921537.3257055,0.30531662499925005,921620,4705,1.8649020840020967
9,0,8,blank,False,1714921537.6355524,0.2780227080002078,921620,4705,2.177302709002106
10,0,9,blank,False,1714921537.9219866,0.2856893330026651,921620,4705,2.4616388760005066
11,0,10,blank,False,1714921538.2162516,0.22541583299971535,921620,4705,2.755805959001009
12,0,11,blank,False,1714921538.4498813,0.2504057090009155,921620,4705,2.989498293001816
13,0,12,blank,False,1714921538.7088187,0.2537986249990354,921620,4705,3.248361167999974
14,0,13,blank,False,1714921538.9712481,0.2585085419996176,921620,4705,3.5107177930003672
15,0,14,repeat,False,1714921539.2382195,0.36598125000091386,921620,4705,3.7778828350019467
16,0,15,repeat,False,1714921539.6104841,0.3385231249994831,921620,4705,4.151082835000125
17,0,16,blank,False,1714921539.9550161,0.2972836249973625,921620,4705,4.496146419001889
18,0,17,blank,False,1714921540.2610097,0.2712206249998417,921620,4705,4.800368585001706
19,0,18,repeat,False,1714921540.5411558,0.35932783399766777,921620,4705,5.080249669001205
20,0,19,success,True,1714921540.9036956,0.6493017920001876,921620,9315,5.44664087700221
21,1,1,repeat,False,1714921541.5564098,0.6130526249980903,921620,9315,2.5840017769951373e-06
22,1,2,blank,False,1714921542.1719496,0.30206887500025914,921620,9315,0.6154722510000283
23,1,3,blank,False,1714921542.477912,0.35511570800008485,921620,9315,0.9206284169995342
24,1,4,blank,False,1714921542.8378842,0.3721442919995752,921620,9315,1.2802050430000236
25,1,5,repeat,False,1714921543.2143924,0.5776235830016958,921620,9315,1.6569280010007787
26,1,6,repeat,False,1714921543.7943609,0.621676500999456,921620,9315,2.237875585000438
27,1,7,repeat,False,1714921544.4182336,0.580881917001534,921620,9315,2.8618456680014788
28,1,8,repeat,False,1714921545.0021427,0.6019410420012719,921620,9315,3.4454824189997453
29,1,9,blank,False,1714921545.6069715,0.33565066600203863,921620,9315,4.05032625199965
30,1,10,blank,False,1714921545.9463975,0.34033562499826076,921620,9315,4.389110586002062
31,1,11,blank,False,1714921546.2932305,0.33606562499699066,921620,9315,4.734440627998993
32,1,12,blank,False,1714921546.6330466,0.3771553340011451,921620,9315,5.075867835999816
33,1,13,success,True,1714921547.0151052,0.5769735419999051,921620,9321,5.458456878001016
34,2,1,repeat,False,1714921547.5961273,0.6028356669994537,921620,9321,2.625001798151061e-06
35,2,2,repeat,False,1714921548.2013004,0.7500637090015516,921620,9321,0.6054990010015899
36,2,3,blank,False,1714921548.9542038,0.4457304589996056,921620,9321,1.3582189590015332
37,2,4,repeat,False,1714921549.404603,0.6433613749977667,921620,9321,1.8076078340018285
38,2,5,blank,False,1714921550.0503724,0.27628787600042415,921620,9321,2.45450650100247
39,2,6,blank,False,1714921550.332986,0.3443088749991148,921620,9321,2.7349560850016132
40,2,7,blank,False,1714921550.6836193,0.2946382090012776,921620,9321,3.0856629600020824
41,2,8,repeat,False,1714921550.9851172,0.6188613339982112,921620,9321,3.3869648770014464
42,2,9,repeat,False,1714921551.606832,0.6551769590005279,921620,9321,4.010740419002104
43,2,10,blank,False,1714921552.2654476,0.310612792000029,921620,9321,4.669163627000671
44,2,11,repeat,False,1714921552.5810997,0.6108812509992276,921620,9321,4.984206211000128
45,2,12,success,True,1714921553.1943471,0.6206266660010442,921620,9312,5.599038003001624
46,3,1,repeat,False,1714921553.8185766,0.5694026249984745,921620,9312,2.6669986255001277e-06
47,3,2,low_confidence,False,1714921554.3912063,0.6267933749986696,921620,9312,0.5721501250009169
48,3,3,blank,False,1714921555.020998,0.2840620419992774,921620,9312,1.2019199169990316
49,3,4,repeat,False,1714921555.308894,0.6100621670011606,921620,9312,1.4896179169991228
50,3,5,blank,False,1714921555.9213579,0.4170510830008425,921620,9312,2.102799918000528
51,3,6,blank,False,1714921556.345438,0.30756591699901037,921620,9312,2.5246046259999275
52,3,7,repeat,False,1714921556.6577415,0.6082868749981571,921620,9312,2.838057918001141
53,3,8,repeat,False,1714921557.268872,0.6491371670017543,921620,9312,3.4501824600010877
54,3,9,blank,False,1714921557.9207165,0.3305400830031431,921620,9312,4.102034669002023
55,3,10,repeat,False,1714921558.2567,0.5868253340013325,921620,9312,4.436533251999208
56,3,11,blank,False,1714921558.846318,0.30363266699714586,921620,9312,5.027683126998454
57,3,12,success,True,1714921559.1526904,0.6033525840030052,921620,9306,5.334439211001154
58,4,1,repeat,False,1714921559.7596483,0.5884147920005489,921620,9306,2.4170003598555923e-06
59,4,2,repeat,False,1714921560.3506222,0.5823431669996353,921620,9306,0.5908816259980085
60,4,3,repeat,False,1714921560.935269,0.6378773340002226,921620,9306,1.1756098759979068
61,4,4,repeat,False,1714921561.5761864,0.657872416999453,921620,9306,1.8165011259989114
62,4,5,repeat,False,1714921562.2373857,0.6185961669980315,921620,9306,2.4773963349980477
63,4,6,repeat,False,1714921562.8589008,0.5700329169994802,921620,9306,3.099028251999698
64,4,7,repeat,False,1714921563.4316099,0.6033827089995611,921620,9306,3.671602376998635
65,4,8,blank,False,1714921564.038328,0.2792637079983251,921620,9306,4.278367335999064
66,4,9,blank,False,1714921564.326059,0.2299200000015844,921620,9306,4.563090127998294
67,4,10,blank,False,1714921564.5640578,0.2444660000001022,921620,9306,4.80121741900075
68,4,11,blank,False,1714921564.8171635,0.23026383300020825,921620,9306,5.054321127998264
69,4,12,success,True,1714921565.0535395,0.5915032510019955,921620,9316,5.292981294998754
70,5,1,low_confidence,False,1714921565.649072,0.6049625000014203,921620,9316,2.792003215290606e-06
71,5,2,blank,False,1714921566.2573268,0.2807527500008291,921620,9316,0.6079406670032768
72,5,3,blank,False,1714921566.5443225,0.278937582999788,921620,9316,0.8929085000017949
73,5,4,blank,False,1714921566.8287888,0.3319159579987172,921620,9316,1.1777245420016698
74,5,5,blank,False,1714921567.1677756,0.2855243329977384,921620,9316,1.5160617090004962
75,5,6,blank,False,1714921567.4601915,0.2871050829999149,921620,9316,1.8086366670031566
76,5,7,repeat,False,1714921567.7524297,0.5875835830011056,921620,9316,2.101842543001112
77,5,8,blank,False,1714921568.3425367,0.30764233299851185,921620,9316,2.6933682930030045
78,5,9,repeat,False,1714921568.6571002,0.6549119589981274,921620,9316,3.0054981680004857
79,5,10,blank,False,1714921569.3147643,0.3564387500009616,921620,9316,3.6655321680009365
80,5,11,blank,False,1714921569.6773508,0.34695858399936697,921620,9316,4.026156293002714
81,5,12,blank,False,1714921570.033256,0.3551739579997957,921620,9316,4.380648252001265
82,5,13,success,True,1714921570.3935792,0.5984217089971935,921620,9320,4.743951585001923
83,6,1,repeat,False,1714921570.995467,0.5915429999986372,921620,9320,2.2909989638719708e-06
84,6,2,repeat,False,1714921571.5896976,0.6233110419998411,921620,9320,0.5940736249976908
85,6,3,blank,False,1714921572.2154918,0.2439760839988594,921620,9320,1.2199676669988548
86,6,4,blank,False,1714921572.4679825,0.278125667002314,921620,9320,1.4690810840002086
87,6,5,repeat,False,1714921572.7542522,0.5997393750003539,921620,9320,1.7556530839974585
88,6,6,repeat,False,1714921573.356432,0.578559375997429,921620,9320,2.3608588759998383
89,6,7,blank,False,1714921573.937354,0.2655646669991256,921620,9320,2.941835084999184
90,6,8,repeat,False,1714921574.2112901,0.6437227919996076,921620,9320,3.2125769599988416
91,6,9,blank,False,1714921574.8574324,0.2410566660000768,921620,9320,3.861889251998946
