seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1714927628.1762927,38390.591449641,1714927628.2498937,38390.665052141,0.07360250000056112,FrameResult.SUCCESS,0.0
2,1714927628.4940667,38390.909223475,1714927628.5680666,38390.9832251,0.0740016249983455,FrameResult.NO_CHANGE,0.0
3,1714927628.8947208,38391.309877725,1714927628.9669771,38391.382135767,0.07225804200425046,FrameResult.NO_CHANGE,0.0
4,1714927629.274,38391.6891566,1714927629.2811477,38391.696305642,0.00714904200140154,FrameResult.CV_ERROR,0.0
5,1714927629.5372403,38391.952397434,1714927629.5446227,38391.959780225,0.0073827910018735565,FrameResult.CV_ERROR,0.0
6,1714927629.8295982,38392.244754601,1714927629.8370068,38392.252160934,0.007406332995742559,FrameResult.CV_ERROR,0.0
7,1714927630.0774655,38392.492622851,1714927630.1482127,38392.563371434,0.07074858299893094,FrameResult.NO_CHANGE,0.0
8,1714927630.484007,38392.899163976,1714927630.558081,38392.973239476,0.07407550000061747,FrameResult.NO_CHANGE,0.0
9,1714927630.8278034,38393.242960559,1714927630.8364117,38393.251565726,0.008605167000496294,FrameResult.CV_ERROR,0.0
10,1714927631.0872505,38393.502401684,1714927631.0958152,38393.510972893,0.008571208993089385,FrameResult.CV_ERROR,0.0
11,1714927631.3974187,38393.81257481,1714927631.40595,38393.821108018,0.008533207997970749,FrameResult.CV_ERROR,0.0
12,1714927631.652096,38394.06725006,1714927632.0279262,38394.44308506,0.375834999998915,FrameResult.SUCCESS,0.0
13,1714927632.3180678,38394.733224477,1714927632.6904836,38395.105642185,0.3724177080002846,FrameResult.NO_CHANGE,0.0
14,1714927633.0216606,38395.436817144,1714927633.0922835,38395.50744131,0.07062416600092547,FrameResult.JUNK_FRAME,0.0
15,1714927633.3794844,38395.794640061,1714927633.4504046,38395.865563102,0.07092304099933244,FrameResult.JUNK_FRAME,0.0
16,1714927633.697883,38396.113039852,1714927634.0700305,38396.485189019,0.3721491669930401,FrameResult.NO_CHANGE,0.0
17,1714927634.3000298,38396.715185936,1714927634.6736033,38397.088762061,0.3735761249990901,FrameResult.NO_CHANGE,0.0
18,1714927634.9682658,38397.38342277,1714927635.3402727,38397.755431436,0.37200866600323934,FrameResult.NO_CHANGE,0.0
19,1714927635.5764709,38397.991627478,1714927635.6479883,38398.063146145,0.07151866700587561,FrameResult.JUNK_FRAME,0.0
20,1714927635.9384518,38398.353608895,1714927636.0109143,38398.426072895,0.0724640000044019,FrameResult.JUNK_FRAME,0.0
21,1714927636.3043156,38398.719470812,1714927636.3747363,38398.789894812,0.07042399999772897,FrameResult.JUNK_FRAME,0.0
22,1714927636.6045372,38399.019694187,1714927636.6766362,38399.091794729,0.0721005419982248,FrameResult.JUNK_FRAME,0.0
23,1714927636.9435637,38399.358719854,1714927637.0150673,38399.430225937,0.07150608300435124,FrameResult.JUNK_FRAME,0.0
24,1714927637.2612872,38399.676444812,1714927637.3309379,38399.746096521,0.06965170899638906,FrameResult.JUNK_FRAME,0.0
25,1714927637.6332324,38400.048388896,1714927637.7071738,38400.122331688,0.07394279199797893,FrameResult.JUNK_FRAME,0.0
26,1714927637.952387,38400.367544271,1714927638.024325,38400.439482729,0.07193845800065901,FrameResult.JUNK_FRAME,0.0
27,1714927638.2413719,38400.656528271,1714927638.6118982,38401.027056813,0.3705285420001019,FrameResult.SUCCESS,0.0
28,1714927638.8771403,38401.292296855,1714927639.2718923,38401.687048105,0.3947512500017183,FrameResult.NO_CHANGE,0.0
29,1714927639.4960475,38401.911205063,1714927639.8618968,38402.277055314,0.3658502510006656,FrameResult.NO_CHANGE,0.0
30,1714927640.0998304,38402.514987064,1714927640.165102,38402.58026073,0.06527366599766538,FrameResult.JUNK_FRAME,0.0
31,1714927640.4053664,38402.820522939,1714927640.4709122,38402.886070439,0.06554750000213971,FrameResult.JUNK_FRAME,0.0
32,1714927640.6883495,38403.103506564,1714927640.7540832,38403.169241147,0.06573458299681079,FrameResult.JUNK_FRAME,0.0
33,1714927641.0040488,38403.419201689,1714927641.068197,38403.483355064,0.0641533750022063,FrameResult.JUNK_FRAME,0.0
34,1714927641.2894459,38403.704602856,1714927641.6646442,38404.079802981,0.37520012500317534,FrameResult.SUCCESS,0.0
35,1714927641.9321623,38404.347318148,1714927642.3019803,38404.717138648,0.36982049999642186,FrameResult.NO_CHANGE,0.0
36,1714927642.5957432,38405.010899565,1714927642.6661563,38405.081314565,0.0704150000019581,FrameResult.JUNK_FRAME,0.0
37,1714927642.9253602,38405.340516482,1714927642.9959788,38405.411137107,0.07062062500335742,FrameResult.JUNK_FRAME,0.0
38,1714927643.2343135,38405.649470607,1714927643.6028993,38406.018058024,0.36858741699688835,FrameResult.NO_CHANGE,0.0
39,1714927643.8367605,38406.251916816,1714927643.9117897,38406.326947774,0.07503095800348092,FrameResult.JUNK_FRAME,0.0
40,1714927644.152124,38406.567281191,1714927644.5217865,38406.937204065,0.36992287400062196,FrameResult.NO_CHANGE,0.0
41,1714927644.7426925,38407.158107898,1714927644.812633,38407.228050815,0.06994291699811583,FrameResult.JUNK_FRAME,0.0
