seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1714930418.0556803,1.788834583996504,921620,4705,0.0
2,0,1,low_confidence,False,1714930419.8522243,0.6682294589991216,921620,4705,6.374997610691935e-06
3,0,2,blank,False,1714930420.5235877,0.25353699999686796,921620,4705,0.6737047499991604
4,0,3,repeat,False,1714930420.7854867,0.36812312500114786,921620,4705,0.9326422919984907
5,0,4,blank,False,1714930421.1617513,0.28304683299938915,921620,4705,1.3087547500035726
6,0,5,blank,False,1714930421.4545236,0.2608594589983113,921620,4705,1.6011662500022794
7,0,6,blank,False,1714930421.7243977,0.28986204200191423,921620,4705,1.8711232089990517
8,0,7,blank,False,1714930422.0229235,0.2592807089968119,921620,4705,2.1702211669980898
9,0,8,repeat,False,1714930422.2911942,0.34850424999604,921620,4705,2.438195000999258
10,0,9,blank,False,1714930422.6471527,0.21200166700145928,921620,4705,2.7945843339985004
11,0,10,blank,False,1714930422.8684535,0.23243383400404127,921620,4705,3.015226709001581
12,0,11,blank,False,1714930423.1105711,0.28915462500299327,921620,4705,3.2572941680045915
13,0,12,blank,False,1714930423.4093382,0.2697868329996709,921620,4705,3.5561631680029677
14,0,13,repeat,False,1714930423.6879773,0.3596193330013193,921620,4705,3.8350627929976326
15,0,14,repeat,False,1714930424.0524073,0.36028066700237105,921620,4705,4.201649709997582
16,0,15,blank,False,1714930424.4192011,0.2957953329969314,921620,4705,4.567227794002974
17,0,16,blank,False,1714930424.7245975,0.23246300000027986,921620,4705,4.870755085001292
18,0,17,blank,False,1714930424.9658124,0.2856998749994091,921620,4705,5.112846793999779
19,0,18,blank,False,1714930425.2599463,0.2183155410020845,921620,4705,5.406731711002067
20,0,19,blank,False,1714930425.4868975,0.29617779099498875,921620,4705,5.634360251999169
21,0,20,blank,False,1714930425.7914505,0.21473345900449203,921620,4705,5.938559043999703
22,0,21,blank,False,1714930426.0144737,0.24585637499694712,921620,4705,6.1614918780032895
23,0,22,repeat,False,1714930426.2687795,0.3126916670007631,921620,4705,6.415785169003357
24,0,23,blank,False,1714930426.5851161,0.23530025000218302,921620,4705,6.734875128000567
25,0,24,blank,False,1714930426.8286705,0.2990217499973369,921620,4705,6.975773295002
26,0,25,blank,False,1714930427.136653,0.22844099999929313,921620,4705,7.283691336000629
27,0,26,blank,False,1714930427.3736444,0.30876858300325694,921620,4705,7.521028003000538
28,0,27,blank,False,1714930427.691148,0.21451804199750768,921620,4705,7.83817767000437
29,0,28,success,True,1714930427.9114492,0.6579530840026564,921620,9315,8.061208712002554
30,1,1,repeat,False,1714930428.573244,0.6461520010052482,921620,9315,2.4999972083605826e-06
31,1,2,repeat,False,1714930429.2220166,0.6194207500011544,921620,9315,0.648949291993631
32,1,3,repeat,False,1714930429.8439095,0.6776182499961578,921620,9315,1.2709147919958923
33,1,4,blank,False,1714930430.5241125,0.3386169590012287,921620,9315,1.9512269589977222
34,1,5,repeat,False,1714930430.8690424,0.6087267090042587,921620,9315,2.2940289179969113
35,1,6,blank,False,1714930431.4802895,0.2800989160023164,921620,9315,2.9072765429955325
36,1,7,repeat,False,1714930431.7641575,0.6342855830007466,921620,9315,3.190488000996993
37,1,8,blank,False,1714930432.4011123,0.35677283399854787,921620,9315,3.8280059179960517
38,1,9,repeat,False,1714930432.7623365,0.6431135000020731,921620,9315,4.188282126997365
39,1,10,repeat,False,1714930433.408152,0.6142861670014099,921620,9315,4.835073543996259
40,1,11,blank,False,1714930434.0250242,0.32090779199643293,921620,9315,5.45194979399821
41,1,12,blank,False,1714930434.3513577,0.3412742500004242,921620,9315,5.776871335998294
42,1,13,success,True,1714930434.6975598,0.6248971659952076,921620,9321,6.124299502997019
43,2,1,repeat,False,1714930435.326442,0.6750021670013666,921620,9321,3.1249946914613247e-06
44,2,2,repeat,False,1714930436.0040638,0.6803744580029161,921620,9321,0.6777121249979245
45,2,3,blank,False,1714930436.6868818,0.46727074999944307,921620,9321,1.360573250996822
46,2,4,repeat,False,1714930437.1607413,0.6591574589983793,921620,9321,1.8319681680004578
47,2,5,repeat,False,1714930437.8227882,0.6296715829957975,921620,9321,2.4963400429987814
48,2,6,repeat,False,1714930438.4548578,0.6475907509957324,921620,9321,3.1285765430002357
49,2,7,blank,False,1714930439.1052063,0.28318770800251514,921620,9321,3.7788136689996463
50,2,8,blank,False,1714930439.3930001,0.3226991249975981,921620,9321,4.065642584995658
51,2,9,blank,False,1714930439.7221396,0.2757711250014836,921620,9321,4.3934132939975825
52,2,10,success,True,1714930440.0044162,0.6254787090001628,921620,9312,4.675858501999755
53,3,1,repeat,False,1714930440.6339192,0.6344779580031172,921620,9312,2.9579969123005867e-06
54,3,2,blank,False,1714930441.2709112,0.3082729579982697,921620,9312,0.6370972919976339
55,3,3,blank,False,1714930441.585017,0.29949670800124295,921620,9312,0.949073124997085
56,3,4,repeat,False,1714930441.8883173,0.6000992909976048,921620,9312,1.2537591669970425
57,3,5,blank,False,1714930442.4907792,0.3556799170037266,921620,9312,1.857030917002703
58,3,6,blank,False,1714930442.8511333,0.36383904200192774,921620,9312,2.216259501001332
59,3,7,low_confidence,False,1714930443.2215545,0.6608932919989456,921620,9312,2.585377335002704
60,3,8,success,True,1714930443.8844516,0.6280090420041233,921620,9306,3.251221168000484
61,4,1,repeat,False,1714930444.516339,0.6231868760005455,921620,9306,3.0410010367631912e-06
62,4,2,repeat,False,1714930445.1424174,0.6332956250043935,921620,9306,0.626167374997749
63,4,3,repeat,False,1714930445.7780938,0.6133215840018238,921620,9306,1.261868333996972
64,4,4,repeat,False,1714930446.3941367,0.6867421250062762,921620,9306,1.8779092920012772
65,4,5,blank,False,1714930447.0835547,0.28460016600001836,921620,9306,2.5671859180001775
66,4,6,blank,False,1714930447.3765416,0.30545666700345464,921620,9306,2.856918167999538
67,4,7,repeat,False,1714930447.6905258,0.6123681250028312,921620,9306,3.1709421679988736
68,4,8,blank,False,1714930448.305528,0.30313283300347393,921620,9306,3.789283792997594
69,4,9,repeat,False,1714930448.6167364,0.6087401260010665,921620,9306,4.097760835000372
70,4,10,blank,False,1714930449.2279112,0.27524945799814304,921620,9306,4.711651459998393
71,4,11,blank,False,1714930449.511598,0.2546497079965775,921620,9306,4.992032251997443
72,4,12,blank,False,1714930449.7749343,0.3257714159990428,921620,9306,5.255033294000896
73,4,13,blank,False,1714930450.1090364,0.24764616699394537,921620,9306,5.589863002001948
74,4,14,repeat,False,1714930450.3647945,0.6416708340038895,921620,9306,5.84565904399642
75,4,15,blank,False,1714930451.00898,0.3101052089987206,921620,9306,6.492761294997763
76,4,16,blank,False,1714930451.327465,0.25097316699975636,921620,9306,6.807824878000247
77,4,17,blank,False,1714930451.5871112,0.24250820899760583,921620,9306,7.067433169999276
78,4,18,blank,False,1714930451.838399,0.2713292080006795,921620,9306,7.31875579500047
79,4,19,blank,False,1714930452.118161,0.3384542089988827,921620,9306,7.598595545001444
80,4,20,success,True,1714930452.4631023,0.6956293340044795,921620,9316,7.945755628999905
81,5,1,repeat,False,1714930453.1693738,0.6681156250051572,921620,9316,9.916999260894954e-06
82,5,2,blank,False,1714930453.8401973,0.30247266700462205,921620,9316,0.6734690839948598
83,5,3,blank,False,1714930454.1483877,0.312789541996608,921620,9316,0.9797090419961023
84,5,4,repeat,False,1714930454.4671545,0.6463406670009135,921620,9316,1.29852141799347
85,5,5,repeat,False,1714930455.1161609,0.6624032920008176,921620,9316,1.949478126000031
86,5,6,blank,False,1714930455.782037,0.31073125100374455,921620,9316,2.61508458499884
87,5,7,blank,False,1714930456.0990863,0.3071475000033388,921620,9316,2.930737792994478
88,5,8,blank,False,1714930456.4133296,0.28235345899884123,921620,9316,3.2440075849954155
89,5,9,success,True,1714930456.6997902,0.6746542920009233,921620,9320,3.5329695439941133
90,6,1,blank,False,1714930457.3779256,0.24241850000544218,921620,9320,3.083994670305401e-06
91,6,2,repeat,False,1714930457.628645,0.6269775009932346,921620,9320,0.24762691699288553
92,6,3,blank,False,1714930458.2583196,0.2233475829998497,921620,9320,0.8802191259965184
