seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1714920357.2166436,31119.268577041,1714920357.2943094,31119.346243916,0.0776668750004319,FrameResult.SUCCESS,0.0
2,1714920357.570938,31119.622870791,1714920357.645684,31119.697618583,0.0747477919976518,FrameResult.NO_CHANGE,0.0
3,1714920357.9380045,31119.98993725,1714920358.0086968,31120.060631542,0.0706942920005531,FrameResult.NO_CHANGE,0.0
4,1714920358.2987013,31120.350634542,1714920358.3061092,31120.358042625,0.007408083001791965,FrameResult.CV_ERROR,0.0
5,1714920358.5862489,31120.638178584,1714920358.5941873,31120.646121042,0.007942457999888575,FrameResult.CV_ERROR,0.0
6,1714920358.8503344,31120.902267625,1714920358.8584828,31120.910411542,0.008143917002598755,FrameResult.CV_ERROR,0.0
7,1714920359.1588392,31121.210772792,1714920359.1665735,31121.218506459,0.0077336670001386665,FrameResult.CV_ERROR,0.0
8,1714920359.4044964,31121.456429334,1714920359.4791846,31121.531119376,0.07469004199811025,FrameResult.NO_CHANGE,0.0
9,1714920359.7227712,31121.774703417,1714920359.7303596,31121.782293084,0.007589667002321221,FrameResult.CV_ERROR,0.0
10,1714920359.9529834,31122.004916376,1714920359.9603713,31122.012304584,0.007388207999611041,FrameResult.CV_ERROR,0.0
11,1714920360.2037556,31122.255683209,1714920360.2149658,31122.266898834,0.011215624999749707,FrameResult.CV_ERROR,0.0
12,1714920360.4629714,31122.514904293,1714920360.4708388,31122.522771626,0.007867333002650412,FrameResult.CV_ERROR,0.0
13,1714920360.7675145,31122.819446668,1714920360.7760525,31122.827985751,0.008539082999050152,FrameResult.CV_ERROR,0.0
14,1714920361.0807583,31123.132688501,1714920361.0883992,31123.14033171,0.007643209002708318,FrameResult.CV_ERROR,0.0
15,1714920361.3172483,31123.369182252,1714920361.3238919,31123.375825085,0.006642832999204984,FrameResult.CV_ERROR,0.0
16,1714920361.588713,31123.640645502,1714920361.5982282,31123.650160585,0.009515082998404978,FrameResult.CV_ERROR,0.0
17,1714920361.8738356,31123.925769544,1714920361.8787892,31123.930722835,0.004953291001584148,FrameResult.CV_ERROR,0.0
18,1714920362.1163974,31124.16833096,1714920362.4833143,31124.535248794,0.3669178339987411,FrameResult.SUCCESS,0.0
19,1714920362.752203,31124.804131461,1714920363.111216,31125.163150711,0.3590192499978002,FrameResult.NO_CHANGE,0.0
20,1714920363.3491638,31125.401096128,1714920363.7122931,31125.764227878,0.3631317500003206,FrameResult.NO_CHANGE,0.0
21,1714920363.9482477,31126.000180336,1714920364.0199072,31126.071841545,0.0716612090000126,FrameResult.JUNK_FRAME,0.0
