step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1714947626.0082412,58362.902092026,1714947629.221074,58366.114924985,58362.903296192,58362.903296192,3.2116287929966347,0.0,3.212832958997751,3.212832958997751,0.0012041660011163913,1
1,1714947629.221074,58366.114924985,1714947635.3745267,58372.268377613,58366.119365944,58371.481493196,0.7868844170006923,5.230947072835447,6.153452628001105,0.9225055551656585,0.13562113816442434,11
2,1714947635.3745267,58372.268377613,1714947642.056475,58378.950325908,58372.271062947,58378.080812241,0.8695136669994099,5.230947072835447,6.681948295001348,1.4510012221659014,0.5814875551659497,10
3,1714947642.0564752,58378.950325908,1714947648.495421,58385.38927162,58378.954151867,58384.614489244,0.7747823760000756,5.230947072835447,6.438945711997803,1.2079986391623567,0.43321626316173933,10
4,1714947648.4954207,58385.38927162,1714947655.0014873,58391.895338122,58385.392578286,58391.030895247,0.8644428749976214,5.230947072835447,6.5060665019991575,1.275119429163711,0.4106765541655477,9
5,1714947655.0014873,58391.895338122,1714947661.2656512,58398.159502125,58391.899157331,58397.360093792,0.7994083330049762,5.230947072835447,6.264164003005135,1.0332169301696883,0.23380859716417035,10
6,1714947661.2656512,58398.159502125,1714947667.5956347,58404.489485587,58398.162613,58403.707129211,0.7823563760030083,5.230947072835447,6.329983461997472,1.0990363891620252,0.31668001315847505,9
7,1714947667.5956347,58404.489485587,1714947674.0577922,58410.951643132,58404.492883712,58410.101921548,0.8497215840034187,5.230947072835447,6.462157545000082,1.2312104721646353,0.38148888816067483,11
8,1714947674.0577922,58410.951643132,1714947680.2746615,58417.168512593,58410.95492184,58416.249646801,0.9188657920021797,5.230947072835447,6.216869461000897,0.9859223881654504,0.06705659616272897,10
9,1714947680.2746618,58417.168512593,1714947686.3809319,58423.274782761,58417.17176851,58422.420660178,0.8541225829976611,5.230947072835447,6.106270167998446,0.8753230951629991,0.021200512164796237,9
10,1714947686.3809319,58423.274782761,1714947692.7636993,58429.657550223,58423.278541553,58428.795624222,0.861926000994572,5.230947072835447,6.382767461996991,1.1518203891615446,0.28989438816643087,9
11,1714947692.7636993,58429.657550223,1714947699.1695771,58436.063427976,58429.661147265,58435.226669976,0.8367579999976442,5.230947072835447,6.405877753000823,1.1749306801653763,0.33817268016719026,10
12,1714947699.1695771,58436.063427976,1714947705.6472845,58442.541135396,58436.066353726,58441.70710077,0.8340346260010847,5.230947072835447,6.477707420002844,1.2467603471673971,0.41272572116577066,9
