step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1715010622.5145037,92902.964500256,1715010627.804426,92908.254422467,92902.966274423,92902.966274423,5.288148043997353,0.0,5.289922210999066,5.289922210999066,0.0017741670017130673,1
1,1715010627.804426,92908.254422467,1715010636.0958385,92916.545835096,92908.258530259,92915.030914345,1.51492075099668,6.628336594836,8.291412628997932,1.6630760341619322,0.1481552831683075,8
2,1715010636.0958385,92916.545835096,1715010642.7398424,92923.189839016,92916.548483262,92921.976685182,1.2131538340036059,5.332223684703403,6.644003920009709,1.3117802353063057,0.09862640130450018,6
3,1715010642.7398424,92923.189839016,1715010649.6612713,92930.111267851,92923.193602641,92928.613652892,1.4976149589929264,5.286298385028456,6.921428834990365,1.6351304499619097,0.13751549096195959,5
4,1715010649.6612713,92930.111267851,1715010656.4249098,92936.87490623,92930.114820685,92935.551848187,1.3230580430099508,5.328685894581776,6.763638379008626,1.4349524844268498,0.11189444141928107,6
5,1715010656.4249096,92936.87490623,1715010663.11851,92943.568506649,92936.878695146,92942.210147774,1.35835887498979,5.302986147670193,6.693600418991991,1.3906142713217982,0.03225539633422159,6
6,1715010663.11851,92943.568506649,1715010670.3470726,92950.79706932,92943.572406358,92949.339841277,1.4572280430002138,4.872108390197091,7.228562671007239,2.356454280810148,0.8992262378160376,6
7,1715010670.3470728,92950.79706932,1715010677.4747508,92957.924747323,92950.800784861,92956.712327239,1.2124200840044068,5.434594945616177,7.1276780030020745,1.6930830573858975,0.48066297337936703,6
8,1715010677.4747508,92957.924747323,1715010685.1844475,92965.634444035,92957.928736864,92964.214595992,1.4198480429913616,5.336026840187929,7.709696711986908,2.3736698717989784,0.9538218288071221,6
9,1715010685.1844475,92965.634444035,1715010692.617137,92973.067133413,92965.638697118,92971.838972329,1.2281610840000212,5.437856538346086,7.432689378008945,1.994832839662859,0.7666717556567164,6
10,1715010692.617137,92973.067133413,1715010699.923712,92980.3737085,92973.070988871,92978.875193333,1.4985151669970946,5.375970854681937,7.306575087000965,1.9306042323190278,0.43208906531799585,6
11,1715010699.923712,92980.3737085,1715010706.680844,92987.130840544,92980.3779565,92985.966862253,1.1639782910060603,5.3670456604275865,6.757132044003811,1.3900863835762243,0.22610809256730136,6
12,1715010706.680844,92987.130840544,1715010714.3557944,92994.805790881,92987.134500002,92993.238284505,1.5675063759990735,5.297019260187681,7.674950336993788,2.3779310768061075,0.8104247008013772,7
13,1715010714.3557944,92994.805790881,1715010721.983493,93002.433489468,92994.809938006,93001.093349176,1.3401402920135297,5.438671861462929,7.627698587006307,2.1890267255433784,0.8488864335231483,6
14,1715010721.9834929,93002.433489468,1715010729.1378055,93009.587802138,93002.43763126,93008.089851471,1.49795066700608,5.40534712872309,7.154312669998035,1.748965541274945,0.2510148742730962,6
15,1715010729.1378057,93009.587802138,1715010735.8286874,93016.278683974,93009.591904721,93014.976518182,1.3021657920035068,5.343143590039968,6.690881835995242,1.3477382459552736,0.04557245394971687,6
16,1715010735.8286874,93016.278683974,1715010742.7430606,93023.19305706,93016.282585558,93021.813936851,1.37912020899239,5.291275141466997,6.914373085994157,1.62309794452716,0.24397773553209845,6
17,1715010742.7430606,93023.19305706,1715010749.377248,93029.827244564,93023.197429352,93028.50035073,1.326893834004295,4.835622909121905,6.634187504008878,1.7985645948869733,0.47167076088953763,6
18,1715010749.377248,93029.827244564,1715010756.0845437,93036.534540275,93029.831221314,93035.280854358,1.2536859169922536,4.802709795825318,6.7072957109921845,1.9045859151668667,0.6508999981742818,6
19,1715010756.0845437,93036.534540275,1715010762.4309669,93042.88096332,93036.538701317,93041.505708986,1.375254333994235,4.782074875245218,6.346423045004485,1.564348169759267,0.18909383576828986,5
20,1715010762.4309669,93042.88096332,1715010769.3592436,93049.809240156,93042.886293695,93048.327541988,1.4816981680050958,4.845842228822902,6.928276835998986,2.0824346071760838,0.6007364391698502,5
21,1715010769.3592436,93049.809240156,1715010777.196095,93057.646091576,93049.813129614,93056.298894034,1.3471975419961382,5.388720763197804,7.8368514199974015,2.4481306567995977,1.1009331148088677,6
22,1715010777.196095,93057.646091576,1715010784.16013,93064.61012658,93057.65006966,93063.336612204,1.2735143759928178,5.452580529460685,6.964035003999015,1.51145447453833,0.2379400985519169,5
23,1715010784.16013,93064.61012658,1715010791.2132666,93071.663263083,93064.613578413,93070.347593666,1.3156694170029368,5.312939636539027,7.0531365030037705,1.7401968664647436,0.42452744946058374,6
24,1715010791.2132666,93071.663263083,1715010797.996995,93078.446991377,93071.66670075,93077.083203835,1.363787541995407,5.342022667750328,6.783728294001776,1.4417056262514478,0.07791808425099589,6
25,1715010797.9969947,93078.446991377,1715010805.5133705,93085.963367089,93078.450881377,93084.580774755,1.3825923340045847,5.303875004950925,7.5163757120026276,2.212500707051703,0.8299083730526036,6
26,1715010805.5133705,93085.963367089,1715010812.775773,93093.225769676,93085.966866297,93091.898171675,1.3275980010075727,5.409199422066613,7.262402587002725,1.8532031649361125,0.5256051639298676,6
27,1715010812.775773,93093.225769676,1715010819.5197697,93099.969766179,93093.229429634,93098.777671179,1.192094999991241,5.356664460273191,6.743996502991649,1.387332042718458,0.19523704273160547,6
28,1715010819.5197697,93099.969766179,1715010826.8302276,93107.28022414,93099.973615762,93105.87583414,1.4043900000106078,5.296649178987739,7.310457961008069,2.0138087820203303,0.6094187820126535,6
29,1715010826.8302276,93107.28022414,1715010833.7466476,93114.19664406,93107.283410723,93112.970351976,1.2262920840003062,5.378671863926266,6.916419919987675,1.5377480560614085,0.3114559720561374,6
30,1715010833.7466476,93114.19664406,1715010840.9562674,93121.406263938,93114.200478435,93119.838417688,1.5678462499927264,5.316312400298264,7.209619878005469,1.8933074777072054,0.325461227708729,6
31,1715010840.9562674,93121.406263938,1715010848.0277133,93128.477709858,93121.41020598,93127.243090399,1.2346194589918014,5.361998348196231,7.071445919995313,1.7094475717990818,0.4748281128122471,6
32,1715010848.0277133,93128.477709858,1715010855.2983496,93135.748346195,93128.4809349,93134.294261944,1.4540842510032235,5.338105098200664,7.270636337008909,1.9325312388082452,0.4784469878068194,6
33,1715010855.2983496,93135.748346195,1715010861.8070917,93142.257088323,93135.752104154,93140.781650197,1.4754381259990623,4.776654822348206,6.508742127989535,1.732087305641329,0.25664917964604683,6
34,1715010861.8070917,93142.257088323,1715010867.913191,93148.363187617,93142.261393906,93147.097045533,1.2661420840013307,4.815482522579633,6.106099294003798,1.2906167714241645,0.024474687423207797,5
35,1715010867.913191,93148.363187617,1715010874.2610629,93154.71105937,93148.367209117,93153.288457078,1.4226022920047399,4.883660861333879,6.347871753008803,1.4642108916749246,0.041608599669416435,6
36,1715010874.2610629,93154.71105937,1715010880.7968283,93161.246824707,93154.71529137,93160.094576748,1.1522479590057628,4.861817101176633,6.535765337001067,1.673948235824434,0.5217002768185921,6
37,1715010880.7968283,93161.246824707,1715010886.7267964,93167.17679275,93161.251211665,93165.966586667,1.210206083007506,4.5868064058588836,5.929968042997643,1.3431616371387598,0.13295555413060356,5
