step_number,step_start,step_start_monotonic,step_end,step_end_monotonic,first_frame_monotonic,last_frame_monotonic,last_frame_rtt,execution_time,step_duration,time_to_feedback,wait_time,frame_count
0,1715012769.498515,95050.029786608,1715012775.1642287,95055.695500277,95050.03129215,95050.03129215,5.664208126996527,0.0,5.665713668990065,5.665713668990065,0.0015055419935379177,1
1,1715012775.1642287,95055.695500277,1715012783.3552635,95063.886534989,95055.698962694,95062.53415128,1.352383709003334,6.056665229832884,8.191034711999237,2.1343694821663526,0.7819857731665252,8
2,1715012783.3552632,95063.886534989,1715012790.7316446,95071.262916326,95063.891054198,95069.896662909,1.3662534169998253,5.2994308559197405,7.376381337002385,2.076950481082645,0.7106970640888903,6
3,1715012790.7316446,95071.262916326,1715012798.2269106,95078.758182246,95071.266593409,95077.386584871,1.3715973750076955,5.300166920983312,7.495265920006204,2.1950989990228926,0.8235016240214463,6
4,1715012798.2269106,95078.758182246,1715012804.8635778,95085.394849499,95078.762242205,95084.122462999,1.2723865000007208,5.298748176078526,6.63666725299845,1.337919076919924,0.06553257691848557,6
5,1715012804.8635778,95085.394849499,1715012812.1916585,95092.722930169,95085.398551291,95091.486831626,1.2360985429986613,5.290349149337396,7.328080669991323,2.037731520653927,0.8016329776583007,7
6,1715012812.1916585,95092.722930169,1715012818.9692342,95099.500505797,95092.726978335,95098.238298713,1.2622070840006927,5.300688194617996,6.7775756280025234,1.4768874333845279,0.21468034938152414,6
7,1715012818.969234,95099.500505797,1715012826.9393442,95107.470616009,95099.504248839,95105.868875175,1.60174083399761,5.2978790112422125,7.9701102120016,2.672231200759388,1.0704903667647159,7
8,1715012826.9393444,95107.470616009,1715012834.6955152,95115.226786679,95107.474159217,95113.697404512,1.5293821670056786,5.3050332612896565,7.756170670007123,2.451137408717466,0.9217552417103434,6
9,1715012834.695515,95115.226786679,1715012841.3475451,95121.878816932,95115.230690054,95120.649587681,1.2292292510101106,5.2985863527072095,6.652030252997065,1.3534439002898555,0.12421464927319903,6
10,1715012841.3475451,95121.878816932,1715012848.4775758,95129.008847477,95121.881974515,95127.599975143,1.4088723339955322,5.291395587143585,7.13003054499859,1.838634957855005,0.4297626238549128,6
11,1715012848.4775758,95129.008847477,1715012855.1438751,95135.675146772,95129.012496477,95134.375773688,1.299373083995306,5.302811145891148,6.666299295000499,1.363488149109351,0.06411506512085907,6
12,1715012855.1438751,95135.675146772,1715012862.0227973,95142.554069067,95135.67850248,95141.334202275,1.2198667920019943,5.292043539743611,6.8789222949999385,1.5868787552563273,0.36701196325884666,6
13,1715012862.0227973,95142.554069067,1715012869.0942934,95149.625565028,95142.558234983,95148.408841277,1.216723751000245,5.301250166635702,7.071495961004985,1.7702457943692824,0.5535220433666836,6
14,1715012869.0942934,95149.625565028,1715012875.3435607,95155.874832323,95149.629556403,95154.416415655,1.4584166679996997,4.576619077457714,6.249267294988385,1.6726482175306714,0.21423154952935874,5
15,1715012875.3435607,95155.874832323,1715012881.2433786,95161.774650367,95155.879126281,95160.550471241,1.2241791260021273,4.590675646443485,5.899818044010317,1.3091423975668324,0.08496327156899497,5
16,1715012881.2433786,95161.774650367,1715012888.0864663,95168.617737995,95161.777993784,95167.29169937,1.326038624989451,4.6251464943465885,6.843087627989007,2.2179411336424186,0.8919025086506736,6
17,1715012888.0864663,95168.617737995,1715012895.0176861,95175.54895779,95168.621314079,95174.232686623,1.316271167001105,5.298531378784492,6.931219795005745,1.632688416221253,0.31641724922519643,6
18,1715012895.0176861,95175.54895779,1715012902.4399352,95182.97120696,95175.552596374,95181.563167876,1.4080390840099426,5.3020927253018115,7.422249170005671,2.1201564447038592,0.712117360701086,6
19,1715012902.4399352,95182.97120696,1715012909.73547,95190.26674188,95182.974744335,95188.859916463,1.40682541699789,5.29960733110384,7.2955349199910415,1.9959275888872012,0.5891021718853153,6
20,1715012909.73547,95190.26674188,1715012916.4925222,95197.023794175,95190.270635463,95195.642810841,1.3809833339910256,5.301235140351116,6.757052294997266,1.4558171546461498,0.07483382066129707,6
21,1715012916.4925225,95197.023794175,1715012923.641719,95204.172990845,95197.027671925,95202.733865219,1.439125626013265,5.29698969231336,7.149196670012316,1.8522069776989554,0.4130813516821945,6
22,1715012923.641719,95204.172990845,1715012930.39117,95210.922441723,95204.176637553,95209.484133847,1.4383078760001808,5.302724653692225,6.7494508779927855,1.4467262243005603,0.0084183482977096,6
23,1715012930.39117,95210.922441723,1715012937.7282536,95218.259525185,95210.926279556,95216.978332309,1.2811928760056617,5.296579740456548,7.33708346200001,2.0405037215434616,0.7593108455330366,6
24,1715012937.7282534,95218.259525185,1715012945.0282397,95225.55951148,95218.263106726,95224.095810146,1.4637013339961413,5.300651364992346,7.299986294994596,1.9993349300022505,0.5356335960095748,6
25,1715012945.0282397,95225.55951148,1715012952.198516,95232.729787608,95225.56364173,95231.498534899,1.2312527089961804,5.3011914420503095,7.1702761280030245,1.869084685952715,0.6378319769573864,6
26,1715012952.198516,95232.729787608,1715012959.2561004,95239.787372111,95232.733560275,95238.482573402,1.3047987089958042,5.302600546592942,7.057584502996178,1.754983956403236,0.4501852474058978,6
27,1715012959.2561004,95239.787372111,1715012966.6366048,95247.167876448,95239.791403361,95245.848810905,1.319065543008037,5.303032423695873,7.38050433700846,2.0774719133125874,0.7584063703106949,6
28,1715012966.6366048,95247.167876448,1715012973.502308,95254.033579493,95247.171743906,95252.810819034,1.2227604590007104,4.526195837600108,6.865703044997645,2.3395072073975367,1.1167467483901419,6
29,1715012973.502308,95254.033579493,1715012980.4418576,95260.973129246,95254.037454451,95259.48781462,1.4853146259993082,4.483169427260895,6.939549753005849,2.456380325744954,0.9710656997485785,6
