seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1715012027.344324,5.589756795001449,921620,4705,0.0
2,0,1,repeat,False,1715012032.9615703,0.9046368749986868,921620,4705,4.274999082554132e-05
3,0,2,repeat,False,1715012033.8759093,1.3224725420004688,921620,4705,0.9309934170014458
4,0,3,repeat,False,1715012035.2124603,1.083315791998757,921620,4705,2.265082001002156
5,0,4,repeat,False,1715012036.3047233,1.2325150839897105,921620,4705,3.3594847100030165
6,0,5,blank,False,1715012037.5509505,1.0891704590030713,921620,4705,4.60350500200002
7,0,6,success,True,1715012038.6491892,1.290907458998845,921620,9315,5.705234961002134
8,1,1,repeat,False,1715012039.957325,1.1676232919999165,921620,9315,5.479200626723468e-05
9,1,2,repeat,False,1715012041.1348622,1.2992090839979937,921620,9315,1.1798783340054797
10,1,3,blank,False,1715012042.4498553,1.026805624991539,921620,9315,2.4884804600005737
11,1,4,repeat,False,1715012043.4862022,1.21766262500023,921620,9315,3.5315192520065466
12,1,5,blank,False,1715012044.7134929,1.0378681260044686,921620,9315,4.758218128001317
13,1,6,success,True,1715012045.7612686,1.443710709005245,921620,9321,5.805850253003882
14,2,1,repeat,False,1715012047.217365,1.1646106669941219,921620,9321,9.99998883344233e-06
15,2,2,blank,False,1715012048.3938475,1.238790584000526,921620,9321,1.1727399169903947
16,2,3,blank,False,1715012049.6412144,0.8607367499935208,921620,9321,2.4236268349923193
17,2,4,repeat,False,1715012050.5208764,1.276508749986533,921620,9321,3.2940785019891337
18,2,5,blank,False,1715012051.8082325,1.022462376000476,921620,9321,4.5884388359991135
19,2,6,success,True,1715012052.8380437,1.3259674589935457,921620,9312,5.620721127997967
20,3,1,repeat,False,1715012054.177507,1.3305002499982947,921620,9312,1.1916999937966466e-05
21,3,2,blank,False,1715012055.5208812,0.9890248750016326,921620,9312,1.3404881260066759
22,3,3,repeat,False,1715012056.5190847,1.4461277079972206,921620,9312,2.342026418002206
23,3,4,blank,False,1715012057.9752438,1.1814421669987496,921620,9312,3.798597126005916
24,3,5,blank,False,1715012059.1661582,1.064736083993921,921620,9312,4.989465835009469
25,3,6,success,True,1715012060.2392027,1.3264153339987388,921620,9306,6.062632585002575
26,4,1,low_confidence,False,1715012061.581266,1.3328178749943618,921620,9306,1.6875012079253793e-05
27,4,2,repeat,False,1715012062.922178,1.317856584006222,921620,9306,1.3447872500109952
28,4,3,repeat,False,1715012064.2484498,1.4511452930019004,921620,9306,2.670702126008109
29,4,4,blank,False,1715012065.7120602,1.0688070010073716,921620,9306,4.130689377008821
30,4,5,blank,False,1715012066.7906165,0.8896987089974573,921620,9306,5.212440919000073
31,4,6,success,True,1715012067.6879618,1.386050750996219,921620,9326,6.110179544004495
32,5,1,repeat,False,1715012069.0834656,1.1811610010045115,921620,9326,2.3958011297509074e-05
33,5,2,blank,False,1715012070.2762873,1.0236587090039393,921620,9326,1.1896016670070821
34,5,3,repeat,False,1715012071.3095245,1.2818392509943806,921620,9326,2.2256628760078456
35,5,4,blank,False,1715012072.6004655,1.1304141260043252,921620,9326,3.5161711270047817
36,5,5,repeat,False,1715012073.7399588,1.479011625997373,921620,9326,4.655720002003363
37,5,6,success,True,1715012075.2288477,1.4535194169875467,921620,9320,6.143691920005949
38,6,1,blank,False,1715012076.698761,0.8867172080063028,921620,9320,9.249997674487531e-06
39,6,2,repeat,False,1715012077.5943923,1.3408930000005057,921620,9320,0.8991756249888567
40,6,3,blank,False,1715012078.9445238,1.0811820420058211,921620,9320,2.2486729589872994
41,6,4,blank,False,1715012080.0336714,0.8839501670008758,921620,9320,3.3378300850017695
42,6,5,repeat,False,1715012080.9265213,1.3524649589962792,921620,9320,4.2309013349877205
43,6,6,success,True,1715012082.2892072,1.3313843340001768,921620,9319,5.591989002001355
44,7,1,repeat,False,1715012083.6327736,1.4424003760068445,921620,9319,2.254200808238238e-05
45,7,2,repeat,False,1715012085.0833685,1.3047105000005104,921620,9319,1.4508599170076195
46,7,3,blank,False,1715012086.4106305,1.0462884989974555,921620,9319,2.7640850850002607
47,7,4,repeat,False,1715012087.4659479,1.3349793759989552,921620,9319,3.832883542010677
48,7,5,blank,False,1715012088.809987,0.8644867089897161,921620,9319,5.1765850850060815
49,7,6,success,True,1715012089.684656,1.2417780419928022,921620,9311,6.050220627003
50,8,1,low_confidence,False,1715012090.9418786,1.3871376250026515,921620,9311,1.2999997125007212e-05
51,8,2,repeat,False,1715012092.3380616,1.1963344999967376,921620,9311,1.399288668006193
52,8,3,blank,False,1715012093.5463436,0.862982500999351,921620,9311,2.604214627004694
53,8,4,blank,False,1715012094.4182975,1.138839042003383,921620,9311,3.479333752009552
54,8,5,blank,False,1715012095.5659914,0.9149392920080572,921620,9311,4.627257294006995
55,8,6,success,True,1715012096.490825,1.5112088750029216,921620,9321,5.55083921100595
56,9,1,blank,False,1715012098.017144,1.0163389170047594,921620,9321,8.834002073854208e-06
57,9,2,blank,False,1715012099.0439456,0.9127628760033986,921620,9321,1.0281136260018684
58,9,3,repeat,False,1715012099.966301,1.3583526680013165,921620,9321,1.9523862509959145
59,9,4,blank,False,1715012101.3349164,0.8295639169955393,921620,9321,3.320150626997929
60,9,5,blank,False,1715012102.1749406,0.8948865420097718,921620,9321,4.15973937700619
61,9,6,blank,False,1715012103.0788038,0.9753266259940574,921620,9321,5.064676711001084
62,9,7,success,True,1715012104.0683804,1.228678209008649,921620,13930,6.052035461005289
63,10,1,repeat,False,1715012105.3077083,1.2268118339998182,921620,13930,7.582988473586738e-06
64,10,2,blank,False,1715012106.5470078,0.8992022919992451,921620,13930,1.23529608399258
65,10,3,blank,False,1715012107.4570303,1.122864834003849,921620,13930,2.14872258399555
66,10,4,blank,False,1715012108.5892951,0.8071628759935265,921620,13930,3.2808042929973453
67,10,5,repeat,False,1715012109.4052584,1.2591100010031369,921620,13930,4.097063459994388
68,10,6,success,True,1715012110.6748064,1.4702746260009008,921620,13929,5.365452501995605
69,11,1,repeat,False,1715012112.1568997,1.277526208999916,921620,13929,9.791008778847754e-06
70,11,2,blank,False,1715012113.4468381,0.8989317500090692,921620,13929,1.2859221670078114
71,11,3,blank,False,1715012114.3549335,0.8701972089911578,921620,13929,2.1976384169975063
72,11,4,repeat,False,1715012115.236411,1.3255971670005238,921620,13929,3.0772024590114597
73,11,5,blank,False,1715012116.5708668,1.2019422079902142,921620,13929,4.413772293002694
74,11,6,success,True,1715012117.78586,1.2384160839865217,921620,13920,5.6243228770035785
75,12,1,low_confidence,False,1715012119.0410979,1.2961709590017563,921620,13920,1.0332994861528277e-05
76,12,2,blank,False,1715012120.348485,1.1034694999980275,921620,13920,1.3086248339968733
77,12,3,blank,False,1715012121.4609342,1.2914124170056311,921620,13920,2.42395412598853
78,12,4,repeat,False,1715012122.7613637,1.2310253759933403,921620,13920,3.7247105009882944
79,12,5,blank,False,1715012124.001411,1.3236984590039356,921620,13920,4.964434169000015
80,12,6,success,True,1715012125.3356729,1.3251969589910004,921620,13915,6.297548710994306
81,13,1,repeat,False,1715012126.6732845,1.2496341670048423,921620,13915,7.458991603925824e-06
82,13,2,blank,False,1715012127.9357693,0.8731192089908291,921620,13915,1.258231291998527
83,13,3,blank,False,1715012128.8177571,1.2452622920100112,921620,13915,2.1442722100036917
84,13,4,blank,False,1715012130.072015,0.8213170419912785,921620,13915,3.398814626998501
85,13,5,blank,False,1715012130.9027543,0.9591187920013908,921620,13915,4.228842376993271
86,13,6,blank,False,1715012131.871501,0.9109765000030166,921620,13915,5.197846544004278
87,13,7,success,True,1715012132.7960527,1.2518015840032604,921620,9307,6.12242671099375
88,14,1,repeat,False,1715012134.0606318,1.3294889589888044,921620,9307,8.040995453484356e-06
89,14,2,blank,False,1715012135.4027011,0.8422923339967383,921620,9307,1.3380967499979306
90,14,3,repeat,False,1715012136.2546258,1.4790292090037838,921620,9307,2.193614000992966
91,14,4,blank,False,1715012137.7428544,1.0296315010054968,921620,9307,3.6820331259950763
92,14,5,blank,False,1715012138.7813983,0.8684619589912472,921620,9307,4.720648335001897
93,14,6,success,True,1715012139.6600578,1.2246822089946363,921620,9310,5.597776918992167
94,15,1,repeat,False,1715012140.8957078,1.2329587919957703,921620,9310,8.083006832748652e-06
95,15,2,blank,False,1715012142.14137,1.1451259589957772,921620,9310,1.2416728759999387
96,15,3,blank,False,1715012143.2960598,0.9538549169956241,921620,9310,2.3996707089972915
97,15,4,blank,False,1715012144.2588906,1.0585902919992805,921620,9310,3.3626194600074086
98,15,5,blank,False,1715012145.3320448,1.0523214590066345,921620,9310,4.43587800199748
99,15,6,success,True,1715012146.394804,1.3521392090042355,921620,9307,5.496933002999867
100,16,1,repeat,False,1715012147.7622015,1.258769667998422,921620,9307,1.1209005606360734e-05
101,16,2,blank,False,1715012149.0360668,0.8665363340114709,921620,9307,1.2702260009973543
102,16,3,blank,False,1715012149.9119549,0.9226770840032259,921620,9307,2.1521825849922607
103,16,4,blank,False,1715012150.8445976,0.964380750010605,921620,9307,3.0846287099993788
104,16,5,blank,False,1715012151.818826,0.8925374999962514,921620,9307,4.0582770019973395
105,16,6,blank,False,1715012152.7204554,1.058260749996407,921620,9307,4.960986794001656
106,16,7,success,True,1715012153.7889302,1.441094459994929,921620,9326,6.027971628005616
107,17,1,repeat,False,1715012155.2421436,1.452174959005788,921620,9326,1.1916999937966466e-05
108,17,2,repeat,False,1715012156.7032216,1.3770691670069937,921620,9326,1.4609524179977598
109,17,3,blank,False,1715012158.089725,0.8604837510065408,921620,9326,2.8459289180027554
110,17,4,blank,False,1715012158.9596612,0.8970280840003397,921620,9326,3.7173155850032344
111,17,5,blank,False,1715012159.866354,1.0058224170061294,921620,9326,4.623740002003615
112,17,6,success,True,1715012160.882812,1.2272501250117784,921620,9318,5.638601170008769
113,18,1,repeat,False,1715012162.1218812,1.2979777510045096,921620,9318,1.087499549612403e-05
114,18,2,blank,False,1715012163.4329996,1.1530117500078632,921620,9318,1.306504166990635
115,18,3,repeat,False,1715012164.5952623,1.281675667007221,921620,9318,2.472905542992521
116,18,4,blank,False,1715012165.8857136,1.19100104199606,921620,9318,3.7633827940007905
117,18,5,blank,False,1715012167.0832438,1.154966793008498,921620,9318,4.9615517939964775
118,18,6,success,True,1715012168.2490046,1.2303857510123635,921620,9309,6.125437419992522
119,19,1,repeat,False,1715012169.4917653,1.2695455840002978,921620,9309,1.924998650792986e-05
120,19,2,repeat,False,1715012170.7701774,1.4509760420041857,921620,9309,1.277691708994098
121,19,3,blank,False,1715012172.2338386,1.146167584010982,921620,9309,2.7379575009981636
122,19,4,blank,False,1715012173.3889236,0.9912297920091078,921620,9309,3.896742835000623
123,19,5,blank,False,1715012174.390042,1.0703714169940213,921620,9309,4.898055293990183
124,19,6,success,True,1715012175.4713311,1.3150022089976119,921620,9306,5.977340085999458
125,20,1,repeat,False,1715012176.798496,1.1662104990100488,921620,9306,8.916991646401584e-06
126,20,2,repeat,False,1715012177.9735172,1.4929330430022674,921620,9306,1.1746045829931973
127,20,3,repeat,False,1715012179.4751444,1.339553750003688,921620,9306,2.6763307499932125
128,20,4,blank,False,1715012180.8268538,0.9528449170029489,921620,9306,4.024343208991922
129,20,5,blank,False,1715012181.788428,0.8784245419956278,921620,9306,4.989661501997034
130,20,6,success,True,1715012182.6772935,1.2427341680013342,921620,9316,5.876735418991302
131,21,1,low_confidence,False,1715012183.9359114,1.2051655420073075,921620,9316,8.083006832748652e-06
132,21,2,blank,False,1715012185.1544728,0.9102768339944305,921620,9316,1.21798125001078
133,21,3,blank,False,1715012186.073753,0.8811601250054082,921620,9316,2.140701126001659
134,21,4,blank,False,1715012186.9637277,0.9981813749909634,921620,9316,3.030929251006455
135,21,5,blank,False,1715012187.970679,0.8701131670095492,921620,9316,4.037976293009706
136,21,6,blank,False,1715012188.8497927,1.0183530420035822,921620,9316,4.917189084997517
137,21,7,success,True,1715012189.8750286,1.4500282929948298,921620,9307,5.944045586002176
138,22,1,repeat,False,1715012191.3372061,1.4584681679989444,921620,9307,7.499998901039362e-06
139,22,2,repeat,False,1715012192.8039715,1.2044513340078993,921620,9307,1.4668095420056488
140,22,3,blank,False,1715012194.0209208,0.8741008749930188,921620,9307,2.679703250993043
141,22,4,repeat,False,1715012194.9054062,1.4376367930090055,921620,9307,3.5678134600020712
142,22,5,blank,False,1715012196.35228,1.1124816679948708,921620,9307,5.014151461000438
143,22,6,success,True,1715012197.470682,1.6244070420070784,921620,9314,6.1355978780047735
144,23,1,repeat,False,1715012199.1076474,1.216319293002016,921620,9314,1.6291000065393746e-05
145,23,2,blank,False,1715012200.3327157,0.927720583989867,921620,9314,1.22458291699877
146,23,3,repeat,False,1715012201.269236,1.1630790839990368,921620,9314,2.1610013760073343
147,23,4,blank,False,1715012202.4410162,0.9359825839928817,921620,9314,3.333190043005743
148,23,5,blank,False,1715012203.3860686,1.1843280419998337,921620,9314,4.277826668010675
149,23,6,success,True,1715012204.5752964,1.1961735419899924,921620,9320,5.4703062110056635
150,24,1,repeat,False,1715012205.7866025,1.3814278750069207,921620,9320,3.245800326112658e-05
151,24,2,blank,False,1715012207.177115,1.025146041996777,921620,9320,1.3928441669995664
152,24,3,repeat,False,1715012208.2110903,1.3448434169986285,921620,9320,2.4267067500040866
153,24,4,repeat,False,1715012209.5649278,1.2827368750004098,921620,9320,3.7802047089935513
154,24,5,blank,False,1715012210.8561864,0.9461347090109484,921620,9320,5.0721377930021845
155,24,6,success,True,1715012211.8096266,1.2385657510021701,921620,9311,6.027667293994455
156,25,1,repeat,False,1715012213.0607834,1.2130364589975215,921620,9311,8.000002708286047e-06
157,25,2,blank,False,1715012214.2828186,1.1953258760040626,921620,9311,1.2222861670015845
158,25,3,blank,False,1715012215.4887457,1.0399940829956904,921620,9311,2.4262670839962084
159,25,4,blank,False,1715012216.5377347,1.0652803339908132,921620,9311,3.476644292997662
160,25,5,blank,False,1715012217.6117797,1.1249094590020832,921620,9311,4.550771584996255
161,25,6,success,True,1715012218.7427049,1.3352014999982202,921620,9321,5.684428377993754
162,26,1,repeat,False,1715012220.092292,1.3203478340001311,921620,9321,9.167008101940155e-06
163,26,2,blank,False,1715012221.421979,1.005102376002469,921620,9321,1.3300545009988127
164,26,3,repeat,False,1715012222.436937,1.373850499992841,921620,9321,2.344660043003387
165,26,4,blank,False,1715012223.8269248,1.2165589590003947,921620,9321,3.7286747519974597
166,26,5,blank,False,1715012225.0492647,1.1371281669999007,921620,9321,4.958379211006104
167,26,6,success,True,1715012226.1930623,1.2304410840006312,921620,9311,6.103233253001235
168,27,1,repeat,False,1715012227.4517567,1.3127355009928579,921620,9311,4.0000013541430235e-06
169,27,2,blank,False,1715012228.773944,0.8940632510057185,921620,9311,1.3188192920060828
170,27,3,repeat,False,1715012229.67695,1.1684535840031458,921620,9311,2.2221042510063853
171,27,4,blank,False,1715012230.8552182,0.839046209002845,921620,9311,3.400303543006885
172,27,5,repeat,False,1715012231.702705,1.1898051259922795,921620,9311,4.2485889600066
173,27,6,success,True,1715012232.8998075,1.2072437509923475,921620,9306,5.447122961006244
174,28,1,repeat,False,1715012234.1201074,1.3330999170138966,921620,9306,1.8874998204410076e-05
175,28,2,repeat,False,1715012235.4650583,1.2030607929918915,921620,9306,1.345052292002947
176,28,3,repeat,False,1715012236.6787436,1.4873779170011403,921620,9306,2.5578722929931246
177,28,4,blank,False,1715012238.1761792,1.188888083997881,921620,9306,4.0561625019909116
178,28,5,success,True,1715012239.3727639,1.2372335010004463,921620,9313,5.254565251991153
179,29,1,repeat,False,1715012240.6231005,1.4498767089971807,921620,9313,2.9666000045835972e-05
180,29,2,repeat,False,1715012242.081845,1.450647042991477,921620,9313,1.4584840840107063
181,29,3,repeat,False,1715012243.5409718,1.208408334001433,921620,9313,2.918005876010284
182,29,4,blank,False,1715012244.7588603,0.9974352919962257,921620,9313,4.1346157520019915
183,29,5,blank,False,1715012245.7648852,0.90848716700566,921620,9313,5.141626085009193
184,29,6,success,True,1715012246.6801374,1.4437079170020297,921620,9320,6.05858208599966
185,30,1,repeat,False,1715012248.1358635,1.4125115430069854,921620,9320,1.2415999663062394e-05
186,30,2,blank,False,1715012249.5575886,0.9503948750061681,921620,9320,1.420633750007255
187,30,3,repeat,False,1715012250.5165179,1.2569696249993285,921620,9320,2.380322751007043
188,30,4,blank,False,1715012251.7821324,1.1919560840033228,921620,9320,3.645756876008818
189,30,5,repeat,False,1715012252.983161,1.388826333990437,921620,9320,4.847132835013326
190,30,6,success,True,1715012254.3801463,1.4187290419940837,921620,13923,6.245343461006996
191,31,1,blank,False,1715012255.8077433,1.5170184169983258,921620,13923,6.499991286545992e-06
192,31,2,repeat,False,1715012257.3337479,1.324376584001584,921620,13923,1.5244936259987298
193,31,3,repeat,False,1715012258.666708,1.2093274999933783,921620,13923,2.8576120020006783
