seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1714891833.3254158,17806.79052161,1714891833.3995228,17806.864629901,0.07410829099899274,FrameResult.SUCCESS,0.0
2,1714891833.5560534,17807.021159485,1714891833.6265814,17807.091688818,0.07052933299928554,FrameResult.NO_CHANGE,0.0
3,1714891833.769227,17807.234333068,1714891833.838523,17807.30363036,0.06929729199691792,FrameResult.NO_CHANGE,0.0
4,1714891833.995562,17807.460668027,1714891834.0647058,17807.529812777,0.06914474999939557,FrameResult.NO_CHANGE,0.0
5,1714891834.1784577,17807.643564902,1714891834.2346473,17807.69975461,0.05618970800060197,FrameResult.NO_CHANGE,0.0
6,1714891834.3599398,17807.82504536,1714891834.3648179,17807.829924985,0.004879624997556675,FrameResult.CV_ERROR,0.0
7,1714891834.5211546,17807.986259777,1714891834.5926445,17808.057751444,0.07149166700037313,FrameResult.NO_CHANGE,0.0
8,1714891834.7212012,17808.186307027,1714891834.7263422,17808.191448194,0.005141166999237612,FrameResult.CV_ERROR,0.0
9,1714891834.869051,17808.334156944,1714891834.8771524,17808.342258944,0.008101999999780674,FrameResult.CV_ERROR,0.0
10,1714891835.0091505,17808.474256069,1714891835.0805893,17808.545696486,0.07144041699939407,FrameResult.NO_CHANGE,0.0
11,1714891835.2385573,17808.703663402,1714891835.245974,17808.711080319,0.007416917000227841,FrameResult.CV_ERROR,0.0
12,1714891835.3891044,17808.854209902,1714891835.4607272,17808.925834361,0.07162445900030434,FrameResult.NO_CHANGE,0.0
13,1714891835.5849626,17809.050069236,1714891835.590215,17809.055321944,0.0052527080006257165,FrameResult.CV_ERROR,0.0
14,1714891835.7671952,17809.232301444,1714891835.8391466,17809.304253736,0.07195229200078757,FrameResult.NO_CHANGE,0.0
15,1714891835.9765007,17809.441607028,1714891835.982543,17809.447649153,0.006042125001840759,FrameResult.CV_ERROR,0.0
16,1714891836.1196787,17809.584780153,1714891836.1918192,17809.656926694,0.07214654099880136,FrameResult.NO_CHANGE,0.0
17,1714891836.330341,17809.795447403,1714891836.3369522,17809.802056861,0.006609457999729784,FrameResult.CV_ERROR,0.0
18,1714891836.484253,17809.949355278,1714891836.4924002,17809.957506653,0.008151375001034467,FrameResult.CV_ERROR,0.0
19,1714891836.6179807,17810.08308282,1714891836.6914806,17810.156587778,0.07350495799983037,FrameResult.NO_CHANGE,0.0
20,1714891836.8011708,17810.266278153,1714891836.8110018,17810.276108903,0.009830749997490784,FrameResult.CV_ERROR,0.0
21,1714891836.950856,17810.415962236,1714891837.0224237,17810.487531611,0.07156937500258209,FrameResult.NO_CHANGE,0.0
22,1714891837.1345367,17810.59964307,1714891837.1394136,17810.604520278,0.0048772080008347984,FrameResult.CV_ERROR,0.0
23,1714891837.2991571,17810.76426332,1714891837.3070693,17810.772175903,0.007912582997960271,FrameResult.CV_ERROR,0.0
24,1714891837.4670687,17810.932174195,1714891837.475316,17810.940422112,0.008247916997788707,FrameResult.CV_ERROR,0.0
25,1714891837.5943482,17811.059454362,1714891837.6018786,17811.066985362,0.007530999999289634,FrameResult.CV_ERROR,0.0
26,1714891837.7375395,17811.202644945,1714891837.8086426,17811.273750029,0.07110508400000981,FrameResult.NO_CHANGE,0.0
27,1714891837.933459,17811.398564987,1714891837.9426122,17811.40771957,0.009154583000054117,FrameResult.CV_ERROR,0.0
28,1714891838.0581408,17811.523246445,1714891838.1306062,17811.595713612,0.07246716700319666,FrameResult.NO_CHANGE,0.0
29,1714891838.249535,17811.714640904,1714891838.2544038,17811.719510987,0.004870083001151215,FrameResult.CV_ERROR,0.0
