seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1714892080.2174096,18053.689116181,1714892080.2915058,18053.763214306,0.0740981249982724,FrameResult.SUCCESS,0.0
2,1714892080.429051,18053.900758306,1714892080.4334393,18053.905147181,0.0043888750005862676,FrameResult.CV_ERROR,0.0
3,1714892080.5766392,18054.048346514,1714892080.6497912,18054.121499389,0.0731528750002326,FrameResult.NO_CHANGE,0.0
4,1714892080.8004022,18054.272105723,1714892080.806482,18054.278189598,0.006083874999603722,FrameResult.CV_ERROR,0.0
5,1714892080.9357622,18054.407469056,1714892081.0106268,18054.482335264,0.07486620800045785,FrameResult.NO_CHANGE,0.0
6,1714892081.1649647,18054.636671056,1714892081.1722066,18054.643914056,0.007243000000016764,FrameResult.CV_ERROR,0.0
7,1714892081.2975762,18054.769283056,1714892081.3720179,18054.843726015,0.07444295899767894,FrameResult.NO_CHANGE,0.0
8,1714892081.4888306,18054.960538306,1714892081.4982567,18054.969964931,0.009426624998013722,FrameResult.CV_ERROR,0.0
9,1714892081.6402109,18055.111918306,1714892082.0258825,18055.497590932,0.3856726259982679,FrameResult.LOW_CONFIDENCE,0.0
10,1714892082.177752,18055.649460223,1714892082.2319574,18055.703666015,0.054205791999265784,FrameResult.NO_CHANGE,0.0
11,1714892082.3605187,18055.83222689,1714892082.3688872,18055.840595223,0.008368332997633843,FrameResult.CV_ERROR,0.0
12,1714892082.51565,18055.987352973,1714892082.5894387,18056.061147098,0.07379412500085891,FrameResult.NO_CHANGE,0.0
13,1714892082.724487,18056.196194807,1714892082.7868629,18056.258571474,0.06237666700326372,FrameResult.NO_CHANGE,0.0
14,1714892082.9034867,18056.37519439,1714892082.9130685,18056.38477714,0.009582750000845408,FrameResult.CV_ERROR,0.0
15,1714892083.0312188,18056.502926057,1714892083.0388508,18056.510558015,0.007631958000274608,FrameResult.CV_ERROR,0.0
16,1714892083.1557443,18056.627451724,1714892083.2275662,18056.69927464,0.07182291599747259,FrameResult.NO_CHANGE,0.0
17,1714892083.367079,18056.838786182,1714892083.372725,18056.84443264,0.005646457997499965,FrameResult.CV_ERROR,0.0
18,1714892083.5153894,18056.987096724,1714892083.5855806,18057.057288599,0.07019187500191038,FrameResult.NO_CHANGE,0.0
19,1714892083.7055488,18057.177256057,1714892083.7103415,18057.182049349,0.004793292002432281,FrameResult.CV_ERROR,0.0
20,1714892083.8656092,18057.337316641,1714892083.8736105,18057.345317766,0.008001125002920162,FrameResult.CV_ERROR,0.0
21,1714892084.009344,18057.481050891,1714892084.0175579,18057.489265516,0.00821462499879999,FrameResult.CV_ERROR,0.0
22,1714892084.172035,18057.643742724,1714892084.178241,18057.649949391,0.006206666999787558,FrameResult.CV_ERROR,0.0
23,1714892084.322094,18057.793800683,1714892084.394797,18057.866505141,0.07270445799804293,FrameResult.NO_CHANGE,0.0
24,1714892084.5624242,18058.034130974,1714892084.6365256,18058.108234224,0.07410325000091689,FrameResult.NO_CHANGE,0.0
25,1714892084.780433,18058.252139933,1714892084.7861643,18058.257871891,0.005731958000978921,FrameResult.CV_ERROR,0.0
26,1714892084.9300492,18058.401756058,1714892085.00266,18058.474368475,0.07261241699961829,FrameResult.NO_CHANGE,0.0
27,1714892085.1246996,18058.596406683,1714892085.1300426,18058.601749475,0.00534279200292076,FrameResult.CV_ERROR,0.0
28,1714892085.274179,18058.745885683,1714892085.2823946,18058.754101683,0.008215999998355983,FrameResult.CV_ERROR,0.0
29,1714892085.400767,18058.872473475,1714892085.4711616,18058.9428696,0.07039612500011572,FrameResult.NO_CHANGE,0.0
30,1714892085.608281,18059.079987183,1714892085.613721,18059.085428683,0.005441500001325039,FrameResult.CV_ERROR,0.0
31,1714892085.7324808,18059.204187183,1714892086.124154,18059.5958626,0.3916754169986234,FrameResult.SUCCESS,0.0
32,1714892086.2612193,18059.732927434,1714892086.622106,18060.093814684,0.3608872500008147,FrameResult.NO_CHANGE,0.0
33,1714892086.7581499,18060.2298581,1714892087.1191022,18060.590810601,0.36095250099970144,FrameResult.NO_CHANGE,0.0
34,1714892087.2392142,18060.710922559,1714892087.5966046,18061.068313143,0.3573905840021325,FrameResult.NO_CHANGE,0.0
35,1714892087.8247411,18061.296447393,1714892088.2120345,18061.683743101,0.38729570799841895,FrameResult.NO_CHANGE,0.0
36,1714892088.414426,18061.886133185,1714892088.4850223,18061.956730393,0.07059720800316427,FrameResult.JUNK_FRAME,0.0
37,1714892088.608723,18062.080430185,1714892088.6682048,18062.139912935,0.059482749999006046,FrameResult.JUNK_FRAME,0.0
