seq,received,received_monotonic,processed,processed_monotonic,processing_time,result,extra_delay
1,1714886213.551611,12186.847516173,1714886213.6254966,12186.921408465,0.07389229199907277,FrameResult.SUCCESS,0.0
2,1714886213.7411582,12187.037069215,1714886213.7972217,12187.093133506,0.05606429099861998,FrameResult.NO_CHANGE,0.0
3,1714886213.9179397,12187.213850715,1714886213.9722521,12187.268164256,0.05431354100073804,FrameResult.NO_CHANGE,0.0
4,1714886214.0899384,12187.38584959,1714886214.098256,12187.394168006,0.008318415999383433,FrameResult.CV_ERROR,0.0
5,1714886214.2249691,12187.520875756,1714886214.2979527,12187.593864798,0.07298904200069956,FrameResult.NO_CHANGE,0.0
6,1714886214.4355192,12187.731430382,1714886214.4411776,12187.737088673,0.005658291000145255,FrameResult.CV_ERROR,0.0
7,1714886214.559569,12187.855479048,1714886214.6329875,12187.928899215,0.07342016700022214,FrameResult.NO_CHANGE,0.0
8,1714886214.750626,12188.046537423,1714886214.7612054,12188.05711684,0.01057941699946241,FrameResult.CV_ERROR,0.0
9,1714886214.8888402,12188.184750965,1714886214.9622543,12188.258166382,0.07341541700043308,FrameResult.NO_CHANGE,0.0
10,1714886215.079204,12188.37511384,1714886215.1356044,12188.43151634,0.0564025000003312,FrameResult.NO_CHANGE,0.0
11,1714886215.2813997,12188.57731034,1714886215.2870715,12188.582982382,0.005672041999787325,FrameResult.CV_ERROR,0.0
12,1714886215.4346802,12188.73059109,1714886215.5044148,12188.800326257,0.0697351670005446,FrameResult.NO_CHANGE,0.0
13,1714886215.6364522,12188.932362299,1714886215.6422372,12188.938147965,0.005785666000519996,FrameResult.CV_ERROR,0.0
14,1714886215.7687266,12189.064636341,1714886215.776694,12189.072604424,0.007968083000378101,FrameResult.CV_ERROR,0.0
15,1714886215.9482002,12189.244110632,1714886215.9562383,12189.252148882,0.008038250000026892,FrameResult.CV_ERROR,0.0
16,1714886216.0850816,12189.380991966,1714886216.156039,12189.451950799,0.07095883300098649,FrameResult.NO_CHANGE,0.0
17,1714886216.2625833,12189.558494841,1714886216.2719212,12189.567832966,0.009338125000795117,FrameResult.CV_ERROR,0.0
18,1714886216.4381716,12189.734082549,1714886216.445784,12189.741695216,0.007612667001012596,FrameResult.CV_ERROR,0.0
19,1714886216.5692928,12189.865203174,1714886216.5772429,12189.873154133,0.007950958999572322,FrameResult.CV_ERROR,0.0
20,1714886216.7001863,12189.996096758,1714886216.70772,12190.003631174,0.0075344160013628425,FrameResult.CV_ERROR,0.0
21,1714886216.8516343,12190.147544508,1714886216.858685,12190.154596049,0.007051541000691941,FrameResult.CV_ERROR,0.0
22,1714886216.9854343,12190.281344633,1714886217.0596962,12190.355608299,0.07426366599975154,FrameResult.NO_CHANGE,0.0
23,1714886217.1948571,12190.490767341,1714886217.200189,12190.496100591,0.005333250001058332,FrameResult.CV_ERROR,0.0
24,1714886217.3327837,12190.62868905,1714886217.3403418,12190.6362528,0.007563750001281733,FrameResult.CV_ERROR,0.0
25,1714886217.4898655,12190.785776133,1714886217.497553,12190.793464258,0.007688125000640866,FrameResult.CV_ERROR,0.0
26,1714886217.622196,12190.918106008,1714886217.6302128,12190.926124008,0.008017999998628511,FrameResult.CV_ERROR,0.0
27,1714886217.7586412,12191.054551091,1714886217.76654,12191.062451133,0.007900042000983376,FrameResult.CV_ERROR,0.0
28,1714886217.9005055,12191.196412175,1714886217.9096544,12191.205564967,0.009152791999440524,FrameResult.CV_ERROR,0.0
29,1714886218.030314,12191.326223967,1714886218.038336,12191.33424655,0.008022583000638406,FrameResult.CV_ERROR,0.0
30,1714886218.1552355,12191.451145842,1714886218.1633267,12191.459237175,0.008091333000265877,FrameResult.CV_ERROR,0.0
31,1714886218.2899458,12191.585856467,1714886218.2980192,12191.5939293,0.008072832999459933,FrameResult.CV_ERROR,0.0
32,1714886218.456492,12191.752402383,1714886218.4641547,12191.760065258,0.0076628750011877855,FrameResult.CV_ERROR,0.0
33,1714886218.6176958,12191.913601842,1714886218.6253223,12191.921233592,0.007631750000655302,FrameResult.CV_ERROR,0.0
34,1714886218.7669432,12192.062853425,1714886218.7754197,12192.071329717,0.00847629199961375,FrameResult.CV_ERROR,0.0
35,1714886218.9318783,12192.227788259,1714886218.9411788,12192.23708955,0.009301291000156198,FrameResult.CV_ERROR,0.0
