seq,step_index,step_seq,expected_tag,transition,send_time,rtt,send_size_bytes,recv_size_bytes,frame_step_time
1,-1,1,initial,True,1714888331.3775425,0.9180093340000894,921620,4705,0.0
2,0,1,repeat,False,1714888332.301057,0.19592304199977661,921620,4705,5.541000064113177e-06
3,0,2,repeat,False,1714888332.4995651,0.22298808399864356,921620,4705,0.19917070800147485
4,0,3,blank,False,1714888332.725446,0.16611770899908151,921620,4705,0.42484074999993027
5,0,4,repeat,False,1714888332.9000235,0.20349070800148183,921620,4705,0.5961576670015347
6,0,5,blank,False,1714888333.1065826,0.1800212920006743,921620,4705,0.8059116670010553
7,0,6,blank,False,1714888333.2947125,0.13456441699963761,921620,4705,0.9910197080007492
8,0,7,repeat,False,1714888333.4378533,0.19365362499956973,921620,4705,1.1341030830008094
9,0,8,repeat,False,1714888333.6341772,0.17976404200089746,921620,4705,1.3337047500008339
10,0,9,blank,False,1714888333.8165574,0.1456954589993984,921620,4705,1.5161100420009461
11,0,10,blank,False,1714888333.9707875,0.1523487499998737,921620,4705,1.667103625000891
12,0,11,blank,False,1714888334.1318066,0.12614645900066535,921620,4705,1.8282821250013512
13,0,12,repeat,False,1714888334.2662613,0.19368633399972168,921620,4705,1.9630475840003783
14,0,13,repeat,False,1714888334.4627185,0.20479058300043107,921620,4705,2.1622100840013445
15,0,14,blank,False,1714888334.6704001,0.16057650000038848,921620,4705,2.369865792001292
16,0,15,blank,False,1714888334.83969,0.159358708999207,921620,4705,2.535932167000283
17,0,16,blank,False,1714888335.007661,0.14174012500006938,921620,4705,2.704316500999994
18,0,17,repeat,False,1714888335.1582649,0.20627349999995204,921620,4705,2.8546128340003634
19,0,18,blank,False,1714888335.3672464,0.20717299999887473,921620,4705,3.0667252090006514
20,0,19,repeat,False,1714888335.5831356,0.22141170900067664,921620,4705,3.279495376000341
21,0,20,repeat,False,1714888335.8073096,0.23318374999871594,921620,4705,3.5068417510010477
22,0,21,blank,False,1714888336.0430653,0.13902199999938603,921620,4705,3.7426343350016396
23,0,22,low_confidence,False,1714888336.1908617,0.5425556669997604,921620,4705,3.8871461680009816
24,0,23,success,True,1714888336.7347744,0.4810372499996447,921620,9315,4.435241293000217
25,1,1,repeat,False,1714888337.218597,0.5248729999984789,921620,9315,1.958000211743638e-06
26,1,2,blank,False,1714888337.7453604,0.16213274999972782,921620,9315,0.5264939170010621
27,1,3,blank,False,1714888337.9096756,0.18081562500083237,921620,9315,0.6906253340002877
28,1,4,repeat,False,1714888338.0929465,0.49333420900075,921620,9315,0.8737768339997274
