participant,abs_seq,start,end,duration,delay,block,block_seq,exec_time
134146,0,2019-11-15 19:19:22.728000+00:00,2019-11-15 19:19:27.019000+00:00,0 days 00:00:04.291000,0 days 00:00:00,0,0,0 days 00:00:03.029000
134146,1,2019-11-15 19:19:27.019000+00:00,2019-11-15 19:19:32.013000+00:00,0 days 00:00:04.994000,0 days 00:00:00,1,0,0 days 00:00:04.004000
134146,2,2019-11-15 19:19:32.013000+00:00,2019-11-15 19:19:35.520000+00:00,0 days 00:00:03.507000,0 days 00:00:00,1,1,0 days 00:00:02.625000
134146,3,2019-11-15 19:19:35.520000+00:00,2019-11-15 19:19:41.515000+00:00,0 days 00:00:05.995000,0 days 00:00:00,1,2,0 days 00:00:04.680000
134146,4,2019-11-15 19:19:41.515000+00:00,2019-11-15 19:19:47.301000+00:00,0 days 00:00:05.786000,0 days 00:00:00,1,3,0 days 00:00:05.197000
134146,5,2019-11-15 19:19:47.301000+00:00,2019-11-15 19:19:52.626000+00:00,0 days 00:00:05.325000,0 days 00:00:00,1,4,0 days 00:00:04.252000
134146,6,2019-11-15 19:19:52.626000+00:00,2019-11-15 19:19:55.957000+00:00,0 days 00:00:03.331000,0 days 00:00:00,1,5,0 days 00:00:02.490000
134146,7,2019-11-15 19:19:55.957000+00:00,2019-11-15 19:19:59.648000+00:00,0 days 00:00:03.691000,0 days 00:00:00,1,6,0 days 00:00:03.059000
134146,8,2019-11-15 19:19:59.648000+00:00,2019-11-15 19:20:03.301000+00:00,0 days 00:00:03.653000,0 days 00:00:00,1,7,0 days 00:00:02.902000
134146,9,2019-11-15 19:20:03.301000+00:00,2019-11-15 19:20:08.852000+00:00,0 days 00:00:05.551000,0 days 00:00:00.600000,2,0,0 days 00:00:04.763000
134146,10,2019-11-15 19:20:08.852000+00:00,2019-11-15 19:20:13.058000+00:00,0 days 00:00:04.206000,0 days 00:00:00.600000,2,1,0 days 00:00:02.652000
134146,11,2019-11-15 19:20:13.058000+00:00,2019-11-15 19:20:18.467000+00:00,0 days 00:00:05.409000,0 days 00:00:00.600000,2,2,0 days 00:00:03.888000
134146,12,2019-11-15 19:20:18.467000+00:00,2019-11-15 19:20:22.074000+00:00,0 days 00:00:03.607000,0 days 00:00:00.600000,2,3,0 days 00:00:02.154000
134146,13,2019-11-15 19:20:22.074000+00:00,2019-11-15 19:20:29.286000+00:00,0 days 00:00:07.212000,0 days 00:00:02.175000,3,0,0 days 00:00:05.690000
134146,14,2019-11-15 19:20:29.286000+00:00,2019-11-15 19:20:38+00:00,0 days 00:00:08.714000,0 days 00:00:02.175000,3,1,0 days 00:00:04.985000
134146,15,2019-11-15 19:20:38+00:00,2019-11-15 19:20:44.564000+00:00,0 days 00:00:06.564000,0 days 00:00:02.175000,3,2,0 days 00:00:02.533000
134146,16,2019-11-15 19:20:44.564000+00:00,2019-11-15 19:20:51.096000+00:00,0 days 00:00:06.532000,0 days 00:00:02.175000,3,3,0 days 00:00:02.239000
134146,17,2019-11-15 19:20:51.096000+00:00,2019-11-15 19:20:59.804000+00:00,0 days 00:00:08.708000,0 days 00:00:03,4,0,0 days 00:00:04.716000
134146,18,2019-11-15 19:20:59.804000+00:00,2019-11-15 19:21:08.840000+00:00,0 days 00:00:09.036000,0 days 00:00:03,4,1,0 days 00:00:04.567000
134146,19,2019-11-15 19:21:08.840000+00:00,2019-11-15 19:21:17.876000+00:00,0 days 00:00:09.036000,0 days 00:00:03,4,2,0 days 00:00:03.944000
134146,20,2019-11-15 19:21:17.876000+00:00,2019-11-15 19:21:29.916000+00:00,0 days 00:00:12.040000,0 days 00:00:03,4,3,0 days 00:00:06.917000
134146,21,2019-11-15 19:21:29.916000+00:00,2019-11-15 19:21:38.956000+00:00,0 days 00:00:09.040000,0 days 00:00:03,4,4,0 days 00:00:03.626000
134146,22,2019-11-15 19:21:38.956000+00:00,2019-11-15 19:21:47.992000+00:00,0 days 00:00:09.036000,0 days 00:00:03,4,5,0 days 00:00:04.315000
134146,23,2019-11-15 19:21:47.992000+00:00,2019-11-15 19:21:57.032000+00:00,0 days 00:00:09.040000,0 days 00:00:03,4,6,0 days 00:00:03.997000
